Date,0,<20,20-39,40-59,60-79,80-89,99-99,100+
2021-01-01,36014,5112,6658,9640,9470,2611,1404,972
2019-01-01,33432,4478,6342,8404,9676,3526,2401,1550
2017-01-01,31730,4541,5895,7867,9705,3868,2429,2094
2015-01-01,30661,4151,4717,6722,8734,3709,2904,3735
2013-01-01,27491,3046,4398,5621,8329,3989,3377,5124
2011-01-01,25853,3258,4582,5701,7643,3858,3747,6861
2009-01-01,24206,6174,7478,8524,9924,5128,4928,5789
2007-01-01,24885,7204,9102,9626,10365,4489,3220,2456
2005-01-01,24776,6719,8445,10462,10844,4137,2935,2539
2003-01-01,25020,5870,6932,9674,11194,4365,3097,2548
2001-01-01,25675,6960,6785,9669,10974,4264,2920,1806
