period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
10/1/2015,10/31/2015,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,236504,0.010056658,0.09598854,243246,-0.022427487,0.046560987,113,0.025710892,0.133133554,114,-0.025949728,0.076857932,10418,-0.02802428,0.042193708,8746,0.027650923,0.119148907,14333,-0.06342873,-0.021934106,54688,-0.034780303,-0.059025781,5.249045693,-0.036740515,-0.564633666,51,2,-13,0.958300136,-0.001242968,0.004567381,0.218351585,0.001495729,0.013416206,0.107474477,-0.000604611,0.023340597,0.318676477,0.000818968,0.074450746,,,7/23/2023 14:12
10/1/2013,10/31/2013,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,182581,0.002204959,0.170199931,186081,-0.050908344,0.169199711,156,0.000658414,0.191265949,163,-0.037251782,0.196071472,53513,-0.001909852,0.055736427,39233,0.005700215,0.151333545,64617,-0.028506406,0.13584262,215434,-0.001888446,-0.038831733,4.025765689,8.63E-05,-0.39609012,57,0,-16,0.97435862,-0.000614183,0.00628604,0.202129193,-0.00913582,-7.21E-05,0.072746429,0.008118949,0.012468307,0.281083669,-0.024163663,-0.031742009,,,7/23/2023 14:12
7/1/2016,7/31/2016,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,257146,-0.010750744,0.060339934,264705,-0.015985741,0.067748774,137,-0.000417502,0.059677171,141,-0.005841825,0.069237751,577562,-0.115371193,-0.06274622,463510,-0.089056577,-0.02314955,673343,-0.101841882,-0.05700077,1881953,0.009095008,-0.08008812,3.258440072,0.40191028,-0.061427122,41,1,-4,0.983639669,-0.000662858,0.003190403,0.253460217,-0.003261155,0.022838275,0.134941007,-0.000290497,-0.001382016,0.343707402,-0.024347088,0.024037648,,,7/23/2023 14:12
5/1/2016,5/31/2016,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,252197,0.025714977,0.054716249,271860,-0.003168595,0.060420673,135,0.019539199,0.060169774,142,0.001164412,0.06157643,584317,0.123671074,0.085668244,519330,0.051743544,0.090970754,750491,-0.021377967,-0.024381078,1824519,0.021156264,-0.086702603,3.12247998,-0.313468618,-0.589320106,43,-6,-6,0.983567674,0.002187314,0.003382687,0.257948205,0.014817105,0.025996492,0.122098551,0.008208474,0.004670139,0.404425203,-0.024539571,0.021940552,,,7/23/2023 14:12
6/1/2016,6/30/2016,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,223771,0.027337115,0.082317094,238554,0.009394988,0.095444448,191,0.038436721,0.086068886,201,-0.004185635,0.083815891,74320,0.095407752,0.03317676,59342,-0.014837253,0.013777919,80410,-0.019327103,-0.021332741,197714,-0.007792587,-0.096679742,2.660302518,-0.276700335,-0.3824309,41,0,-3,0.981277484,0.00099793,0.002745071,0.222183851,-0.001209054,0.013024235,0.10894666,0.005667372,0.000113238,0.365935043,-0.02849833,0.02941646,,,7/23/2023 14:12
11/1/2014,11/30/2014,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,191391,-0.006274905,0.059812655,193446,-0.036438654,0.074672534,166,-0.001529936,0.067010135,167,-0.033038608,0.078880997,42728,-0.255695251,-0.040487636,34323,-0.174018282,0.012323447,47965,-0.278105295,-0.014024355,209218,-0.047802263,0.010532388,4.896460714,1.069042501,0.247213792,58,0,-1,0.968827496,-0.001423086,-0.00403456,0.151796608,-0.001839153,-0.037153065,0.0837137,-0.028443707,0.017878181,0.251513037,-0.023486208,-0.010074093,,,7/23/2023 14:12
7/1/2012,7/31/2012,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,177464,-0.008550241,0.089098322,173725,-0.032998098,0.031838869,114,-0.006672012,0.067730658,114,-0.03040581,0.022404841,33498,-0.094078039,0.0623992,24719,-0.044032875,0.15181918,41331,-0.05482075,-0.014098009,152035,-0.015451295,-0.247848916,4.538532468,0.362450354,-1.872058927,64,2,-14,0.973276262,-0.001287689,0.011405765,0.204853901,-0.002885641,0.04763212,0.060641406,-0.002765446,-0.016658421,0.328827963,-0.005330848,0.074215286,,,7/23/2023 14:12
11/1/2018,11/30/2018,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,288003,0.003029122,0.038564838,290195,-0.022967696,0.038899201,148,-0.003280993,0.041696778,150,-0.016560983,0.045138601,367427,-0.090814724,-0.029059222,274895,-0.162728541,-0.039355,351801,-0.232932276,0.013730209,1233884,-0.063169723,0.060136785,3.358174774,0.099096656,0.282544464,48,4,0,0.978856433,-0.001810706,-0.001673421,0.206328092,-0.01691839,-0.018541217,0.150670801,-0.03583537,0.030597642,0.28709914,-0.028100674,-0.029937311,,,7/23/2023 14:12
11/1/2012,11/30/2012,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,188588,0.022222182,0.112641462,185959,-0.027110431,0.085326614,104,0.015552428,0.09882459,104,-0.019455522,0.070890642,386505,-0.057898017,0.204955531,236517,-0.146087861,0.219672623,373137,-0.207116581,-0.020330585,1773248,-0.058053707,-0.176987195,4.587895699,-0.000758311,-2.129144746,73,0,-19,0.969668105,-0.000201701,0.011448755,0.202983018,-0.003682871,0.035360448,0.048366063,-0.010109343,-0.016415003,0.267490928,-0.028506793,0.043625867,,,7/23/2023 14:12
11/1/2019,11/30/2019,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,257775,0.013335952,0.041131579,266960,-0.01899362,0.028486399,221,0.008533759,0.041616986,230,-0.011462346,0.01948362,49813,-0.13142456,-0.032197017,41570,-0.147417222,-0.015321887,48932,-0.278989143,-0.086928289,172160,-0.073122493,-0.017541423,3.456060111,0.217391668,0.051554958,44,1,2,0.977776458,-0.000929179,7.13E-05,0.170751666,-0.006385668,0.000276432,0.110948133,-0.034513521,-0.012832637,0.28094129,-0.034521833,-0.008080475,,,7/23/2023 14:12
