period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
9/1/2020,9/30/2020,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,294892,0.024509789,0.111218602,302961,0.019895263,0.102201641,179,0.029775127,0.100453007,184,0.013340133,0.091783731,65431,0.009890884,0.281080749,59910,-0.0572648,0.361898128,70483,-0.027365912,0.149526515,107499,-0.006141483,-0.216924716,1.642934382,-0.026502894,-1.044842451,29,0,-7,0.995709612,0.001107065,0.008235257,0.337051266,0.016514761,0.095458751,0.113789995,0.006592944,-0.0439835,0.453782793,-0.017743143,0.084702138,,,5/19/2024 14:18
4/1/2023,4/30/2023,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,416969.6352,-0.003811387,-0.044550318,431796.1519,-0.000901572,-0.000957888,214.7843187,0.001860699,-0.050523288,221.3797483,0.004664246,-0.008879561,320428.9248,-0.012899668,-0.197205372,289065.936,0.008398683,-0.231316208,370882.8632,0.004325127,-0.229846825,737862.6645,-0.04892577,0.179853821,2.315068067,0.023618301,0.779099062,41.68626918,0,23,0.988972563,0.001285437,-0.038367221,0.30141327,0.013727274,-0.232673406,0.158778214,-0.012225289,0.048010039,0.398170889,0.022947642,-0.101664268,,,5/19/2024 0:00
8/1/2018,8/31/2018,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,243368.4193,-0.016489871,0.037290488,260677.7911,-0.00676786,0.038953338,208.508511,-0.017069415,0.037394378,222.3092872,-0.005333125,0.055240566,58678.26159,-0.022273595,-0.032699282,50730.48848,-0.056971264,-0.03736727,72620.46732,0.010896908,0.032220977,165771.7138,0.029835,0.029473248,2.81884853,0.07018932,0.105616828,36.7130814,1,-4,0.981288109,-0.001278107,-0.00108933,0.211629805,-0.009971498,-0.018112262,0.117048571,0.002622236,0.0232208,0.388631555,-0.003584967,-0.014760142,,,5/19/2024 0:00
2/1/2023,2/28/2023,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,367630,-0.017367295,-0.069424183,457639,0.041783008,-0.024327224,168,0.037313305,-0.040930328,196,0.008278586,-0.031915786,6573,-0.027382227,-0.350740673,6569,0.068090484,-0.302808882,10172,0.111185222,-0.254113772,25902,-0.004479955,0.013824901,3.940268768,0.0906472,1.416897872,48,4,9,0.960913554,-0.004725316,-0.024791742,0.242479571,-0.022134041,-0.116097016,0.094959176,-0.01006399,0.032491858,0.460094211,0.096071088,-0.069179924,,,5/19/2024 14:18
2/1/2023,2/28/2023,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,399522.0891,-0.007786869,-0.009685741,410714.9113,-0.000978448,0.002632807,221.0288322,-0.00195289,-0.012042526,225.2779114,-0.003500803,-0.011599406,424758.2854,0.028491845,-0.217917456,384815.6499,-0.004749981,-0.277677655,465212.3221,-0.020068874,-0.189652275,1033593.144,-0.054664852,0.352094269,2.478777738,-0.209379024,1.115258198,42.02899871,2,27,0.987699301,5.52E-06,-0.030536632,0.271447255,0.003706039,-0.271706292,0.16655741,-0.019202009,0.075654719,0.373045232,0.006818002,-0.137723701,,,5/19/2024 0:00
4/1/2017,4/30/2017,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,228398.236,-0.00396587,0.065760191,245068.6046,0.000883383,0.07536773,193.8008038,0.000247319,0.064108535,205.2611907,-0.012117756,0.064596334,60814.79222,-0.002408457,0.035170183,51695.01531,-0.028031203,0.036626838,71117.92623,0.0039131,-0.008640165,168335.7075,0.000787969,-0.142471988,2.932929831,0.180130254,-0.537984096,40.64562452,0,-7,0.979728345,1.58E-05,0.003435782,0.219120236,0.005421509,0.023590503,0.094020457,-0.003702045,-0.007153711,0.39461639,0.003488011,0.028601277,,,5/19/2024 0:00
2/1/2016,2/29/2016,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,221432.5543,0.015358166,0.047487803,228624.4023,0.006820205,0.058599492,138.5897893,0.005299836,0.034304408,141.7729761,0.003318426,0.041454567,43445.29754,-0.02761697,0.098621168,37183.83096,0.034606328,0.079467005,53161.04574,0.025262177,0.04465767,133042.6428,0.012047103,-0.056483969,3.067158676,0.018926758,-0.788786187,47.136214,1,-6,0.981136139,-0.002108563,0.002235447,0.229323555,-0.001250711,0.028806208,0.160733044,0.066154208,0.057682707,0.366837059,0.005546613,0.024836285,,,5/19/2024 0:00
9/1/2018,9/30/2018,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,281161.8971,-0.001042244,0.04041561,297939.7535,0.005041685,0.049096496,152.4580243,0.001566247,0.041883599,159.8719265,0.009255286,0.059216592,509149.003,-0.011075579,-0.018412131,432344.7698,-0.017216167,-0.000733206,612939.2079,-0.038699025,0.027592066,1568208.023,0.016703391,0.025537862,3.121392675,0.174708483,0.203286065,41.94553809,0,-3,0.983276562,0.000483613,2.21E-05,0.237364437,-0.00492514,-0.009876697,0.148531887,0.004400674,0.031333021,0.380628892,-0.004627001,-0.000750308,,,5/19/2024 0:00
4/1/2018,4/30/2018,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,282366,0.015601811,0.072790622,308336,0.009104458,0.069796208,153,0.019508811,0.075921881,160,0.013827093,0.070964296,535312,0.045834906,0.047073444,539517,0.107228446,0.083163986,770470,0.059393675,0.059355777,1451861,0.057393135,-0.08064063,2.712176108,0.029646449,-0.376765683,36,-9,-5,0.987859574,0.002949607,0.002893172,0.283993961,0.025790788,0.017631616,0.121444378,0.006403062,0.015113462,0.471801447,-0.015826891,0.019116647,,,5/19/2024 14:18
5/1/2016,5/31/2016,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,251874,0.031781422,0.032209034,263895,-0.010268408,0.045011046,121,0.034678615,0.044112717,123,-0.011280332,0.047336538,10678,0.103155796,0.123344262,10266,0.093276585,0.126680248,16180,0.020254328,-0.052157555,47106,0.0099156,-0.127746025,4.411254453,-0.407267923,-1.269840185,47,-7,-6,0.964843594,0.004888392,0.005197749,0.250941713,0.017592114,0.018528613,0.091294451,0.008731953,0.006997382,0.377080048,-0.037238978,0.009322925,,,5/19/2024 14:18
