DATE,DRCCLACBN,DRSFRMACBS
1991-01-01,5.31,3.10
1991-04-01,5.35,3.17
1991-07-01,5.43,3.23
1991-10-01,5.32,3.29
1992-01-01,5.32,3.13
1992-04-01,4.97,3.05
1992-07-01,5.05,2.88
1992-10-01,4.70,2.77
1993-01-01,4.64,2.81
1993-04-01,4.34,2.67
1993-07-01,4.15,2.57
1993-10-01,3.92,2.45
1994-01-01,3.63,2.38
1994-04-01,3.19,2.25
1994-07-01,3.30,2.17
1994-10-01,3.31,2.06
1995-01-01,3.50,2.08
1995-04-01,3.59,2.11
1995-07-01,3.92,2.16
1995-10-01,4.00,2.18
1996-01-01,4.05,2.18
1996-04-01,4.12,2.26
1996-07-01,4.54,2.24
1996-10-01,4.69,2.34
1997-01-01,4.68,2.29
1997-04-01,4.56,2.28
1997-07-01,4.79,2.26
1997-10-01,4.92,2.21
1998-01-01,4.73,2.20
1998-04-01,4.59,2.13
1998-07-01,4.82,2.09
1998-10-01,4.85,2.02
1999-01-01,4.62,1.95
1999-04-01,4.40,1.89
1999-07-01,4.70,2.13
1999-10-01,4.67,2.00
2000-01-01,4.38,1.95
2000-04-01,4.34,1.98
2000-07-01,4.62,2.09
2000-10-01,4.71,2.23
2001-01-01,4.75,2.34
2001-04-01,4.75,2.41
2001-07-01,5.09,2.19
2001-10-01,4.86,2.26
2002-01-01,4.85,2.24
2002-04-01,4.61,2.16
2002-07-01,4.96,2.10
2002-10-01,5.05,2.00
2003-01-01,4.57,1.97
2003-04-01,4.38,1.83
2003-07-01,4.29,1.73
2003-10-01,4.62,1.76
2004-01-01,4.10,1.65
2004-04-01,4.02,1.60
2004-07-01,4.12,1.54
2004-10-01,4.20,1.42
2005-01-01,3.62,1.41
2005-04-01,3.56,1.55
2005-07-01,3.95,1.59
2005-10-01,3.65,1.64
2006-01-01,3.80,1.61
2006-04-01,4.01,1.62
2006-07-01,4.17,1.74
2006-10-01,4.05,1.92
2007-01-01,3.96,2.08
2007-04-01,3.90,2.29
2007-07-01,4.45,2.71
2007-10-01,4.68,3.10
2008-01-01,4.80,3.68
2008-04-01,4.74,4.36
2008-07-01,4.83,5.28
2008-10-01,5.72,6.58
2009-01-01,6.61,8.02
2009-04-01,6.53,8.57
2009-07-01,6.51,9.47
2009-10-01,6.43,10.33
2010-01-01,5.88,11.58
2010-04-01,4.90,11.07
2010-07-01,4.59,10.58
2010-10-01,4.22,10.35
2011-01-01,3.89,10.34
2011-04-01,3.50,10.54
2011-07-01,3.47,10.54
2011-10-01,3.32,10.26
2012-01-01,3.10,10.34
2012-04-01,2.79,10.45
2012-07-01,2.84,10.49
2012-10-01,2.78,10.03
2013-01-01,2.67,9.73
2013-04-01,2.41,9.32
2013-07-01,2.47,8.67
2013-10-01,2.45,8.30
2014-01-01,2.33,7.77
2014-04-01,2.15,7.43
2014-07-01,2.23,7.06
2014-10-01,2.22,6.49
2015-01-01,2.13,6.25
2015-04-01,2.01,5.82
2015-07-01,2.18,5.38
2015-10-01,2.23,5.07
2016-01-01,2.16,4.80
2016-04-01,2.09,4.58
2016-07-01,2.33,4.38
2016-10-01,2.44,4.15
2017-01-01,2.42,3.91
2017-04-01,2.35,3.68
2017-07-01,2.57,3.63
2017-10-01,2.56,3.57
2018-01-01,2.54,3.50
2018-04-01,2.35,3.21
2018-07-01,2.54,2.97
2018-10-01,2.63,2.83
2019-01-01,2.59,2.72
2019-04-01,2.42,2.59
2019-07-01,2.62,2.42
2019-10-01,2.70,2.34
2020-01-01,2.76,2.39
2020-04-01,2.28,2.52
2020-07-01,2.00,2.80
2020-10-01,2.18,2.74
2021-01-01,1.93,2.75
