Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLY00 (Cash)",90.5,2.39,90.5,90.5,90.5,88.11,N/A,N/A,2022-08-18
"CLU22 (Sep '22)",90.13,-0.37,90.39,90.85,90.09,90.5,959,45982,"00:02 CT"
"CLV22 (Oct '22)",89.72,-0.39,90,90.44,89.64,90.11,12831,253286,"00:02 CT"
"CLX22 (Nov '22)",89.28,-0.39,89.6,89.95,89.2,89.67,1568,0,"23:54 CT"
"CLZ22 (Dec '22)",88.64,-0.44,88.99,89.34,88.58,89.08,1984,189772,08/19/22
"CLF23 (Jan '23)",87.98,-0.41,88.29,88.54,87.94,88.39,899,0,"23:43 CT"
"CLG23 (Feb '23)",87.22,-0.42,87.63,87.71,87.22,87.64,1154,0,"23:44 CT"
"CLH23 (Mar '23)",86.88,1.8,84.71,87.63,84.71,85.08,17918,52624,2022-08-18
"CLJ23 (Apr '23)",86.15,1.65,84.56,86.85,84.23,84.5,5200,40380,2022-08-18
"CLK23 (May '23)",85.43,1.51,83.8,86.14,83.8,83.92,3874,35021,2022-08-18
"CLM23 (Jun '23)",84.35,-0.39,84.72,84.8,84.35,84.74,307,0,"23:54 CT"
"CLN23 (Jul '23)",84.09,1.24,83.64,84.79,83.37,82.85,2799,27791,2022-08-18
"CLQ23 (Aug '23)",83.48,1.14,83.66,83.93,83,82.34,1081,25183,2022-08-18
"CLU23 (Sep '23)",82.89,1.03,83.05,83.69,81.59,81.86,3824,28373,2022-08-18
"CLV23 (Oct '23)",82.33,0.93,81.93,82.56,81.39,81.4,693,22816,2022-08-18
"CLX23 (Nov '23)",81.78,0.83,0,82.01,81.78,80.95,740,19839,2022-08-18
"CLZ23 (Dec '23)",80.88,-0.37,81.38,81.41,80.81,81.25,515,0,"23:53 CT"
"CLF24 (Jan '24)",80.67,0.63,0,80.92,80.67,80.04,311,21731,2022-08-18
"CLG24 (Feb '24)",80.11,0.54,0,80.32,80.11,79.57,387,13801,2022-08-18
"CLH24 (Mar '24)",79.58,0.46,0,80.11,78.79,79.12,1147,21595,2022-08-18
"CLJ24 (Apr '24)",79.06,0.37,0,79.26,79.06,78.69,189,8074,2022-08-18
"CLK24 (May '24)",78.57,0.29,0,78.76,78.57,78.28,84,6116,2022-08-18
"CLM24 (Jun '24)",77.72,-0.39,78.09,78.09,77.65,78.11,85,0,"23:43 CT"
