DATE,CPI_Used_Vehicles,CPI_New_Vehicles
8/1/2006,101.7701,92.62969
9/1/2006,101.40767,92.56178
10/1/2006,100.7553,92.90133
11/1/2006,100.2479,92.90133
12/1/2006,99.45056,93.10506
1/1/2007,98.70323,93.44665
2/1/2007,98.24222,93.26805
3/1/2007,98.00157,93.19199
4/1/2007,97.85224,93.01203
5/1/2007,97.60434,92.55839
6/1/2007,97.54418,92.23581
7/1/2007,97.6732,91.96077
8/1/2007,98.04071,91.81748
9/1/2007,98.59667,91.62937
10/1/2007,99.0932,91.91256
11/1/2007,99.71078,92.52783
12/1/2007,99.92534,92.80898
1/1/2008,100.71036,92.91967
2/1/2008,100.62338,92.54752
3/1/2008,100.42259,92.17266
4/1/2008,99.78327,91.79779
5/1/2008,98.8656,91.45416
6/1/2008,97.87037,91.35026
7/1/2008,96.92008,91.26945
8/1/2008,96.06909,90.5951
9/1/2008,95.08401,89.9126
10/1/2008,93.80174,89.82092
11/1/2008,92.81665,89.88544
12/1/2008,92.29113,89.8508
1/1/2009,91.81635,90.50614
2/1/2009,90.176,91.12616
3/1/2009,88.58493,91.41478
4/1/2009,88.3508,91.58591
5/1/2009,88.81906,91.78896
6/1/2009,89.32864,92.16722
7/1/2009,89.04449,92.3954
8/1/2009,90.61526,91.05417
9/1/2009,92.51439,91.39101
10/1/2009,96.0256,93.21915
11/1/2009,98.38502,94.28059
12/1/2009,101.02785,94.29825
1/1/2010,103.53078,94.22083
2/1/2010,103.78014,94.29417
3/1/2010,103.20315,94.12372
4/1/2010,102.69792,93.83442
5/1/2010,102.17023,93.54648
6/1/2010,102.89436,93.37874
7/1/2010,103.301,93.2565
8/1/2010,103.95918,93.11797
9/1/2010,104.40279,93.28503
10/1/2010,104.60647,93.61371
11/1/2010,104.92396,93.86702
12/1/2010,105.58938,94.10131
1/1/2011,106.17579,94.34443
2/1/2011,105.96123,95.18176
3/1/2011,105.57271,95.65849
4/1/2011,105.49733,96.06731
5/1/2011,106.17434,96.76815
6/1/2011,107.6545,97.14845
7/1/2011,108.70772,96.95083
8/1/2011,109.67976,96.65474
9/1/2011,109.94433,96.65949
10/1/2011,110.16831,96.79599
11/1/2011,110.31401,96.93249
12/1/2011,110.23862,97.07986
1/1/2012,109.53044,97.40922
2/1/2012,108.65118,98.01226
3/1/2012,108.19597,98.02856
4/1/2012,108.76716,98.14537
5/1/2012,109.87909,98.0632
6/1/2012,110.3691,98.04011
7/1/2012,110.15671,97.75896
8/1/2012,109.3601,97.62042
9/1/2012,108.47287,97.60412
10/1/2012,107.99374,97.79835
11/1/2012,107.95459,98.30835
12/1/2012,108.18003,98.5929
1/1/2013,108.54101,99.06148
2/1/2013,108.5758,99.09815
3/1/2013,107.9401,99.14161
4/1/2013,107.69727,99.27675
5/1/2013,107.64218,99.11852
6/1/2013,107.81687,99.2007
7/1/2013,108.04593,98.96301
8/1/2013,108.39458,98.68458
9/1/2013,109.06073,98.78033
10/1/2013,109.63337,98.80138
11/1/2013,110.17339,98.90664
12/1/2013,110.50972,98.99017
1/1/2014,109.8414,99.06759
2/1/2014,109.24919,99.43499
3/1/2014,108.46852,99.38541
4/1/2014,108.16118,99.64075
5/1/2014,108.00823,99.62989
6/1/2014,107.94662,99.19458
7/1/2014,108.16045,99.20749
8/1/2014,108.34602,99.06284
9/1/2014,108.62654,99.06759
10/1/2014,107.97054,99.35689
11/1/2014,106.9079,99.47573
