DATE,A576RC1,MNGDP,MRGDP,NGDP_Trend,RGDP_Trend
1/1/1959,252.3,,,,
2/1/1959,253.6,,,,
3/1/1959,256.1,,,,
4/1/1959,258.6,,,,
5/1/1959,260.8,,,,
6/1/1959,262.3,,,,
7/1/1959,262.1,,,,
8/1/1959,260.2,,,,
9/1/1959,260.4,,,,
10/1/1959,261.1,,,,
11/1/1959,263.2,,,,
12/1/1959,267.4,,,,
1/1/1960,270.1,,,,
2/1/1960,270.8,,,,
3/1/1960,271.3,,,,
4/1/1960,273,,,,
5/1/1960,273.7,,,,
6/1/1960,273.5,,,,
7/1/1960,274.4,,,,
8/1/1960,273.8,,,,
9/1/1960,273.8,,,,
10/1/1960,274.9,,,,
11/1/1960,273.7,,,,
12/1/1960,271.4,,,,
1/1/1961,273.4,,,,
2/1/1961,273.4,,,,
3/1/1961,274.5,,,,
4/1/1961,275.5,,,,
5/1/1961,277.4,,,,
6/1/1961,279.9,,,,
7/1/1961,281.2,,,,
8/1/1961,282.6,,,,
9/1/1961,283,,,,
10/1/1961,285.8,,,,
11/1/1961,288.9,,,,
12/1/1961,290.5,,,,
1/1/1962,290.8,,,,
2/1/1962,293.1,,,,
3/1/1962,295.9,,,,
4/1/1962,298.2,,,,
5/1/1962,298.7,,,,
6/1/1962,299.3,,,,
7/1/1962,300.3,,,,
8/1/1962,300.6,,,,
9/1/1962,302.6,,,,
10/1/1962,302.8,,,,
11/1/1962,304.5,,,,
12/1/1962,305.5,,,,
1/1/1963,306.4,,,,
2/1/1963,307.9,,,,
3/1/1963,309.6,,,,
4/1/1963,310.1,,,,
5/1/1963,312.2,,,,
6/1/1963,314.8,,,,
7/1/1963,315.1,,,,
8/1/1963,316.7,,,,
9/1/1963,318.8,,,,
10/1/1963,320.8,,,,
11/1/1963,321.6,,,,
12/1/1963,324.3,,,,
1/1/1964,324.9,,,,
2/1/1964,329,,,,
3/1/1964,330.7,,,,
4/1/1964,332.9,,,,
5/1/1964,334.9,,,,
6/1/1964,336.7,,,,
7/1/1964,339.1,,,,
8/1/1964,341.7,,,,
9/1/1964,343.4,,,,
10/1/1964,343.3,,,,
11/1/1964,346.5,,,,
12/1/1964,350.3,,,,
1/1/1965,350.9,,,,
2/1/1965,352.8,,,,
3/1/1965,354.7,,,,
4/1/1965,356.2,,,,
5/1/1965,359.5,,,,
6/1/1965,361,,,,
7/1/1965,363.7,,,,
8/1/1965,366.1,,,,
9/1/1965,368.8,,,,
10/1/1965,373.9,,,,
11/1/1965,377.1,,,,
12/1/1965,380.3,,,,
1/1/1966,382.1,,,,
2/1/1966,386,,,,
3/1/1966,389.2,,,,
4/1/1966,392.7,,,,
5/1/1966,395.5,,,,
6/1/1966,399.5,,,,
7/1/1966,403.4,,,,
8/1/1966,406.4,,,,
9/1/1966,408.7,,,,
10/1/1966,411.7,,,,
11/1/1966,413.7,,,,
12/1/1966,415.1,,,,
1/1/1967,418.2,,,,
2/1/1967,418.3,,,,
3/1/1967,420.1,,,,
4/1/1967,421.8,,,,
5/1/1967,422.7,,,,
6/1/1967,426.3,,,,
7/1/1967,429.1,,,,
8/1/1967,432.5,,,,
9/1/1967,434.4,,,,
10/1/1967,436.6,,,,
11/1/1967,442,,,,
12/1/1967,446.1,,,,
1/1/1968,448.9,,,,
2/1/1968,455.2,,,,
3/1/1968,458.6,,,,
4/1/1968,461.4,,,,
5/1/1968,466.2,,,,
6/1/1968,470.1,,,,
7/1/1968,474.5,,,,
8/1/1968,478.1,,,,
9/1/1968,482.4,,,,
10/1/1968,485.6,,,,
11/1/1968,489.9,,,,
12/1/1968,492.8,,,,
1/1/1969,495.3,,,,
2/1/1969,498.2,,,,
3/1/1969,503.7,,,,
4/1/1969,507,,,,
5/1/1969,511.3,,,,
6/1/1969,515.9,,,,
7/1/1969,522,,,,
8/1/1969,526.8,,,,
9/1/1969,530.5,,,,
10/1/1969,533.4,,,,
11/1/1969,536.4,,,,
12/1/1969,539.6,,,,
1/1/1970,542,,,,
2/1/1970,544.8,,,,
3/1/1970,548.5,,,,
4/1/1970,546.7,,,,
5/1/1970,548.7,,,,
6/1/1970,551.8,,,,
7/1/1970,554.9,,,,
8/1/1970,556.6,,,,
9/1/1970,555.7,,,,
10/1/1970,554,,,,
11/1/1970,555.1,,,,
12/1/1970,560,,,,
1/1/1971,567.7,,,,
2/1/1971,570.4,,,,
3/1/1971,573.4,,,,
4/1/1971,576.4,,,,
5/1/1971,581.5,,,,
6/1/1971,583.5,,,,
7/1/1971,585.1,,,,
8/1/1971,589.1,,,,
9/1/1971,592.2,,,,
10/1/1971,593.8,,,,
11/1/1971,596.5,,,,
12/1/1971,605,,,,
1/1/1972,612,,,,
2/1/1972,619.4,,,,
3/1/1972,624,,,,
4/1/1972,627,,,,
5/1/1972,630,,,,
6/1/1972,634.1,,,,
7/1/1972,636,,,,
8/1/1972,642.5,,,,
9/1/1972,648.4,,,,
10/1/1972,658.1,,,,
11/1/1972,663.5,,,,
12/1/1972,670.2,,,,
1/1/1973,676.1,,,,
2/1/1973,684.3,,,,
3/1/1973,689.6,,,,
4/1/1973,695.1,,,,
5/1/1973,699.8,,,,
6/1/1973,705.6,,,,
7/1/1973,711.7,,,,
8/1/1973,715.1,,,,
