DATE,PCEPI_Trimmed_Mean,PCEPI,PCEPI_Core
1/1/1960,.,1.69555,2.06735
2/1/1960,.,1.70642,2.17951
3/1/1960,.,1.69281,2.08146
4/1/1960,.,1.86335,2.00453
5/1/1960,.,1.91197,2.03778
6/1/1960,.,1.66512,1.80608
7/1/1960,.,1.63074,1.74856
8/1/1960,.,1.65926,1.72791
9/1/1960,.,1.45186,1.54046
10/1/1960,.,1.32564,1.42588
11/1/1960,.,1.60083,1.5115
12/1/1960,.,1.50708,1.32715
1/1/1961,.,1.57533,1.32684
2/1/1961,.,1.56757,1.23645
3/1/1961,.,1.45655,1.25974
4/1/1961,.,1.02439,1.21652
5/1/1961,.,0.9746,1.1854
6/1/1961,.,0.98027,1.27218
7/1/1961,.,1.02109,1.25248
8/1/1961,.,0.93441,1.20994
9/1/1961,.,0.98842,1.3369
10/1/1961,.,0.86008,1.31288
11/1/1961,.,0.53124,1.06025
12/1/1961,.,0.53715,1.17647
1/1/1962,.,0.71209,1.2689
2/1/1962,.,0.88624,1.33712
3/1/1962,.,1.07371,1.53917
4/1/1962,.,1.2494,1.41569
5/1/1962,.,1.26078,1.43121
6/1/1962,.,1.27223,1.46364
7/1/1962,.,0.99874,1.39232
8/1/1962,.,1.05801,1.30467
9/1/1962,.,1.4411,1.29632
10/1/1962,.,1.34518,1.25573
11/1/1962,.,1.41716,1.31285
12/1/1962,.,1.3447,1.25444
1/1/1963,.,1.40212,1.3331
2/1/1963,.,1.237,1.27949
3/1/1963,.,1.0265,1.10554
4/1/1963,.,0.90611,1.20791
5/1/1963,.,1.00083,1.24602
6/1/1963,.,1.16099,1.23807
7/1/1963,.,1.41776,1.24269
8/1/1963,.,1.40979,1.31624
9/1/1963,.,0.88789,1.30238
10/1/1963,.,1.19697,1.53463
11/1/1963,.,1.26118,1.55613
12/1/1963,.,1.45125,1.66884
1/1/1964,.,1.41819,1.61482
2/1/1964,.,1.458,1.69195
3/1/1964,.,1.59499,1.72472
4/1/1964,.,1.67779,1.70016
5/1/1964,.,1.52766,1.60157
6/1/1964,.,1.44783,1.49781
7/1/1964,.,1.37445,1.50768
8/1/1964,.,1.3198,1.55113
9/1/1964,.,1.49613,1.4142
10/1/1964,.,1.35847,1.22142
11/1/1964,.,1.35657,1.27598
12/1/1964,.,1.35459,1.2742
1/1/1965,.,1.25269,1.27243
2/1/1965,.,1.14615,1.20348
3/1/1965,.,1.22107,1.16356
4/1/1965,.,1.30149,1.19015
5/1/1965,.,1.5163,1.29425
6/1/1965,.,1.67082,1.19383
7/1/1965,.,1.61655,1.19265
8/1/1965,.,1.55734,1.25172
9/1/1965,.,1.45095,1.32834
10/1/1965,.,1.42114,1.25627
11/1/1965,.,1.44802,1.29291
12/1/1965,.,1.6706,1.46146
1/1/1966,.,1.68029,1.35521
2/1/1966,.,2.05925,1.47961
3/1/1966,.,2.17142,1.55548
4/1/1966,.,2.3688,1.79431
5/1/1966,.,2.26622,1.87288
6/1/1966,.,2.22539,2.23387
7/1/1966,.,2.34348,2.43357
8/1/1966,.,2.71349,2.42348
9/1/1966,.,2.99145,2.61641
10/1/1966,.,3.22967,2.99287
11/1/1966,.,3.21297,3.06339
12/1/1966,.,3.04833,3.05951
1/1/1967,.,2.93152,3.12348
2/1/1967,.,2.62639,3.05649
3/1/1967,.,2.44012,3.0795
4/1/1967,.,2.24675,2.99334
5/1/1967,.,2.32233,2.95332
6/1/1967,.,2.38906,2.87958
7/1/1967,.,2.54053,2.92441
8/1/1967,.,2.46975,3.05737
9/1/1967,.,2.45643,3.10098
10/1/1967,.,2.46648,3.14894
11/1/1967,.,2.65565,3.21476
12/1/1967,.,2.60626,3.15784
1/1/1968,.,3.07895,3.51706
2/1/1968,.,3.37745,3.77803
3/1/1968,.,3.65532,4.0339
4/1/1968,.,3.81391,4.13253
5/1/1968,.,3.99234,4.29509
6/1/1968,.,3.99062,4.43475
7/1/1968,.,3.96088,4.43018
8/1/1968,.,4.05676,4.5145
9/1/1968,.,4.10389,4.57069
10/1/1968,.,4.27571,4.60483
11/1/1968,.,4.28295,4.66173
12/1/1968,.,4.33524,4.72164
1/1/1969,.,4.25645,4.65517
2/1/1969,.,4.09584,4.5645
3/1/1969,.,4.24124,4.63186
4/1/1969,.,4.37582,4.65501
5/1/1969,.,4.41231,4.67229
6/1/1969,.,4.58716,4.62433
7/1/1969,.,4.71935,4.76261
8/1/1969,.,4.58568,4.65024
9/1/1969,.,4.65273,4.64625
10/1/1969,.,4.54968,4.66654
11/1/1969,.,4.64231,4.67851
12/1/1969,.,4.91012,4.75195
1/1/1970,.,4.87568,4.70007
2/1/1970,.,5.02679,4.7419
3/1/1970,.,4.79504,4.64792
4/1/1970,.,4.86497,4.64905
5/1/1970,.,4.77486,4.60203
6/1/1970,.,4.54135,4.6243
7/1/1970,.,4.46674,4.53664
8/1/1970,.,4.44931,4.59927
9/1/1970,.,4.48553,4.61849
10/1/1970,.,4.64312,4.68304
11/1/1970,.,4.6085,4.8236
12/1/1970,.,4.58729,4.95891
1/1/1971,.,4.43436,5.02592
2/1/1971,.,4.32945,5.02052
3/1/1971,.,4.41569,4.96509
4/1/1971,.,4.29205,4.95036
5/1/1971,.,4.39862,5.03784
6/1/1971,.,4.58861,5.06496
7/1/1971,.,4.52417,5.06833
8/1/1971,.,4.55044,4.85704
9/1/1971,.,4.24079,4.58975
10/1/1971,.,3.88954,4.24562
11/1/1971,.,3.69082,3.94362
12/1/1971,.,3.64181,3.74696
1/1/1972,.,3.84903,3.78073
2/1/1972,.,3.94951,3.6655
3/1/1972,.,3.75545,3.54002
4/1/1972,.,3.51429,3.3916
5/1/1972,.,3.30156,3.18156
6/1/1972,.,3.00738,2.98327
7/1/1972,.,3.0623,2.88569
8/1/1972,.,3.06718,2.95471
9/1/1972,.,3.37201,3.13023
10/1/1972,.,3.32591,3.02667
11/1/1972,.,3.42342,3.06258
12/1/1972,.,3.34673,3.05304
1/1/1973,.,3.23408,2.67918
2/1/1973,.,3.37381,2.72708
3/1/1973,.,3.95508,2.9372
4/1/1973,.,4.56535,3.293
5/1/1973,.,4.85424,3.45364
6/1/1973,.,5.29174,3.69453
7/1/1973,.,5.29957,3.83875
8/1/1973,.,6.19943,4.10644
9/1/1973,.,6.14985,4.28012
10/1/1973,.,6.63119,4.623
11/1/1973,.,7.18576,4.85163
12/1/1973,.,7.72223,5.1142
1/1/1974,.,8.42665,5.56589
2/1/1974,.,9.11494,5.90709
3/1/1974,.,9.6062,6.30209
4/1/1974,.,9.56511,6.48216
5/1/1974,.,10.105,7.09145
6/1/1974,.,10.4024,7.72501
7/1/1974,.,10.81536,8.21609
8/1/1974,.,10.70075,8.74764
9/1/1974,.,11.40464,9.17911
10/1/1974,.,11.57574,9.60904
11/1/1974,.,11.49787,9.87967
12/1/1974,.,11.46091,10.04566
1/1/1975,.,11.09102,10.14532
2/1/1975,.,10.40715,10.22108
3/1/1975,.,9.51035,9.94129
4/1/1975,.,9.11218,9.65269
5/1/1975,.,8.4749,9.06709
6/1/1975,.,8.23921,8.49025
7/1/1975,.,8.36881,8.19953
8/1/1975,.,7.71054,7.53847
9/1/1975,.,7.13249,7.1567
10/1/1975,.,6.98551,6.85439
11/1/1975,.,6.87113,6.78314
12/1/1975,.,6.62081,6.67835
1/1/1976,.,6.36643,6.60408
2/1/1976,.,5.92553,6.27516
3/1/1976,.,5.72627,6.07391
4/1/1976,.,5.60678,5.97119
5/1/1976,.,5.69496,6.02611
6/1/1976,.,5.49326,5.93432
7/1/1976,.,5.1238,5.86696
8/1/1976,.,5.24845,6.11103
9/1/1976,.,5.31985,6.15658
10/1/1976,.,5.26152,6.14643
11/1/1976,.,5.06316,5.93057
12/1/1976,.,5.06947,5.86125
1/1/1977,.,5.27801,5.96144
2/1/1977,.,5.96767,6.1904
3/1/1977,.,6.34199,6.28912
4/1/1977,.,6.71675,6.4034
5/1/1977,.,6.74524,6.4388
6/1/1977,.,6.87701,6.64508
7/1/1977,.,6.89241,6.71588
8/1/1977,.,6.80159,6.62247
9/1/1977,.,6.60178,6.45213
10/1/1977,.,6.53779,6.44635
11/1/1977,.,6.66841,6.50935
12/1/1977,.,6.58912,6.4838
1/1/1978,5.7,6.59948,6.47294
2/1/1978,5.57,6.26302,6.23005
3/1/1978,5.55,6.41663,6.35321
4/1/1978,5.71,6.60473,6.51412
5/1/1978,5.9,6.82377,6.59839
6/1/1978,5.91,6.92392,6.55607
7/1/1978,5.99,6.95359,6.52181
8/1/1978,6.04,6.99596,6.57508
9/1/1978,6.22,7.20188,6.73452
10/1/1978,6.54,7.55368,7.00267
11/1/1978,6.65,7.54717,7.02347
12/1/1978,6.71,7.52911,6.88917
1/1/1979,7.03,7.70303,6.79795
2/1/1979,7.22,7.77908,6.73363
3/1/1979,7.25,7.92076,6.77057
4/1/1979,7.26,8.22403,7.06177
5/1/1979,7.35,8.57033,7.36196
6/1/1979,7.39,8.75535,7.36424
7/1/1979,7.5,8.98771,7.27262
8/1/1979,7.68,9.27066,7.4073
9/1/1979,7.8,9.61083,7.52341
10/1/1979,7.89,9.63252,7.51622
11/1/1979,7.89,9.76874,7.62698
12/1/1979,8.04,10.17689,7.97852
1/1/1980,8.15,10.49744,8.24243
2/1/1980,8.35,11.10209,8.96923
3/1/1980,8.6,11.59368,9.34859
4/1/1980,8.56,11.02072,8.90701
5/1/1980,8.56,10.73634,8.83558
6/1/1980,8.72,10.52447,8.94714
7/1/1980,8.6,10.53843,9.16656
8/1/1980,8.57,10.61246,9.23061
9/1/1980,8.67,10.65926,9.51003
10/1/1980,8.57,10.64636,9.61363
11/1/1980,8.64,10.77785,9.77313
12/1/1980,8.64,10.56708,9.64666
1/1/1981,8.59,10.47284,9.7634
2/1/1981,8.6,10.39321,9.47448
3/1/1981,8.41,9.81436,9.07129
4/1/1981,8.5,9.72126,9.20711
5/1/1981,8.32,9.36379,9.08168
6/1/1981,8.07,9.10977,8.90371
7/1/1981,8.1,8.92334,8.79507
8/1/1981,8.01,8.69826,8.73678
9/1/1981,7.82,8.35436,8.42945
10/1/1981,7.62,7.97856,8.18418
11/1/1981,7.41,7.68222,7.96661
12/1/1981,7.14,7.31855,7.71437
1/1/1982,6.83,6.9285,7.4478
2/1/1982,6.38,6.17456,7.07907
3/1/1982,6.2,5.71267,6.95256
4/1/1982,5.86,5.3065,6.69349
5/1/1982,5.77,5.45573,6.54331
6/1/1982,5.74,5.80102,6.54467
7/1/1982,5.76,5.78843,6.59301
8/1/1982,5.49,5.45856,6.37073
9/1/1982,5.13,5.11379,6.06994
10/1/1982,5.06,5.22852,6.10887
11/1/1982,4.78,4.97868,5.88287
12/1/1982,4.61,4.81374,5.83075
1/1/1983,4.63,4.68184,5.90353
2/1/1983,4.57,4.54536,5.88731
3/1/1983,4.33,4.41148,5.56057
4/1/1983,4.47,4.83342,5.46366
5/1/1983,4.24,4.51322,5.04187
6/1/1983,4.06,4.14658,5.00615
7/1/1983,3.79,4.11587,5.03076
8/1/1983,3.7,4.23931,5.08954
9/1/1983,3.79,4.3133,5.12504
10/1/1983,3.56,3.9089,4.64851
11/1/1983,3.68,3.74391,4.50728
12/1/1983,3.63,3.64517,4.25172
1/1/1984,3.59,3.61173,3.889
2/1/1984,3.64,4.13189,4.15825
3/1/1984,3.79,4.34006,4.41995
4/1/1984,3.78,4.2611,4.59347
5/1/1984,3.7,4.09619,4.68424
6/1/1984,3.71,3.89418,4.4444
7/1/1984,3.8,3.68262,4.19408
8/1/1984,3.88,3.55628,4.00096
9/1/1984,3.86,3.33761,3.74036
10/1/1984,3.94,3.40386,3.78931
11/1/1984,3.77,3.4031,3.7666
12/1/1984,3.88,3.63673,4.10206
1/1/1985,3.73,3.70444,4.3348
2/1/1985,3.82,3.49021,4.22143
3/1/1985,3.82,3.55351,4.19187
4/1/1985,3.61,3.31269,3.82651
5/1/1985,3.69,3.42796,3.94558
6/1/1985,3.75,3.52348,4.04261
7/1/1985,3.55,3.40772,3.90013
8/1/1985,3.54,3.43221,4.06577
9/1/1985,3.5,3.46633,4.12085
10/1/1985,3.46,3.39432,4.05429
11/1/1985,3.61,3.54991,4.08957
12/1/1985,3.62,3.60733,3.95942
1/1/1986,3.72,3.56445,3.9412
2/1/1986,3.47,3.08637,3.6689
3/1/1986,3.28,2.46062,3.6224
4/1/1986,3.33,2.10033,3.68735
5/1/1986,3.26,2.04615,3.50498
6/1/1986,3.24,2.14822,3.47487
7/1/1986,3.27,1.92453,3.35909
8/1/1986,3.19,1.71547,3.06802
9/1/1986,3.2,1.87559,3.19417
10/1/1986,3.27,1.8893,3.37644
11/1/1986,3.2,1.77566,3.3425
12/1/1986,3.13,1.57078,3.19456
1/1/1987,3.16,1.5784,2.88472
2/1/1987,3.22,1.93553,2.82472
3/1/1987,3.41,2.42749,2.81614
4/1/1987,3.57,3.02157,3.06546
5/1/1987,3.66,3.09393,3.17915
6/1/1987,3.6,3.10282,3.15345
7/1/1987,3.59,3.31264,3.23199
8/1/1987,3.74,3.5908,3.36667
9/1/1987,3.71,3.60118,3.43586
10/1/1987,3.73,3.74341,3.52916
11/1/1987,3.72,3.75692,3.5252
12/1/1987,3.63,3.80673,3.61102
1/1/1988,3.62,3.72712,3.85152
2/1/1988,3.58,3.51438,3.85795
3/1/1988,3.56,3.5993,3.99423
4/1/1988,3.51,3.7158,4.05791
5/1/1988,3.49,3.75315,4.12164
6/1/1988,3.59,3.80169,4.27395
7/1/1988,3.77,4.0666,4.42967
8/1/1988,3.71,3.96509,4.33692
9/1/1988,3.87,4.12044,4.48356
10/1/1988,3.82,4.12862,4.43357
11/1/1988,3.87,4.17197,4.50139
12/1/1988,4.01,4.30536,4.62695
1/1/1989,4.05,4.43266,4.66307
2/1/1989,4.15,4.62788,4.71291
3/1/1989,4.16,4.65563,4.57957
4/1/1989,4.16,4.84356,4.42287
5/1/1989,4.24,4.92144,4.37932
6/1/1989,4.13,4.70542,4.21397
7/1/1989,4.04,4.44899,4.05886
8/1/1989,3.95,4.15139,3.94765
9/1/1989,3.8,3.87724,3.75002
10/1/1989,3.94,3.94453,3.73256
11/1/1989,3.92,3.93028,3.72398
12/1/1989,3.94,3.90622,3.67575
1/1/1990,3.85,4.16043,3.54995
2/1/1990,3.82,4.27233,3.79065
3/1/1990,3.95,4.27653,3.97653
4/1/1990,3.9,3.80366,3.9391
5/1/1990,3.8,3.65926,3.945
6/1/1990,3.94,3.88871,4.07401
7/1/1990,3.96,3.89754,4.06993
8/1/1990,4.14,4.57649,4.35463
9/1/1990,4.13,4.9849,4.35868
10/1/1990,4.01,5.17478,4.33501
11/1/1990,3.89,5.07863,4.18286
12/1/1990,3.84,4.87368,4.03233
1/1/1991,3.82,4.48021,4.15032
2/1/1991,3.72,4.07478,3.93183
3/1/1991,3.43,3.7056,3.65188
4/1/1991,3.35,3.67707,3.54956
5/1/1991,3.45,3.87289,3.64693
6/1/1991,3.23,3.59076,3.46813
7/1/1991,3.1,3.49797,3.52076
8/1/1991,2.91,3.05171,3.37625
9/1/1991,2.9,2.77669,3.42847
10/1/1991,2.83,2.38314,3.30448
11/1/1991,2.97,2.47791,3.37333
12/1/1991,3,2.63848,3.48374
1/1/1992,2.88,2.38897,3.25094
2/1/1992,2.9,2.59626,3.24651
3/1/1992,2.99,2.82427,3.28924
4/1/1992,2.94,2.9147,3.4219
5/1/1992,2.8,2.62483,3.15482
6/1/1992,2.8,2.6342,3.01416
7/1/1992,2.82,2.81059,3.08806
8/1/1992,2.75,2.711,2.90063
9/1/1992,2.61,2.52521,2.65628
10/1/1992,2.64,2.69511,2.82539
11/1/1992,2.61,2.67101,2.85827
12/1/1992,2.5,2.59332,2.79563
1/1/1993,2.5,2.7045,2.81431
2/1/1993,2.51,2.5983,2.73245
3/1/1993,2.45,2.56048,2.69803
4/1/1993,2.52,2.55508,2.66026
5/1/1993,2.57,2.73719,2.86321
6/1/1993,2.53,2.59048,2.8812
7/1/1993,2.5,2.41529,2.7078
8/1/1993,2.49,2.45367,2.80449
9/1/1993,2.53,2.39328,2.79133
10/1/1993,2.49,2.35381,2.56762
11/1/1993,2.43,2.34624,2.60624
12/1/1993,2.4,2.19191,2.46188
1/1/1994,2.36,1.97643,2.24746
2/1/1994,2.35,2.06004,2.2715
3/1/1994,2.41,2.13196,2.3995
4/1/1994,2.31,1.98175,2.25437
5/1/1994,2.27,1.81403,2.13717
6/1/1994,2.34,2.02733,2.26568
7/1/1994,2.35,2.18686,2.26798
8/1/1994,2.34,2.2455,2.19246
9/1/1994,2.32,2.2533,2.19476
10/1/1994,2.26,2.10467,2.265
11/1/1994,2.28,2.10646,2.18969
12/1/1994,2.25,2.14922,2.17899
1/1/1995,2.35,2.32143,2.3508
2/1/1995,2.29,2.26574,2.29726
3/1/1995,2.25,2.17204,2.19967
4/1/1995,2.31,2.32129,2.28326
5/1/1995,2.27,2.3308,2.23002
6/1/1995,2.19,2.18105,2.09194
7/1/1995,2.16,1.98649,2.03961
8/1/1995,2.21,1.97344,2.16868
9/1/1995,2.23,1.92872,2.149
10/1/1995,2.32,2.02167,2.15759
11/1/1995,2.27,1.82437,2.03665
12/1/1995,2.31,1.95301,2.14476
1/1/1996,2.25,1.97443,2.00648
2/1/1996,2.25,1.95406,1.97343
3/1/1996,2.26,2.07395,1.95776
4/1/1996,2.22,2.11048,1.86159
5/1/1996,2.25,2.12959,1.86379
6/1/1996,2.29,2.02839,1.85412
7/1/1996,2.32,2.1179,1.88474
8/1/1996,2.31,1.99368,1.72892
9/1/1996,2.36,2.212,1.90183
10/1/1996,2.34,2.25618,1.89588
11/1/1996,2.39,2.44068,1.964
12/1/1996,2.38,2.36266,1.86139
1/1/1997,2.35,2.26764,1.85397
2/1/1997,2.36,2.32199,1.92992
3/1/1997,2.31,2.12117,1.93872
4/1/1997,2.31,1.91609,1.99828
5/1/1997,2.22,1.6925,1.89574
6/1/1997,2.22,1.82525,1.96821
7/1/1997,2.13,1.66983,1.84461
8/1/1997,2.06,1.65598,1.71796
9/1/1997,2.05,1.61459,1.62091
10/1/1997,1.9,1.43884,1.53457
11/1/1997,1.8,1.26301,1.43188
12/1/1997,1.73,1.12499,1.45092
1/1/1998,1.66,1.04386,1.49901
2/1/1998,1.61,0.78024,1.37736
3/1/1998,1.65,0.69057,1.24277
4/1/1998,1.63,0.71545,1.23127
5/1/1998,1.71,0.90146,1.2563
6/1/1998,1.64,0.68664,0.98
7/1/1998,1.69,0.87559,1.19668
8/1/1998,1.75,0.93393,1.43399
9/1/1998,1.7,0.63183,1.2063
10/1/1998,1.77,0.72192,1.2496
11/1/1998,1.78,0.72322,1.23762
12/1/1998,1.81,0.84506,1.35287
1/1/1999,1.85,0.93819,1.34308
2/1/1999,1.8,0.93198,1.2224
3/1/1999,1.72,0.99199,1.14534
4/1/1999,1.77,1.3553,1.21886
5/1/1999,1.73,1.28144,1.21767
6/1/1999,1.76,1.39862,1.3974
7/1/1999,1.79,1.41781,1.29503
8/1/1999,1.75,1.46105,1.14577
9/1/1999,1.8,1.88491,1.43183
10/1/1999,1.81,1.83433,1.40739
11/1/1999,1.84,1.9205,1.48609
12/1/1999,1.88,2.05516,1.44032
1/1/2000,2,2.18862,1.53727
2/1/2000,2.12,2.56743,1.7232
3/1/2000,2.24,2.93086,1.9004
