DATE,PI
1959-01-01,402.8666666666666667
1960-01-01,422.1416666666666667
1961-01-01,440.5750000000000000
1962-01-01,468.8416666666666667
1963-01-01,492.7750000000000000
1964-01-01,528.1916666666666667
1965-01-01,570.6416666666666667
1966-01-01,620.3333333333333333
1967-01-01,665.7250000000000000
1968-01-01,730.9250000000000000
1969-01-01,800.3500000000000000
1970-01-01,865.0666666666666667
1971-01-01,932.7750000000000000
1972-01-01,1024.4583333333333333
1973-01-01,1140.7833333333333333
1974-01-01,1251.8333333333333333
1975-01-01,1369.4000000000000000
1976-01-01,1502.6416666666666667
1977-01-01,1659.2333333333333333
1978-01-01,1863.7250000000000000
1979-01-01,2082.6583333333333333
1980-01-01,2323.6416666666666667
1981-01-01,2605.1250000000000000
1982-01-01,2791.6166666666666667
1983-01-01,2981.0583333333333333
1984-01-01,3292.7166666666666667
1985-01-01,3524.8750000000000000
1986-01-01,3733.0833333333333333
1987-01-01,3961.5916666666666667
1988-01-01,4283.4166666666666667
1989-01-01,4625.5750000000000000
1990-01-01,4913.7750000000000000
1991-01-01,5084.9083333333333333
1992-01-01,5420.8583333333333333
1993-01-01,5657.9333333333333333
1994-01-01,5947.0916666666666667
1995-01-01,6291.3500000000000000
1996-01-01,6678.5166666666666667
1997-01-01,7092.4666666666666667
1998-01-01,7606.6500000000000000
1999-01-01,8001.8583333333333333
2000-01-01,8652.5833333333333333
2001-01-01,9005.5916666666666667
2002-01-01,9158.9666666666666667
2003-01-01,9487.5416666666666667
2004-01-01,10035.0750000000000000
2005-01-01,10598.2333333333333333
2006-01-01,11381.700000000000
2007-01-01,12007.775000000000
2008-01-01,12442.208333333333
2009-01-01,12059.116666666667
2010-01-01,12551.608333333333
2011-01-01,13326.766666666667
2012-01-01,14010.141666666667
2013-01-01,14181.083333333333
2014-01-01,14991.708333333333
2015-01-01,15724.241666666667
2016-01-01,16160.716666666667
2017-01-01,16948.591666666667
2018-01-01,17851.825000000000
2019-01-01,18551.508333333333
2020-01-01,19727.916666666667
2021-01-01,.
