caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
1,227,.6505,39029.6774,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Self-employed","None","3 to 5","Yes","No","No","No","No","Yes, already returned to work for the same employer","About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher",,,,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","About the same","No",57,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Other, Non-Hispanic","Male","Yes",1,"A one-family house detached from any other house","$30,000 to $34,999","Never married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","wi",0,0,1,0,0,"Working self-employed"
4,235,.637,38221.3509,"Own your home with a mortgage or a loan","No","AndroidPhone","Just getting by","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","10 to 19","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",51,"45-54","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$35,000 to $39,999","Married","Non-Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","il",0,0,2,0,0,"Working as a paid employee"
6,4351,.5036,30213.981,"Own your home with a mortgage or a loan","No","ChromeBook","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","All",,"No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, borrowed money",57,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A building with 2 or more apartments","$50,000 to $59,999","Divorced","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","il",0,0,1,0,0,"Working as a paid employee"
8,480,.7061,42366.7853,"Neither own nor pay rent","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Not at all confident","Not at all confident","Employed","None","1 to 2","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Much higher","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",60,"55-64","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","No",9,"A one-family house detached from any other house","$50,000 to $59,999","Married","Metro","Northeast","New England","Occupied without payment of cash rent","ct",0,0,8,1,0,"Working as a paid employee"
9,196,.5644,33863.1478,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,80,"75+","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","or",0,0,2,0,0,"Not working retired"
13,364,.621,37260.9801,"Pay rent","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,88,"75+","60+","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",1,"A building with 2 or more apartments","$35,000 to $39,999","Widowed","Metro","Midwest","West-North Central","Rented for cash","ne",0,0,1,0,0,"Not working retired"
14,249,1.1982,71889.6696,"Own your home with a mortgage or a loan","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,68,"65-74","60+","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",3,"A one-family house detached from any other house","$60,000 to $74,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","sc",0,1,2,0,0,"Not working retired"
15,239,.8742,52450.6393,"Own your home free and clear (without a mortgage or loan)","Yes","iPad","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,83,"75+","60+","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$250,000 or more","Married","Metro","South","East-South Central","Owned or being bought by you or someone in your household","ky",0,0,2,0,0,"Not working retired"
16,389,.7807,46840.2376,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","3 to 5","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",57,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$100,000 to $124,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,2,0,0,"Working as a paid employee"
18,101,1.0323,61937.9381,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,68,"65-74","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$60,000 to $74,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Not working retired"
