,2015,2016,2017,2018,2019,2020
Personal income,15724.20,16160.70,16948.60,17851.80,18551.50,19727.90
        Compensation of employees,9699.40,9963.90,10422.50,10950.10,11432.40,11490.70
                Wages and salaries,7859.50,8089.10,8471.50,8894.20,9309.30,9370.50
                        Private industries,6583.70,6780.90,7123.70,7491.70,7858.50,7924.90
                        Government,1275.80,1308.20,1347.70,1402.50,1450.80,1445.60
                Supplements to wages and salaries,1839.90,1874.70,1951.10,2055.90,2123.10,2120.20
        Proprietors' income with IVA and CCAdj,1423.00,1424.80,1509.00,1585.90,1657.70,1695.10
                Farm,56.20,36.00,41.50,43.00,49.70,64.70
                    Of which:,,,,,,
                        Coronavirus Food Assistance Program 1,...,...,...,...,...,20.40
                        Paycheck Protection Program loans to businesses 2,...,...,...,...,...,4.60
                Nonfarm,1366.70,1388.70,1467.40,1542.90,1608.00,1630.50
                   Of which:,,,,,,
                        Paycheck Protection Program loans to businesses 2,...,...,...,...,...,148.90
        Rental income of persons with CCAdj,649.00,682.70,721.90,759.30,787.10,801.80
        Personal income receipts on assets,2472.20,2551.70,2738.50,2946.70,2967.90,2912.80
                Personal interest income,1439.10,1474.30,1577.60,1641.60,1677.40,1640.20
                Personal dividend income,1033.10,1077.40,1160.80,1305.10,1290.40,1272.60
        Personal current transfer receipts,2685.40,2776.80,2855.10,2970.30,3125.20,4268.70
                Government social benefits to persons,2635.10,2717.10,2806.20,2922.90,3078.00,4221.60
                        Social security ,871.80,896.50,926.10,972.40,1030.70,1078.50
                        Medicare ,634.90,662.10,692.30,734.20,783.70,833.00
                            Of which:,,,,,,
                                 Increase in Medicare reimbursement rates 3,...,...,...,...,...,9.90
                        Medicaid,535.90,562.70,573.70,589.80,614.00,664.80
                        Unemployment insurance,32.50,32.30,30.30,27.90,27.70,549.90
Of which: 4,,,,,,
Extended Unemployment Benefits,...,...,...,...,...,3.50
Pandemic Emergency Unemployment Compensation,...,...,...,...,...,23.70
Pandemic Unemployment Assistance,...,...,...,...,...,92.00
Pandemic Unemployment Compensation Payments,...,...,...,...,...,266.50
                        Veterans' benefits,92.60,96.80,111.50,119.70,130.90,143.60
                        Other,467.40,466.80,472.40,478.90,490.90,951.80
Of which:,,,,,,
                                    Economic impact payments 5,...,...,...,...,...,274.70
                                    Lost wages supplemental payments 6,...,...,...,...,...,35.50
                                    Paycheck Protection Program loans to NPISH 2,...,...,...,...,...,14.20
                                    Provider Relief Fund to NPISH 7,...,...,...,...,...,63.80
"                Other current transfer receipts, from business (net)",50.30,59.70,48.80,47.40,47.20,47.20
        Less: Contributions for government social insurance,1204.70,1239.10,1298.40,1360.40,1418.80,1441.20
Less: Personal current taxes,1939.90,1957.90,2046.70,2085.30,2202.90,2202.70
Equals: Disposable personal income (DPI),13784.30,14202.80,14901.90,15766.50,16348.60,17525.30
Less: Personal outlays,12745.60,13227.80,13830.90,14529.20,15117.40,14648.20
        Personal consumption expenditures,12297.50,12770.00,13340.40,13993.30,14544.60,14145.30
        Personal interest payments ,264.70,273.00,297.30,332.90,362.30,299.20
Of which:,,,,,,
Student loan forbearance 8,...,...,...,...,...,-28.80
        Personal current transfer payments,183.50,184.80,193.30,203.00,210.50,203.70
                To government,100.90,103.40,107.10,111.40,115.20,112.80
                To the rest of the world (net),82.50,81.50,86.10,91.60,95.30,90.90
Equals: Personal saving,1038.70,975.00,1071.00,1237.30,1231.20,2877.10
