Date,EU-28,US,JAPAN,CHINA,AUSTRALIA
2018-01-01,-1224064,229121,-1901299,4224375,-801386
2018-02-01,-598075,154412,-2067069,3924300,-1065351
2018-03-01,-550629,871186,-2622691,5164151,-875160
2018-04-01,-35237,1185057,-2456833,4314645,-658420
2018-05-01,-712194,1330941,-1908646,4572180,-601715
2018-06-01,-646592,1633347,-1871347,5101223,-694756
2018-07-01,-380809,1247287,-2043148,4851955,-665748
2018-08-01,-740699,1215157,-1822728,5875989,-1075916
2018-09-01,-304351,1473587,-1712014,6700639,-1273276
2018-10-01,477796,1392310,-2208110,4803932,-1022941
2018-11-01,-297813,1962348,-1614845,3706677,-1302773
2018-12-01,392399,1156867,-1846441,2396398,-1070772
2019-01-01,183168,918778,-1432973,497512,-1335965
2019-02-01,160974,1071263,-1511136,2948739,-835657
2019-03-01,-339409,1296969,-2053729,2637999,-895357
2019-04-01,166397,572688,-2355689,2636759,-838319
2019-05-01,-392735,987605,-1182275,1071094,-1094885
2019-06-01,72224,1577657,-1626019,1766405,-1101008
2019-07-01,-699011,729968,-1658399,2051221,-955102
2019-08-01,-923035,444720,-1643832,2974826,-1543447
2019-09-01,368676,931891,-1511885,3165318,-850471
2019-10-01,-285983,1394632,-1443505,3027860,-1084376
2019-11-01,-653070,991906,-1112551,2922951,-819172
2019-12-01,-694625,547257,-1628648,3273112,-1363913
2020-01-01,-87579,163272,-728307,213805,-1374906
2020-02-01,-397499,496560,-1506934,3271893,-856425
2020-03-01,-414368,1909344,-1904993,1687723,-999020
2020-04-01,-595183,235410,-2003916,525028,-1150316
2020-05-01,-1554094,296534,-1323241,1749759,-1126978
2020-06-01,-1346877,1138063,-1724248,2517548,-873054
2020-07-01,-889414,2151900,-1862992,2541631,-864888
2020-08-01,-624112,967585,-1777178,2677575,-644597
2020-09-01,90217,2343191,-1715509,3018673,-1081704
2020-10-01,-381889,2198751,-2068617,1905072,-1135079
2020-11-01,-802319,2476168,-1931412,1743688,-1130986
2020-12-01,-530724,2246863,-2378037,1828406,-1280639
2021-01-01,-171914,3394193,-1710349,1023769,-1205586
2021-02-01,743580,635207,-1924898,2186859,-1592036
2021-03-01,393082,1749723,-2419275,2523544,-1967507
2021-04-01,-592063,1116872,-2355554,1883419,-1638792
2021-05-01,-718318,1011886,-1606272,2372165,-1393333
2021-06-01,-307372,2227875,-2002238,1646865,-1428530
2021-07-01,-871111,2384539,-1971852,2062345,-2284867
2021-08-01,-45109,1493992,-1931322,2149899,-2085819
2021-09-01,269529,2024204,-2108118,2882513,-2482124
2021-10-01,-386118,2070941,-2081746,2431228,-1856658
2021-11-01,350678,1493144,-2050565,1608788,-2531201
2021-12-01,-828772,3085965,-2418170,1513454,-2701031
2022-01-01,515492,1464295,-1840000,190965,-2894056
2022-02-01,284247,1775780,-2232221,2632320,-2229475
2022-03-01,659624,2642184,-2559788,3015349,-2724539
2022-04-01,-54028,2999068,-2255014,616966,-1361165
2022-05-01,-252951,2424363,-1429192,-1096162,-1862179
2022-06-01,-346123,2998962,-1879166,-1197551,-2157535
2022-07-01,825336,3413663,-2048731,-609066,-2260572
2022-08-01,-446943,972031,-1916387,-385087,-2239687
2022-09-01,140245,2591091,-1854199,664696,-2197821
2022-10-01,136421,1898761,-2028022,-1256100,-1861157
2022-11-01,-626083,2245828,-2011536,-751086,-2107470
2022-12-01,-387695,2554956,-2051261,-612169,-2280717
2023-01-01,-69341,1084189,-1666160,-3967011,-2826824
