date,labor_costs,sales_level,productivity,non_labor_costs,margin_adjustment
11/18/2011,29,5,-1,40,-4
2/17/2012,26,9,2,42,5
5/18/2012,32,14,-1,38,7
8/17/2012,29,5,-1,42,5
11/16/2012,34,1,1,43,9
2/8/2013,33,16,2,42,6
5/10/2013,37,12,-2,42,8
8/9/2013,36,11,0,40,8
11/8/2013,35,15,0,34,5
2/7/2014,36,12,-3,34,7
5/9/2014,37,13,1,40,10
11/7/2014,39,15,4,33,7
2/13/2015,35,13,5,21,6
5/8/2015,37,18,2,31,10
8/7/2015,39,16,2,30,6
11/13/2015,41,16,0,26,9
2/12/2016,38,7,3,23,6
5/13/2016,41,11,-1,29,8
8/12/2016,38,10,-2,29,5
11/11/2016,44,13,-1,32,7
2/6/2017,36,14,1,36,11
5/5/2017,40,12,-1,39,5
8/11/2017,39,15,3,37,13
11/10/2017,37,8,6,32,11
2/9/2018,42,16,0,38,13
5/11/2018,41,17,1,40,10
8/10/2018,45,12,6,40,9
11/9/2018,48,6,1,41,11
2/8/2019,43,7,1,39,8
5/10/2019,42,10,-1,32,13
8/9/2019,45,12,0,33,11
11/8/2019,38,12,0,32,10
2/7/2020,37,10,0,31,13
5/8/2020,36,12,-3,34,7
8/7/2020,22,-10,-4,27,-2
11/6/2020,33,-1,-3,36,6
2/5/2021,39,6,-3,41,8
5/7/2021,50,17,1,56,9
8/6/2021,53,10,0,55,9
11/5/2021,56,13,6,56,15
2/11/2022,59,12,2,63,22
5/6/2022,68,10,1,71,18
8/3/2022,62,9,0,60,16
11/8/2022,52,-1,3,52,16
2/10/2023,55,-3,-1,46,8
