date,value
2005-01-01,100.0
2006-01-01,108.5
2007-01-01,115.4
2008-01-01,122.5
2009-01-01,123.6
2010-01-01,125.8
2011-01-01,127.8
2012-01-01,122.1
2013-01-01,128.5
2014-01-01,131.2
2015-01-01,144.1
2016-01-01,152.2
2017-01-01,160.4
2018-01-01,175.1
2019-01-01,179.9
2020-01-01,183.4
2021-01-01,180.4
2022-01-01,191.8
2023-01-01,205.8
2005-04-01,100.6
2006-04-01,110.1
2007-04-01,115.4
2008-04-01,121.7
2009-04-01,123.8
2010-04-01,123.6
2011-04-01,124.8
2012-04-01,121.1
2013-04-01,128.4
2014-04-01,131.3
2015-04-01,146.5
2016-04-01,153.4
2017-04-01,163.0
2018-04-01,176.0
2019-04-01,179.4
2020-04-01,181.0
2021-04-01,181.0
2022-04-01,196.1
2023-04-01,208.7
2005-07-01,102.9
2006-07-01,114.9
2007-07-01,118.0
2008-07-01,121.7
2009-07-01,123.6
2010-07-01,125.3
2011-07-01,122.8
2012-07-01,123.1
2013-07-01,129.0
2014-07-01,131.8
2015-07-01,147.6
2016-07-01,155.4
2017-07-01,168.0
2018-07-01,179.0
2019-07-01,179.7
2020-07-01,181.2
2021-07-01,183.5
2022-07-01,200.1
2023-07-01,209.0
2005-10-01,105.8
2006-10-01,117.4
2007-10-01,119.0
2008-10-01,122.3
2009-10-01,126.5
2010-10-01,128.6
2011-10-01,120.5
2012-10-01,124.4
2013-10-01,127.8
2014-10-01,135.2
2015-10-01,151.1
2016-10-01,159.5
2017-10-01,170.9
2018-10-01,178.8
2019-10-01,181.7
2020-10-01,179.9
2021-10-01,188.9
2022-10-01,203.8
2023-10-01,211.8
