date,total,two_four,five_nine,ten_nineteen,twenty_plus
1/1/1999,9.6 ,8.9 ,9.4 ,10.1 ,11.2 
1/1/2000,9.8 ,8.4 ,9.7 ,10.5 ,11.4 
1/1/2001,9.6 ,8.8 ,9.5 ,9.9 ,11.7 
1/1/2002,9.9 ,9.1 ,9.5 ,10.3 ,11.6 
1/1/2003,10.1 ,9.2 ,10.2 ,10.5 ,11.8 
1/1/2004,10.8 ,10.1 ,10.6 ,11.0 ,12.1 
1/1/2005,11.1 ,9.9 ,11.5 ,12.3 ,13.3 
1/1/2006,12.0 ,11.0 ,12.0 ,13.2 ,14.9 
1/1/2007,12.4 ,11.6 ,12.1 ,12.9 ,14.8 
1/1/2008,13.2 ,13.0 ,12.8 ,12.3 ,14.7 
1/1/2009,13.4 ,12.9 ,13.9 ,13.0 ,13.9 
1/1/2010,14.0 ,14.9 ,13.3 ,12.5 ,14.3 
1/1/2011,12.6 ,12.9 ,14.1 ,11.8 ,11.9 
1/1/2012,10.8 ,9.6 ,12.7 ,9.9 ,11.8 
1/1/2013,10.4 ,9.4 ,9.9 ,10.1 ,11.9 
1/1/2014,11.7 ,10.1 ,10.6 ,11.6 ,13.4 
1/1/2015,12.2 ,10.5 ,11.2 ,12.1 ,14.3 
1/1/2016,12.9 ,10.9 ,12.4 ,12.2 ,15.0 
1/1/2017,13.9 ,11.6 ,14.0 ,13.5 ,15.7 
1/1/2018,14.4 ,10.5 ,14.6 ,14.4 ,17.4 
1/1/2019,15.4 ,12.6 ,14.6 ,16.4 ,17.2 
1/1/2020,15.4 ,12.9 ,15.5 ,14.1 ,17.7 
1/1/2021,15.4 ,11.9 ,15.8 ,15.5 ,17.2 
1/1/2022,17.1 ,15.8 ,15.5 ,17.3 ,18.1 
1/1/2023,17.1 ,15.7 ,15.0 ,17.2 ,18.9 
