date,Total,Under_1k,1_1.2k,1.2_1.4l,1.4_1.8k,1.8k_plus
1/1/1999,334,136,105,50,31,13
1/1/2000,332,135,99,52,30,16
1/1/2001,315,105,95,54,43,18
1/1/2002,323,120,94,49,42,19
1/1/2003,292,97,90,52,35,18
1/1/2004,310,104,89,55,41,21
1/1/2005,296,88,82,51,47,28
1/1/2006,325,83,89,67,48,38
1/1/2007,284,75,68,53,51,38
1/1/2008,301,98,74,58,38,34
1/1/2009,274,94,68,51,37,25
1/1/2010,155,52,42,35,17,10
1/1/2011,138,45,40,29,18,6
1/1/2012,166,63,42,35,18,9
1/1/2013,195,81,54,32,21,7
1/1/2014,264,96,71,53,30,15
1/1/2015,320,116,107,49,33,15
1/1/2016,321,100,103,60,35,24
1/1/2017,358,122,119,56,40,20
1/1/2018,345,124,95,64,39,23
1/1/2019,352,133,96,64,42,17
1/1/2020,375,134,119,72,35,16
1/1/2021,371,150,116,60,33,12
1/1/2022,368,174,96,56,29,14
