CSA,CBSA,Name,Total_2023,SF_2023,Duplex_2023,Tri_Quad_2023,5_Plus_2023,Total_2022,SF_2022,Duplex_2022,Tri_Quad_2022,5_Plus_2022
999,10180,"Abilene, TX                                                 ",456,336,56,0,64,799,473,52,0,274
184,10420,"Akron, OH                                                   ",985,687,4,103,191,3047,796,68,437,1746
999,10500,"Albany, GA                                                  ",182,161,2,4,15,202,169,0,0,33
440,10540,"Albany-Lebanon, OR                                          ",324,240,52,7,25,327,220,26,3,78
104,10580,"Albany-Schenectady-Troy, NY                                 ",1952,978,40,58,876,2615,1266,68,44,1237
106,10740,"Albuquerque, NM                                             ",2977,2067,0,0,910,3057,2002,0,7,1048
999,10780,"Alexandria, LA                                              ",242,224,18,0,0,353,313,40,0,0
999,10900,"Allentown-Bethlehem-Easton, PA-NJ                           ",1772,1346,20,0,406,2309,1586,28,20,675
107,11020,"Altoona, PA                                                 ",63,57,2,4,0,123,71,0,0,52
108,11100,"Amarillo, TX                                                ",681,576,46,4,55,982,818,50,4,110
218,11180,"Ames, IA                                                    ",239,149,4,86,0,331,239,8,52,32
999,11260,"Anchorage, AK                                               ",373,282,22,8,61,213,166,10,8,29
220,11460,"Ann Arbor, MI                                               ",1303,499,28,4,772,629,580,6,10,33
999,11500,"Anniston-Oxford, AL                                         ",57,55,2,0,0,78,76,2,0,0
118,11540,"Appleton, WI                                                ",779,465,42,4,268,767,480,104,0,183
120,11700,"Asheville, NC                                               ",3831,2559,30,0,1242,3531,2813,2,0,716
122,12020,"Athens-Clarke County, GA                                    ",1020,770,34,33,183,2345,771,20,12,1542
122,12060,"Atlanta-Sandy Springs-Alpharetta, GA                        ",38589,23972,114,276,14227,48107,26623,184,398,20902
428,12100,"Atlantic City-Hammonton, NJ                                 ",406,329,32,0,45,762,401,22,0,339
194,12220,"Auburn-Opelika, AL                                          ",1403,1359,30,9,5,2192,1127,28,7,1030
999,12260,"Augusta-Richmond County, GA-SC                              ",3550,3371,14,33,132,4190,3429,6,89,666
999,12420,"Austin-Round Rock-Georgetown, TX                            ",38599,16738,384,109,21368,42364,19717,326,142,22179
999,12540,"Bakersfield, CA                                             ",2462,2263,48,15,136,2688,2471,26,7,184
548,12580,"Baltimore-Columbia-Towson, MD                               ",7236,3838,2,4,3392,6588,2832,10,6,3740
999,12620,"Bangor, ME                                                  ",303,277,18,8,0,430,349,50,31,0
148,12700,"Barnstable Town, MA                                         ",528,399,12,13,104,887,564,36,15,272
999,12940,"Baton Rouge, LA                                             ",3272,3001,4,3,264,3773,3481,22,3,267
310,12980,"Battle Creek, MI                                            ",78,78,0,0,0,95,93,2,0,0
474,13020,"Bay City, MI                                                ",42,42,0,0,0,67,67,0,0,0
999,13140,"Beaumont-Port Arthur, TX                                    ",1054,956,28,4,66,1368,1338,24,0,6
999,13220,"Beckley, WV                                                 ",94,94,0,0,0,104,104,0,0,0
999,13380,"Bellingham, WA                                              ",905,580,8,25,292,1614,810,10,78,716
140,13460,"Bend, OR                                                    ",2397,1192,122,15,1068,2113,1178,112,47,776
999,13740,"Billings, MT                                                ",351,349,2,0,0,1202,881,72,0,249
999,13780,"Binghamton, NY                                              ",336,118,0,4,214,452,152,0,0,300
142,13820,"Birmingham-Hoover, AL                                       ",3287,2937,22,4,324,4147,3045,64,46,992
999,13900,"Bismarck, ND                                                ",291,192,74,20,5,610,378,90,70,72
999,13980,"Blacksburg-Christiansburg, VA                               ",490,482,2,6,0,500,377,16,0,107
145,14010,"Bloomington, IL                                             ",244,184,54,0,6,437,305,6,8,118
144,14020,"Bloomington, IN                                             ",569,326,4,0,239,552,340,6,0,206
146,14100,"Bloomsburg-Berwick, PA                                      ",113,98,4,0,11,135,135,0,0,0
147,14260,"Boise City, ID                                              ",9882,6499,38,230,3115,10475,5925,78,398,4074
148,14460,"Boston-Cambridge-Newton, MA-NH                              ",10580,3419,336,348,6477,14454,3985,466,377,9626
216,14500,"Boulder, CO                                                 ",1646,800,16,43,787,1642,661,26,76,879
150,14540,"Bowling Green, KY                                           ",1448,821,6,33,588,1636,835,8,35,758
500,14740,"Bremerton-Silverdale-Port Orchard, WA                       ",2258,1006,2,4,1246,1701,1041,8,50,602
408,14860,"Bridgeport-Stamford-Norwalk, CT                             ",1506,446,44,11,1005,1668,603,52,6,1007
154,15180,"Brownsville-Harlingen, TX                                   ",1958,1485,198,81,194,2509,1940,88,39,442
999,15260,"Brunswick, GA                                               ",785,561,68,64,92,1568,880,88,63,537
160,15380,"Buffalo-Cheektowaga, NY                                     ",1292,800,58,36,398,1597,1219,32,49,297
268,15500,"Burlington, NC                                              ",2730,1641,6,0,1083,1949,1793,2,8,146
162,15540,"Burlington-South Burlington, VT                             ",1187,421,82,15,669,1022,422,74,25,501
548,15680,"California-Lexington Park, MD                               ",386,386,0,0,0,238,238,0,0,0
184,15940,"Canton-Massillon, OH                                        ",509,361,18,53,77,810,469,32,96,213
163,15980,"Cape Coral-Fort Myers, FL                                   ",13556,8654,304,15,4583,13621,9145,256,113,4107
164,16020,"Cape Girardeau, MO-IL                                       ",78,78,0,0,0,148,117,10,6,15
999,16060,"Carbondale-Marion, IL                                       ",129,66,4,51,8,150,67,4,69,10
456,16180,"Carson City, NV                                             ",242,153,0,9,80,272,167,0,12,93
999,16220,"Casper, WY                                                  ",129,117,0,12,0,207,133,10,4,60
168,16300,"Cedar Rapids, IA                                            ",753,454,40,58,201,947,453,70,19,405
548,16540,"Chambersburg-Waynesboro, PA                                 ",410,306,24,0,80,410,312,30,12,56
999,16580,"Champaign-Urbana, IL                                        ",574,220,4,3,347,920,313,0,32,575
170,16620,"Charleston, WV                                              ",188,188,0,0,0,160,154,2,4,0
999,16700,"Charleston-North Charleston, SC                             ",8496,6107,82,234,2073,9323,6329,2,32,2960
172,16740,"Charlotte-Concord-Gastonia, NC-SC                           ",29361,19088,120,26,10127,27212,19029,142,47,7994
999,16820,"Charlottesville, VA                                         ",1315,899,4,15,397,1500,1017,4,20,459
174,16860,"Chattanooga, TN-GA                                          ",3011,2238,120,126,527,3081,2121,168,78,714
999,16940,"Cheyenne, WY                                                ",284,162,14,100,8,1163,375,0,144,644
176,16980,"Chicago-Naperville-Elgin, IL-IN-WI                          ",14821,8356,334,592,5539,17636,8563,296,649,8128
999,17020,"Chico, CA                                                   ",929,691,20,16,202,1853,989,50,48,766
178,17140,"Cincinnati, OH-KY-IN                                        ",6246,3735,306,180,2025,6210,4126,290,174,1620
999,17300,"Clarksville, TN-KY                                          ",2932,1378,92,134,1328,4093,1501,44,409,2139
174,17420,"Cleveland, TN                                               ",821,775,0,28,18,924,775,16,119,14
184,17460,"Cleveland-Elyria, OH                                        ",3276,2496,16,95,669,3735,2915,16,99,705
518,17660,"Coeur dAlene, ID                                            ",2046,1409,64,22,551,2039,1206,50,18,765
999,17780,"College Station-Bryan, TX                                   ",1443,1136,30,0,277,1775,1545,24,40,166
999,17820,"Colorado Springs, CO                                        ",5291,2677,240,15,2359,8844,3646,236,20,4942
190,17860,"Columbia, MO                                                ",669,604,6,3,56,779,628,12,4,135
192,17900,"Columbia, SC                                                ",5480,4649,78,151,602,5804,4101,18,175,1510
194,17980,"Columbus, GA-AL                                             ",647,587,6,4,50,1648,636,34,0,978
294,18020,"Columbus, IN                                                ",156,156,0,0,0,209,209,0,0,0
198,18140,"Columbus, OH                                                ",11439,5329,116,199,5795,12095,5623,98,82,6292
204,18580,"Corpus Christi, TX                                          ",1790,1719,2,0,69,1900,1895,0,0,5
440,18700,"Corvallis, OR                                               ",404,128,14,4,258,286,174,2,0,110
999,18880,"Crestview-Fort Walton Beach-Destin, FL                      ",5596,2814,52,20,2710,4122,2784,80,36,1222
999,19060,"Cumberland, MD-WV                                           ",70,59,4,7,0,66,63,0,3,0
206,19100,"Dallas-Fort Worth-Arlington, TX                             ",66557,42543,924,1016,22074,77894,43645,686,1306,32257
174,19140,"Dalton, GA                                                  ",466,336,50,36,44,480,376,40,34,30
999,19180,"Danville, IL                                                ",3,3,0,0,0,2,2,0,0,0
380,19300,"Daphne-Fairhope-Foley, AL                                   ",4368,3321,16,16,1015,3417,3141,32,4,240
209,19340,"Davenport-Moline-Rock Island, IA-IL                         ",616,364,20,75,157,597,416,26,99,56
212,19430,"Dayton-Kettering, OH                                        ",1760,1114,8,91,547,2265,1262,22,47,934
290,19460,"Decatur, AL                                                 ",305,305,0,0,0,279,275,0,4,0
999,19500,"Decatur, IL                                                 ",33,33,0,0,0,21,21,0,0,0
422,19660,"Deltona-Daytona Beach-Ormond Beach, FL                      ",7097,5358,296,97,1346,8536,6233,188,0,2115
216,19740,"Denver-Aurora-Lakewood, CO                                  ",20623,8972,164,115,11372,23476,10108,368,196,12804
218,19780,"Des Moines-West Des Moines, IA                              ",5017,3698,42,76,1201,6122,3646,106,61,2309
220,19820,"Detroit-Warren-Dearborn, MI                                 ",6197,4246,64,175,1712,7945,4698,66,305,2876
222,20020,"Dothan, AL                                                  ",480,468,0,12,0,498,484,10,4,0
428,20100,"Dover, DE                                                   ",1105,879,28,0,198,1056,1008,24,0,24
999,20220,"Dubuque, IA                                                 ",196,128,12,0,56,163,155,2,6,0
999,20260,"Duluth, MN-WI                                               ",835,533,26,0,276,761,560,14,0,187
450,20500,"Durham-Chapel Hill, NC                                      ",7243,3153,88,6,3996,6392,3170,70,9,3143
408,20700,"East Stroudsburg, PA                                        ",239,239,0,0,0,251,251,0,0,0
