date,NTRR_INDEX,NTRR,NTRR_lower_confinterval,NTRR_upper_confinterval,ATRR_index,ATRR,ATRR_lower_confinterval,ATRR_upper_confinterval
1/1/2000,,,,,102.274742,2.249256,2.192294,2.306217
4/1/2000,,,,,102.938255,2.283522,2.237275,2.329769
7/1/2000,,,,,103.613045,2.504678,2.462924,2.546432
10/1/2000,,,,,104.811707,2.809984,2.778713,2.841255
1/1/2001,,,,,105.306587,2.921323,2.873618,2.969028
4/1/2001,,,,,106.316505,3.22912,3.1888,3.26944
7/1/2001,,,,,107.108635,3.318036,3.26721,3.368862
10/1/2001,,,,,108.179108,3.162279,3.12307,3.201488
1/1/2002,,,,,108.652596,3.127962,3.071659,3.184266
4/1/2002,,,,,109.236504,2.709474,2.658771,2.760178
7/1/2002,,,,,109.747955,2.434282,2.391349,2.477215
10/1/2002,,,,,110.614319,2.226129,2.187022,2.265235
1/1/2003,,,,,110.764404,1.924987,1.868539,1.981434
4/1/2003,,,,,111.477737,2.030962,1.983624,2.078299
7/1/2003,,,,,111.762054,1.818568,1.765461,1.871674
10/1/2003,,,,,112.39447,1.596519,1.558344,1.634695
1/1/2004,,,,,112.780205,1.803537,1.745465,1.86161
4/1/2004,,,,,113.081688,1.428555,1.38667,1.470441
7/1/2004,,,,,113.823578,1.827759,1.77543,1.880088
10/1/2004,,,,,114.094994,1.501664,1.461859,1.541469
1/1/2005,,,,,114.754654,1.735557,1.689101,1.782013
4/1/2005,113.7139511,1.590191722,0.976946294,2.20343709,114.920319,1.612855,1.561039,1.66467
7/1/2005,115.544693,2.249430895,1.682935238,2.815926552,115.788673,1.711706,1.651629,1.771783
10/1/2005,115.9541092,2.567044497,2.060096979,3.073992014,116.183456,1.813908,1.766415,1.861402
1/1/2006,117.2902527,3.505800009,2.938050747,4.073549271,117.072174,1.999421,1.941413,2.057429
4/1/2006,118.6443329,4.244412422,3.682593107,4.806231499,117.591141,2.297469,2.244377,2.350561
7/1/2006,119.6057053,3.454313517,2.817986488,4.090640545,118.955986,2.698681,2.644384,2.752978
10/1/2006,120.5124588,3.85586381,3.386447191,4.32528019,119.733795,3.010044,2.950634,3.069454
1/1/2007,121.5530396,3.569905281,2.88947463,4.250335693,120.934547,3.245885,3.203813,3.287957
4/1/2007,122.4060593,3.121365309,2.532694578,3.710036039,121.272797,3.082883,3.023431,3.142334
7/1/2007,123.6492996,3.324878693,2.746932983,3.902824402,122.280876,2.75671,2.704776,2.808645
10/1/2007,124.2999344,3.094433069,2.574236155,3.614629984,123.481079,3.081703,3.02314,3.140267
1/1/2008,124.7728577,2.614423752,1.969305396,3.259541988,123.986755,2.492528,2.431234,2.553822
4/1/2008,125.114624,2.188643694,1.62095201,2.756335258,124.906166,2.952026,2.90305,3.001002
7/1/2008,126.1021652,1.964308381,1.322542787,2.606073856,125.797203,2.835045,2.759208,2.910882
10/1/2008,126.2628784,1.566859961,1.03592062,2.097799301,126.57003,2.470782,2.417893,2.52367
1/1/2009,125.4018402,0.502835691,-0.115830444,1.121501803,126.788612,2.234648,2.171837,2.29746
4/1/2009,124.2083054,-0.727027118,-1.415907741,-0.038146541,126.917274,1.597271,1.53991,1.654632
7/1/2009,122.9524841,-2.529443979,-3.187953472,-1.870934486,126.631317,0.660874,0.590888,0.73086
10/1/2009,122.9101181,-2.691272974,-3.21918273,-2.163363218,126.444916,-0.098899,-0.171796,-0.026002
1/1/2010,121.5564651,-3.114441395,-3.818292856,-2.410589933,126.10836,-0.537969,-0.629514,-0.446424
4/1/2010,121.7420731,-2.005538702,-2.668327093,-1.34275043,125.568443,-1.068452,-1.153647,-0.983257
7/1/2010,122.7979279,-0.125783145,-0.760459483,0.508893192,125.355171,-1.012877,-1.077876,-0.947878
10/1/2010,123.5271912,0.500796199,-0.062187038,1.063779473,125.815964,-0.498653,-0.568081,-0.429225
1/1/2011,124.0664291,2.04382515,1.260416746,2.827233553,126.095078,-0.010533,-0.086533,0.065466
4/1/2011,124.0338593,1.864993572,1.246822,2.483165026,126.234428,0.528975,0.464944,0.593006
7/1/2011,126.0273514,2.595881701,2.028680325,3.163083076,127.17598,1.442072,1.373363,1.51078
10/1/2011,127.2943268,3.004063606,2.47832036,3.529806852,128.199951,1.877093,1.808833,1.945353
1/1/2012,127.4691467,2.705720901,2.082350969,3.329090834,128.453125,1.852785,1.779424,1.926145
4/1/2012,128.4072876,3.465255976,2.941139698,3.989372253,129.18428,2.309919,2.253363,2.366476
7/1/2012,129.6392975,2.825700045,2.328667879,3.32273221,130.024002,2.214727,2.156866,2.272588
10/1/2012,130.5065155,2.492121458,2.018623352,2.965619564,131.192184,2.307214,2.254816,2.359612
1/1/2013,130.2213593,2.136141777,1.567661405,2.704622269,131.316528,2.20466,2.13546,2.273861
4/1/2013,131.1887054,2.142963886,1.528510213,2.75741744,132.147003,2.267505,2.210132,2.324878
7/1/2013,133.0757141,2.61622858,2.060149193,3.172307968,133.25206,2.452346,2.390574,2.514117
10/1/2013,133.5989532,2.34192729,1.847248673,2.836605787,134.237305,2.294586,2.207689,2.381483
1/1/2014,133.8089752,2.717745781,2.210500002,3.22499156,135.12854,2.861582,2.790459,2.932705
4/1/2014,134.671936,2.620493174,2.029070139,3.211916208,135.836884,2.753982,2.670567,2.837396
7/1/2014,136.3925934,2.461919785,1.769764662,3.154074907,136.809174,2.634454,2.558015,2.710893
10/1/2014,138.0235138,3.258163452,2.802716255,3.713610649,138.001434,2.765491,2.674593,2.85639
1/1/2015,137.9640808,3.058014154,2.353910685,3.762117624,138.951202,2.789634,2.716642,2.862625
4/1/2015,139.7496796,3.701110125,3.052280903,4.349939346,139.623199,2.749258,2.643184,2.855332
7/1/2015,141.0406952,3.351102352,2.759333372,3.942871332,141.079803,3.073865,2.988878,3.158852
10/1/2015,143.54245,3.920675039,3.225883484,4.615466595,141.965805,2.832214,2.769382,2.895046
1/1/2016,143.2688293,3.772942305,3.031092167,4.514792442,143.252548,3.048633,2.954879,3.142387
4/1/2016,143.1545715,2.407214642,1.38647306,3.427956104,143.9021,3.018584,2.942305,3.094863
7/1/2016,146.2551575,3.630428314,2.851210117,4.409646511,145.725067,3.239603,3.115127,3.364079
10/1/2016,147.1817322,2.503728628,1.596788406,3.41066885,146.563766,3.187438,3.102962,3.271914
1/1/2017,146.2656403,2.07016325,1.233353138,2.906973362,148.046448,3.291692,3.219456,3.363928
4/1/2017,148.1983948,3.462691545,2.598431587,4.326951504,148.486679,3.136205,3.077244,3.195165
7/1/2017,151.5127869,3.531727314,2.717497587,4.345957279,150.071915,2.939286,2.879742,2.998831
10/1/2017,151.9159851,3.165954113,2.339590549,3.992317677,151.276535,3.164892,3.093805,3.235979
1/1/2018,152.3440094,4.071676254,3.131346464,5.012005806,152.239273,2.792739,2.700839,2.884638
4/1/2018,152.5673981,2.905457258,1.934900522,3.876013994,153.325317,3.206667,3.119539,3.293794
