job_creation_births,job_creation_births_flag,year,empszfii,fage
662360,,2021,1-4 Employees,10
330824,,2021,5-9 Employees,10
312423,,2021,10-19 Employees,10
561868,,2021,20-99 Employees,10
227770,,2021,100-499 Employees,10
616071,,2020,1-4 Employees,10
345398,,2020,5-9 Employees,10
363944,,2020,10-19 Employees,10
701914,,2020,20-99 Employees,10
299771,,2020,100-499 Employees,10
610829,,2019,1-4 Employees,10
348294,,2019,5-9 Employees,10
373404,,2019,10-19 Employees,10
690363,,2019,20-99 Employees,10
321647,,2019,100-499 Employees,10
594877,,2018,1-4 Employees,10
342119,,2018,5-9 Employees,10
386669,,2018,10-19 Employees,10
696876,,2018,20-99 Employees,10
288227,,2018,100-499 Employees,10
595797,,2017,1-4 Employees,10
342666,,2017,5-9 Employees,10
363590,,2017,10-19 Employees,10
680391,,2017,20-99 Employees,10
260345,,2017,100-499 Employees,10
607976,,2016,1-4 Employees,10
356580,,2016,5-9 Employees,10
364868,,2016,10-19 Employees,10
679913,,2016,20-99 Employees,10
254392,,2016,100-499 Employees,10
576514,,2015,1-4 Employees,10
342161,,2015,5-9 Employees,10
345884,,2015,10-19 Employees,10
680084,,2015,20-99 Employees,10
276543,,2015,100-499 Employees,10
566505,,2014,1-4 Employees,10
331438,,2014,5-9 Employees,10
342468,,2014,10-19 Employees,10
650720,,2014,20-99 Employees,10
297879,,2014,100-499 Employees,10
558129,,2013,1-4 Employees,10
323474,,2013,5-9 Employees,10
341386,,2013,10-19 Employees,10
612943,,2013,20-99 Employees,10
226625,,2013,100-499 Employees,10
562895,,2012,1-4 Employees,10
332899,,2012,5-9 Employees,10
339614,,2012,10-19 Employees,10
662096,,2012,20-99 Employees,10
280355,,2012,100-499 Employees,10
546295,,2011,1-4 Employees,10
326288,,2011,5-9 Employees,10
350749,,2011,10-19 Employees,10
576436,,2011,20-99 Employees,10
218421,,2011,100-499 Employees,10
523759,,2010,1-4 Employees,10
304204,,2010,5-9 Employees,10
363119,,2010,10-19 Employees,10
557934,,2010,20-99 Employees,10
372435,,2010,100-499 Employees,10
539597,,2009,1-4 Employees,10
327242,,2009,5-9 Employees,10
353940,,2009,10-19 Employees,10
605717,,2009,20-99 Employees,10
253552,,2009,100-499 Employees,10
641009,,2008,1-4 Employees,10
397136,,2008,5-9 Employees,10
409163,,2008,10-19 Employees,10
707048,,2008,20-99 Employees,10
279860,,2008,100-499 Employees,10
698680,,2007,1-4 Employees,10
426939,,2007,5-9 Employees,10
438227,,2007,10-19 Employees,10
737128,,2007,20-99 Employees,10
282848,,2007,100-499 Employees,10
743805,,2006,1-4 Employees,10
467883,,2006,5-9 Employees,10
474865,,2006,10-19 Employees,10
807982,,2006,20-99 Employees,10
364619,,2006,100-499 Employees,10
717559,,2005,1-4 Employees,10
457007,,2005,5-9 Employees,10
451487,,2005,10-19 Employees,10
777066,,2005,20-99 Employees,10
330307,,2005,100-499 Employees,10
706557,,2004,1-4 Employees,10
448245,,2004,5-9 Employees,10
426065,,2004,10-19 Employees,10
743543,,2004,20-99 Employees,10
357961,,2004,100-499 Employees,10
661105,,2003,1-4 Employees,10
417553,,2003,5-9 Employees,10
391351,,2003,10-19 Employees,10
675996,,2003,20-99 Employees,10
310315,,2003,100-499 Employees,10
631541,,2002,1-4 Employees,10
412942,,2002,5-9 Employees,10
419427,,2002,10-19 Employees,10
861879,,2002,20-99 Employees,10
521792,,2002,100-499 Employees,10
609813,,2001,1-4 Employees,10
400378,,2001,5-9 Employees,10
366784,,2001,10-19 Employees,10
650942,,2001,20-99 Employees,10
314805,,2001,100-499 Employees,10
621147,,2000,1-4 Employees,10
414078,,2000,5-9 Employees,10
386643,,2000,10-19 Employees,10
676906,,2000,20-99 Employees,10
331872,,2000,100-499 Employees,10
632980,,1999,1-4 Employees,10
403067,,1999,5-9 Employees,10
360582,,1999,10-19 Employees,10
631433,,1999,20-99 Employees,10
300249,,1999,100-499 Employees,10
661418,,1998,1-4 Employees,10
437180,,1998,5-9 Employees,10
403244,,1998,10-19 Employees,10
744470,,1998,20-99 Employees,10
381551,,1998,100-499 Employees,10
683595,,1997,1-4 Employees,10
466183,,1997,5-9 Employees,10
431422,,1997,10-19 Employees,10
733137,,1997,20-99 Employees,10
357499,,1997,100-499 Employees,10
680419,,1996,1-4 Employees,10
470024,,1996,5-9 Employees,10
429431,,1996,10-19 Employees,10
741743,,1996,20-99 Employees,10
346943,,1996,100-499 Employees,10
684855,,1995,1-4 Employees,10
472633,,1995,5-9 Employees,10
427114,,1995,10-19 Employees,10
730037,,1995,20-99 Employees,10
357523,,1995,100-499 Employees,10
659047,,1994,1-4 Employees,10
455370,,1994,5-9 Employees,10
414997,,1994,10-19 Employees,10
712167,,1994,20-99 Employees,10
338859,,1994,100-499 Employees,10
639019,,1993,1-4 Employees,10
449563,,1993,5-9 Employees,10
394521,,1993,10-19 Employees,10
652814,,1993,20-99 Employees,10
297270,,1993,100-499 Employees,10
606289,,1992,1-4 Employees,10
431383,,1992,5-9 Employees,10
