date,Manufacturing,TransportationWarehousing,Information,Prof/Science/Tech,Management
1993-04-01,0.09,0.12,0.128,0.194,0.064
1993-07-01,0.096,0.129,0.12,0.198,0.057
1993-10-01,0.092,0.126,0.121,0.197,0.053
1994-01-01,0.093,0.113,0.122,0.183,0.041
1994-04-01,0.094,0.115,0.123,0.186,0.039
1994-07-01,0.093,0.119,0.125,0.191,0.044
1994-10-01,0.088,0.122,0.127,0.194,0.048
1995-01-01,0.082,0.115,0.11,0.182,0.043
1995-04-01,0.083,0.118,0.12,0.19,0.042
1995-07-01,0.083,0.123,0.122,0.194,0.04
1995-10-01,0.083,0.126,0.124,0.194,0.038
1996-01-01,0.08,0.116,0.116,0.186,0.039
1996-04-01,0.079,0.114,0.121,0.187,0.039
1996-07-01,0.079,0.118,0.127,0.191,0.038
1996-10-01,0.079,0.121,0.129,0.195,0.036
1997-01-01,0.077,0.107,0.12,0.182,0.032
1997-04-01,0.076,0.108,0.124,0.187,0.035
1997-07-01,0.078,0.109,0.125,0.193,0.035
1997-10-01,0.078,0.113,0.129,0.197,0.036
1998-01-01,0.076,0.105,0.11,0.193,0.033
1998-04-01,0.076,0.108,0.117,0.207,0.035
1998-07-01,0.077,0.11,0.119,0.211,0.037
1998-10-01,0.076,0.113,0.12,0.214,0.038
1999-01-01,0.07,0.105,0.113,0.193,0.036
1999-04-01,0.071,0.108,0.116,0.198,0.036
1999-07-01,0.071,0.11,0.118,0.2,0.039
1999-10-01,0.071,0.111,0.125,0.21,0.039
2000-01-01,0.071,0.103,0.128,0.21,0.039
2000-04-01,0.073,0.102,0.143,0.218,0.042
2000-07-01,0.073,0.105,0.154,0.22,0.042
2000-10-01,0.074,0.106,0.16,0.224,0.043
2001-01-01,0.067,0.096,0.145,0.204,0.031
2001-04-01,0.067,0.097,0.146,0.204,0.03
2001-07-01,0.065,0.097,0.142,0.2,0.031
2001-10-01,0.064,0.098,0.139,0.198,0.032
2002-01-01,0.063,0.092,0.117,0.181,0.031
2002-04-01,0.063,0.095,0.113,0.186,0.03
2002-07-01,0.064,0.096,0.114,0.186,0.032
2002-10-01,0.064,0.098,0.111,0.184,0.031
2003-01-01,0.06,0.096,0.096,0.169,0.026
2003-04-01,0.061,0.099,0.102,0.173,0.028
2003-07-01,0.062,0.101,0.101,0.171,0.029
2003-10-01,0.063,0.103,0.101,0.172,0.029
2004-01-01,0.058,0.094,0.091,0.16,0.027
2004-04-01,0.06,0.097,0.097,0.165,0.028
2004-07-01,0.061,0.101,0.096,0.167,0.029
2004-10-01,0.062,0.099,0.094,0.17,0.029
2005-01-01,0.057,0.092,0.081,0.157,0.03
2005-04-01,0.059,0.095,0.082,0.162,0.03
2005-07-01,0.06,0.096,0.082,0.165,0.032
2005-10-01,0.062,0.098,0.084,0.166,0.033
2006-01-01,0.061,0.09,0.074,0.156,0.037
2006-04-01,0.062,0.093,0.074,0.16,0.038
2006-07-01,0.064,0.096,0.075,0.163,0.039
2006-10-01,0.065,0.096,0.077,0.163,0.04
2007-01-01,0.059,0.087,0.078,0.151,0.032
2007-04-01,0.061,0.09,0.081,0.156,0.034
2007-07-01,0.061,0.092,0.09,0.157,0.035
2007-10-01,0.062,0.093,0.095,0.159,0.036
2008-01-01,0.056,0.079,0.069,0.143,0.032
2008-04-01,0.056,0.081,0.071,0.145,0.033
2008-07-01,0.057,0.083,0.071,0.146,0.034
2008-10-01,0.056,0.084,0.071,0.147,0.034
2009-01-01,0.052,0.077,0.082,0.137,0.03
2009-04-01,0.052,0.078,0.08,0.139,0.029
2009-07-01,0.052,0.079,0.081,0.139,0.029
2009-10-01,0.052,0.081,0.084,0.139,0.03
2010-01-01,0.048,0.077,0.062,0.132,0.029
2010-04-01,0.049,0.078,0.063,0.135,0.03
2010-07-01,0.05,0.081,0.064,0.136,0.031
2010-10-01,0.051,0.082,0.065,0.137,0.031
2011-01-01,0.047,0.077,0.059,0.124,0.028
2011-04-01,0.046,0.078,0.06,0.129,0.029
2011-07-01,0.047,0.081,0.063,0.131,0.03
2011-10-01,0.049,0.083,0.063,0.132,0.03
2012-01-01,0.046,0.077,0.061,0.12,0.027
2012-04-01,0.047,0.079,0.062,0.125,0.028
2012-07-01,0.048,0.08,0.059,0.125,0.029
2012-10-01,0.049,0.081,0.06,0.128,0.029
2013-01-01,0.046,0.077,0.06,0.123,0.029
2013-04-01,0.046,0.079,0.063,0.128,0.029
2013-07-01,0.047,0.08,0.065,0.13,0.03
2013-10-01,0.048,0.08,0.065,0.131,0.03
2014-01-01,0.046,0.078,0.065,0.122,0.028
2014-04-01,0.047,0.079,0.067,0.126,0.028
2014-07-01,0.048,0.082,0.071,0.127,0.03
2014-10-01,0.05,0.082,0.074,0.129,0.03
2015-01-01,0.046,0.075,0.068,0.123,0.025
2015-04-01,0.047,0.078,0.07,0.126,0.027
2015-07-01,0.048,0.08,0.074,0.129,0.028
2015-10-01,0.05,0.081,0.077,0.131,0.028
2016-01-01,0.046,0.075,0.065,0.119,0.024
2016-04-01,0.047,0.078,0.066,0.122,0.025
