date,0-1 Years,2-3 Years,4-5 Years,6-10 Years,11+ Years
1993-04-01,0.045,0.057,0.051,0.119,0.728
1993-07-01,0.05,0.054,0.052,0.12,0.723
1993-10-01,0.053,0.051,0.051,0.12,0.725
1994-01-01,0.046,0.051,0.05,0.119,0.734
1994-04-01,0.049,0.048,0.054,0.12,0.729
1994-07-01,0.052,0.05,0.051,0.122,0.725
1994-10-01,0.053,0.052,0.049,0.122,0.725
1995-01-01,0.045,0.05,0.05,0.12,0.736
1995-04-01,0.047,0.05,0.051,0.119,0.732
1995-07-01,0.05,0.053,0.05,0.12,0.727
1995-10-01,0.052,0.053,0.048,0.119,0.728
1996-01-01,0.047,0.049,0.048,0.118,0.738
1996-04-01,0.049,0.05,0.045,0.122,0.734
1996-07-01,0.05,0.052,0.047,0.121,0.73
1996-10-01,0.052,0.052,0.048,0.118,0.731
1997-01-01,0.045,0.05,0.046,0.114,0.746
1997-04-01,0.046,0.051,0.046,0.115,0.743
1997-07-01,0.047,0.052,0.047,0.113,0.742
1997-10-01,0.049,0.052,0.047,0.11,0.743
1998-01-01,0.045,0.051,0.044,0.108,0.752
1998-04-01,0.046,0.052,0.046,0.108,0.748
1998-07-01,0.048,0.052,0.047,0.108,0.745
1998-10-01,0.049,0.052,0.047,0.106,0.746
1999-01-01,0.041,0.051,0.046,0.103,0.759
1999-04-01,0.043,0.051,0.047,0.104,0.755
1999-07-01,0.044,0.052,0.048,0.104,0.753
1999-10-01,0.046,0.051,0.047,0.102,0.754
2000-01-01,0.04,0.05,0.048,0.101,0.761
2000-04-01,0.042,0.051,0.048,0.102,0.757
2000-07-01,0.044,0.051,0.048,0.102,0.755
2000-10-01,0.046,0.05,0.048,0.101,0.755
2001-01-01,0.037,0.048,0.047,0.1,0.769
2001-04-01,0.038,0.048,0.047,0.099,0.768
2001-07-01,0.039,0.048,0.047,0.101,0.764
2001-10-01,0.04,0.047,0.047,0.101,0.765
2002-01-01,0.04,0.042,0.045,0.1,0.773
2002-04-01,0.041,0.043,0.045,0.101,0.77
2002-07-01,0.043,0.043,0.045,0.102,0.766
2002-10-01,0.045,0.043,0.044,0.103,0.765
2003-01-01,0.041,0.041,0.041,0.1,0.778
2003-04-01,0.043,0.042,0.042,0.101,0.773
2003-07-01,0.045,0.042,0.042,0.102,0.769
2003-10-01,0.048,0.041,0.041,0.101,0.769
2004-01-01,0.038,0.044,0.039,0.099,0.78
2004-04-01,0.04,0.045,0.039,0.1,0.775
2004-07-01,0.042,0.046,0.04,0.101,0.771
2004-10-01,0.044,0.046,0.039,0.1,0.77
2005-01-01,0.039,0.045,0.038,0.097,0.781
2005-04-01,0.04,0.047,0.038,0.097,0.777
2005-07-01,0.042,0.048,0.039,0.098,0.774
2005-10-01,0.044,0.048,0.038,0.096,0.773
2006-01-01,0.04,0.044,0.042,0.095,0.78
2006-04-01,0.041,0.046,0.042,0.096,0.776
2006-07-01,0.043,0.046,0.043,0.096,0.772
2006-10-01,0.044,0.046,0.043,0.095,0.772
2007-01-01,0.038,0.044,0.042,0.09,0.786
2007-04-01,0.039,0.045,0.043,0.09,0.783
2007-07-01,0.04,0.045,0.044,0.09,0.781
2007-10-01,0.041,0.045,0.044,0.089,0.781
2008-01-01,0.035,0.043,0.039,0.091,0.792
2008-04-01,0.036,0.044,0.04,0.091,0.789
