date,all,retail,trans,fin,real,prof
2021,8.85,8.59,15.23,8.06,11.46,9.75
2020,8.55,7.83,12.6,7.49,10.61,9.41
2019,8.5,7.73,12.69,7.23,10.45,9.25
2018,8.37,7.73,11.81,7.19,10.53,8.88
2017,8.38,8.11,10.96,7.1,10.38,8.96
2016,8.51,8.42,11.76,7.13,10.12,9.23
2015,8.19,8.33,11.53,7.19,9.67,8.99
2014,8.09,8.33,10.65,7.04,9.46,8.93
2013,8.01,8.24,10.61,6.96,9.32,8.99
2012,8.11,8.41,11.47,7,8.7,9.1
2011,7.93,8.12,11.69,6.76,8.31,8.95
2010,7.57,7.74,9.12,6.94,8.06,8.54
2009,7.78,7.79,9.97,7.05,8.3,8.62
2008,9.02,8.93,11.72,8.33,10.03,9.88
2007,9.63,9.4,12.67,9.47,11.92,10.4
2006,10.31,9.85,13.27,10.34,13.59,11.08
2005,10.05,10.02,12.65,10.15,12.81,10.53
2004,9.94,10.18,12.11,10.19,11.79,10.39
2003,9.37,9.46,11.57,9.51,10.99,10.18
2002,9.24,9.1,11.5,9.44,9.93,10.19
2001,8.9,8.21,11.94,9.86,9.46,10.83
2000,9.1,8.56,12.58,9.36,9.77,10.92
1999,9.24,8.37,13.18,9.52,10.12,11.28
1998,9.83,8.98,13.4,9.57,10.17,12.15
1997,10.35,9.53,13.95,10.32,10.22,12.24
1996,10.45,9.66,14.13,9.82,10.59,11.78
1995,10.59,9.52,14.82,9.35,11.08,11.69
1994,10.4,9.43,14.03,9.96,11.24,11.37
1993,10.26,9.44,13.68,9.72,11.28,11.36
1992,9.94,9.19,12.97,9.14,10.53,11.05
1991,10.22,9.37,12.82,9.24,11.1,11.37
1990,11.09,10.22,13.75,10.26,12.2,12.06
1989,11.47,10.64,14.24,10.4,12.95,12.58
1988,11.77,10.83,14.37,10.75,13.21,13.54
1987,12.16,11.05,15.51,11.19,14.78,13.42
1986,12.43,11.4,15.15,10.98,15.46,14.25
1985,12.58,11.39,15.31,11.22,15.6,14.74
1984,13.24,11.51,14.99,12.5,14.54,15
1983,11.92,10.79,13.16,13.69,12.33,15.21
1982,11.19,9.96,13.4,9.32,11.46,14.4
1981,11.41,9.9,13.24,9.11,12.33,14.19
1980,11.76,10.29,14.72,8.99,13.3,14.18
1979,12.82,11.34,16.12,9.74,14.7,15.06
1978,13.67,12.26,16.05,10.55,15.05,15.04
