Year,Federal,State,Local,Fares
2012,1140457033.00,3289124786.00,1810288762.00,5496667133.00
2013,1013244068.00,3190948748.00,1629876272.00,5715567506.00
2014,1129937373.00,3091835413.00,1780325689.00,5726571554.00
2015,1208115029.00,2143229575.00,3132529700.00,4813872383.00
2016,820023248.00,2876205215.00,1752665457.00,6305382620.00
2017,1019852680.00,3317005501.00,1538693147.00,6102899589.00
2018,914331747.00,2970160368.00,1515826270.00,7208308439.00
2019,959281192.00,3745557400.00,1543071313.00,7174510495.00
2020,3774919329.00,3336422060.00,1404529551.00,3440155373.00
2021,3512930788.00,2698767047.00,805627388.00,3938364254.00
2022,5947426790.00,1958269909.00,625805900.00,4323396295.00
