ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2023 dollars),Cost/km (2023 dollars),Source2,Reference,,
9774,HK,Hong Kong,Kwung Tong Line,Quarry Bay Congestion Relief Works (Kwung Tong Extension),1997,2001,0,2.1,100.00%,2.1,0,0,0,N/A,Plan,"3,100",HKD,1999,0.1823,565.13,269.1,0,0,0,0,1.828943577,"1,033.60",492.2,Plan,,,
9836,TR,Istanbul,M1,M1A-M1B (LR),1987,2014,0,26.6,36.47%,9.7,0,0,23,100-140,Plan,882,USD,2000,2.2,1940.4,72.9,1,26.6,9.7,0,1.769465738,"3,433.50",129.1,Plan,,,
,US,Philadelphia,Regional Rail,Center City Commuter Connection,1976,1984,1,2.9,69%,2,,,1,350,Measured,330,USD,1980,1,330,113.8,0,0,0,1,3.697839806,"1,220.30",420.8,Media,https://whyy.org/articles/2712/,,
7241,IT,Milan,Passante Railway,Tunnel Section,1984,2004,1,7.8,90.00%,7.8,0.02,5.18,10,250,Wiki,915,EUR,1996,1.3,1189.5,152.5,1,7.8,7.8,0,1.942014022,"2,310.00",296.2,Media,https://www.milanolife.it/la-quinta-linea-il-passante-ferroviario-di-milano/,,
7619,TR,Istanbul,Marmaray,BC1,2004,2013,1,13.6,100.00%,13.6,0,0,4,225,Plan,"1,823",USD,2009,1.7,3099.1,227.9,1,13.6,13.6,0,1.420277155,"4,401.60",323.6,Plan,,,
7624,TR,Istanbul,Marmaray,CR3,2011,2019,1,63,0.00%,0,0,0,36,225,Plan,"1,298",USD,2015,2.3,2985.4,47.4,1,63,0,0,1.285570233,"3,837.90",60.9,Trade,https://www.railwaygazette.com/infrastructure/marmaray-upgrading-works-resume/43921.article,,
11249,DE,Munich,Second Trunk Line,Second Trunk Line,2016,2028,1,7.2,100.00%,7.2,0,0,3,210,Plan,"3,849",EUR,2020,1.35,5196.15,721.7,0,0,0,0,1.17731472,"6,117.50",849.7,Plan,https://www.2.stammstrecke-muenchen.de/kosten-und-finanzierung.html,,
7224,SE,Stockholm,Citybanan,Citybanan,2007,2017,1,7.4,81.00%,6,0,0,2,200,Plan,"16,800",SEK,2007,0.1125,1890,255.4,1,7.4,6,0,1.469562366,"2,777.50",375.3,Plan,https://web.archive.org/web/20150402164159/http://www.trafikverket.se/en/startpage/Projects/Railway-construction-projects1/The-Stockholm-City-Line/,,
7248,KR,Seoul,Sinbundang,Sinbundang Phase 1,2005,2011,0,17.3,100.00%,17.3,0,0,6,200,Wiki,"1,169,000",KRW,2002,0.0013,1519.7,87.8,1,17.3,17.3,0,1.69372985,"2,574.00",148.8,Trade,https://books.google.de/books?id=B3-SBgAAQBAJ&pg=PA44&lpg=PA44&dq=shinbundang+line+construction+cost+11690&source=bl&ots=_CTZGAt6MP&sig=ACfU3U0qGvuRqbqwA60o8fLQNSdXTt8BlQ&hl=en&sa=X&ved=2ahUKEwi847D6oPPqAhXLqqQKHf_ZB1MQ6AEwEHoECAsQAQ#v=onepage&q=shinbundang%20line%20construction%20cost%2011690&f=false,,
7249,KR,Seoul,Sinbundang,Sinbundang Phase 2,2011,2018,0,12.8,100.00%,12.8,0,0,7,200,Media,"1,025,500",KRW,2006,0.0013,1333.15,104.2,1,12.8,12.8,0,1.511418651,"2,014.90",157.4,Plan,https://shinbundang.co.kr/eng/index.jsp?pageID=/eng/intro/intro2_6.jsp&open_main=4&open_sub1=1&open_sub2=6,,
