Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
NYC-Manhattan Community District 7--Upper West Side PUMA; New York,109929,0,2736,3544,43365,135,0,0,5668,0,2173,12303,39090,915
NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA; New York,76758,0,4174,5102,39897,0,0,0,1878,0,2684,8807,12947,1269
NYC-Queens Community District 1--Astoria & Queensbridge PUMA; New York,45297,0,4166,1569,37278,0,0,167,230,59,829,688,0,311
NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA; New York,36998,0,1606,468,32083,0,0,986,0,55,1468,162,0,170
NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA; New York,107704,0,5077,5942,31101,268,0,179,3673,0,2915,19057,38589,903
NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA; New York,88785,0,5099,353,26969,931,0,458,2070,0,2266,22720,26538,1381
"NYC-Queens Community District 2--Long Island City, Sunnyside, & Woodside PUMA; New York",37595,0,5823,1416,26339,0,0,297,547,0,1126,337,0,1710
"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA; New York",103259,0,2466,3833,25761,213,0,721,1931,0,2457,32712,32251,914
NYC-Queens Community District 3--Jackson Heights & East Elmhurst PUMA; New York,33335,0,6710,467,23695,546,160,141,220,0,409,369,0,618
NYC-Queens Community District 4--Elmhurst & Corona PUMA; New York,30277,0,4696,1112,23376,0,0,0,0,0,63,280,0,750
NYC-Manhattan Community District 10--Harlem PUMA; New York,51982,0,4049,5942,23077,0,0,0,934,0,1673,3438,12852,17
NYC-Manhattan Community District 9--Morningside Heights & Hamilton Heights PUMA; New York,48462,0,2125,1638,22736,150,0,0,567,0,2485,8913,9181,667
Hudson County (Central)--Jersey City (North) PUMA; New Jersey,28959,0,907,1297,22734,1626,1725,127,0,78,126,339,0,0
NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA; New York,26075,0,647,557,22338,0,0,338,663,212,986,130,0,204
NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA; New York,67606,0,2838,2687,21816,349,0,103,1103,0,2000,16558,19465,687
NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA; New York,27285,0,2199,1996,21712,0,0,0,444,0,697,166,0,71
NYC-Brooklyn Community District 8--Crown Heights (North) PUMA; New York,22076,0,1087,567,19899,0,0,0,101,0,286,79,0,57
NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA; New York,23141,0,1585,609,18935,0,0,189,531,0,1031,261,0,0
NYC-Brooklyn Community District 17--East Flatbush PUMA; New York,22566,0,1992,1584,18495,0,0,54,257,0,112,0,0,72
NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA; New York,58348,0,1878,3598,18004,144,0,213,717,442,3450,13937,14383,1582
NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA; New York,22812,0,1664,2313,18002,338,0,0,111,0,0,240,0,144
