date,Rodney Local Board Area,Hibiscus and Bays Local Board Area,Upper Harbour Local Board Area,Kaipatiki Local Board Area,Devonport-Takapuna Local Board Area,Henderson-Massey Local Board Area,Waitakere Ranges Local Board Area,Great Barrier Local Board Area,Waiheke Local Board Area,Waitemata Local Board Area,Whau Local Board Area,Albert-Eden Local Board Area,Puketapapa Local Board Area,Orakei Local Board Area,Maungakiekie-Tamaki Local Board Area,Howick Local Board Area,Mangere-Otahuhu Local Board Area,Otara-Papatoetoe Local Board Area,Manurewa Local Board Area,Papakura Local Board Area,Franklin Local Board Area
2000,412,655,628,290,169,764,218,8,78,459,418,465,175,264,461,903,217,79,549,251,370
2001,353,629,693,179,138,779,167,6,138,976,303,370,163,371,248,1118,245,284,506,135,322
2002,526,978,1054,219,204,1024,196,8,97,2962,493,247,321,414,214,1332,270,109,758,278,497
2003,535,996,779,281,159,916,428,6,107,2378,271,313,141,322,148,1273,405,257,659,281,686
2004,636,731,739,206,182,678,221,5,74,4093,301,577,130,298,184,1212,324,166,412,237,760
2005,611,506,733,104,98,494,201,6,65,1216,166,256,123,241,230,904,230,355,282,303,595
2006,443,493,635,127,382,494,196,7,46,971,203,140,179,222,238,871,258,133,296,209,693
2007,428,392,640,106,216,457,117,7,59,674,185,223,103,291,270,683,182,98,192,111,749
2008,443,352,237,58,68,453,114,13,40,596,122,161,111,220,191,372,113,101,78,143,334
2009,261,399,297,103,98,354,126,6,45,138,69,158,110,297,100,321,78,49,70,187,221
2010,296,372,370,60,79,294,107,9,51,35,106,164,140,293,127,316,71,75,100,243,305
2011,293,385,356,104,127,214,102,2,41,103,112,290,150,348,149,435,48,84,38,185,206
2012,348,628,336,135,77,331,92,4,44,355,198,99,89,380,123,503,60,63,70,350,297
2013,470,939,545,129,87,385,84,3,37,479,276,141,230,484,175,540,71,239,94,495,407
2014,555,883,1017,166,175,351,103,6,57,746,357,199,178,336,230,682,117,170,290,549,465
2015,824,1198,1096,334,145,297,153,2,64,1091,201,231,211,506,467,587,229,173,316,539,579
2016,862,1359,1034,224,227,448,223,6,64,959,298,512,159,247,420,522,213,247,350,714,938
2017,1054,1046,1403,372,189,379,150,9,55,1298,331,401,243,260,637,614,241,414,420,568,783
2018,771,1112,1361,386,438,747,181,7,48,914,622,604,353,421,774,818,539,457,663,938,708
2019,820,916,1147,575,433,1136,521,5,51,947,656,844,520,586,1051,1003,689,480,551,1428,795
2020,1163,1147,1211,536,400,1537,401,14,44,843,690,563,427,413,1067,1604,613,901,541,1568,973
2021,1419,1676,1199,1055,645,2138,271,18,37,605,1081,960,721,626,1286,1770,756,774,911,1209,1372
2022,1338,902,989,648,578,2790,630,12,60,329,1126,662,408,1009,2154,1754,1077,724,1237,1729,1145
2023,891,848,733,605,498,1808,489,9,52,155,707,716,533,584,781,1160,974,758,1140,1331,716
