Date,Welly,Aucky
3/31/1993,361.1885246,377.7
6/30/1993,358.8355049,381.3908795
9/30/1993,355.0502431,387.6985413
12/31/1993,360.5873786,393.1828479
3/31/1994,364.6618123,397.2572816
6/30/1994,358.8454106,411.5571659
9/30/1994,356.8503185,412.9840764
12/31/1994,362.8299213,422.3102362
3/31/1995,364.1897356,430.7620529
6/30/1995,362.7627119,446.1787365
9/30/1995,366.0784615,455.1769231
12/31/1995,375.3899083,465.8685015
3/31/1996,379.4246575,484.8203957
6/30/1996,389.8716012,490.6676737
9/30/1996,379.9684685,489.6111111
12/31/1996,392.147541,489.7153502
3/31/1997,398.9656203,502.470852
6/30/1997,404.6113602,502.470852
9/30/1997,396.5943536,488.2600297
12/31/1997,400.4215976,482.3683432
3/31/1998,412.8478582,483.5155096
6/30/1998,406.7254038,475.1292217
9/30/1998,403.1008772,463.8421053
12/31/1998,404.2150221,459.8409426
3/31/1999,416.5672083,459.3397341
6/30/1999,410.3820059,460.519174
9/30/1999,412.2716593,458.4904552
12/31/1999,411.6671554,457.8181818
3/31/2000,421.4992722,456.3187773
6/30/2000,402.0794798,458.4797688
9/30/2000,402.3052782,449.0014265
12/31/2000,399.5416079,442.1593794
3/31/2001,407.2189266,451.6751412
6/30/2001,398.5070028,451.4061625
9/30/2001,399.7938719,452.3983287
12/31/2001,401.066482,462.098338
3/31/2002,402.3250689,466.4889807
6/30/2002,399.6553134,480.2724796
9/30/2002,401.4450475,486.8588874
12/31/2002,402.1334232,497.1522911
3/31/2003,410.6536913,512.0496644
6/30/2003,410.6536913,518.809396
9/30/2003,397.2245989,515.0454545
12/31/2003,407.9628154,519.9853918
3/31/2004,416.3359788,526.2486772
6/30/2004,409.7532808,522.1049869
9/30/2004,416.9308996,513.7770535
12/31/2004,416.4134367,509.130491
3/31/2005,437.4903475,513.6460746
6/30/2005,393.4375,513.877551
9/30/2005,417.5498108,504.8701135
12/31/2005,419.6666667,501.7067669
3/31/2006,448.4109589,504.8542964
6/30/2006,389.2858896,503.6
9/30/2006,433.9792935,504.5200974
12/31/2006,444.2625153,508.8266178
3/31/2007,480.3475091,518.5917375
6/30/2007,456.0276775,524.2045728
9/30/2007,435.2284689,524.0813397
12/31/2007,469.3313609,525.9491124
3/31/2008,470.4606345,532.5969448
6/30/2008,471.5791908,532.7098266
9/30/2008,460.2949886,521.9544419
12/31/2008,475.3661327,518.5812357
3/31/2009,485.7785388,523.1461187
6/30/2009,477.3053348,523.0351873
9/30/2009,458.2026876,508.9574468
12/31/2009,477.6004489,518.5780022
3/31/2010,483.0391499,521.0626398
6/30/2010,479.1506696,532.5457589
9/30/2010,466.9139073,525.2781457
12/31/2010,465.8435814,517.4530744
3/31/2011,486.6156317,525.7066381
6/30/2011,443.2534464,536.7104984
9/30/2011,445.3695882,531.7845829
12/31/2011,462.7891949,540.1430085
3/31/2012,489.5374078,546.5837724
6/30/2012,448.3203782,550.1512605
9/30/2012,445.5937173,549.7413613
12/31/2012,461.0608604,554.8583421
3/31/2013,485.4451411,564.3793103
6/30/2013,463.4275287,564.5151199
9/30/2013,459.1188017,560.5671488
12/31/2013,463.8421053,565.1857585
3/31/2014,494.7921811,578.9845679
6/30/2014,466.6314168,582.9661191
9/30/2014,452.3121801,586.3306039
12/31/2014,472.125,594.6711066
3/31/2015,505.4096509,615.2813142
6/30/2015,475.0214724,617.9141104
9/30/2015,456.4195519,624.3716904
12/31/2015,487.1054248,635.2988741
3/31/2016,525.2269939,647.5224949
6/30/2016,487.1894094,646.1670061
9/30/2016,483.9361055,652.4837728
12/31/2016,507.4151515,653.6626263
3/31/2017,540.111,663.493
6/30/2017,511.154,664.752
9/30/2017,506.6095618,662.1035857
12/31/2017,536.889662,668.2962227
3/31/2018,581.5558853,679.9347181
6/30/2018,527.1674877,672.2935961
9/30/2018,528.6816406,667.6142578
12/31/2018,563.7863415,671.8760976
3/31/2019,630.7270955,688.4005848
6/30/2019,574.6017442,681.9583333
9/30/2019,574.3657363,674.9403272
12/31/2019,623.4703065,678.9434866
3/31/2020,653.4353612,690.5351711
6/30/2020,596.4317096,691.4278892
9/30/2020,590.0815939,678.4743833
12/31/2020,643.1718602,682.4041549
3/31/2021,670.7593633,689.6207865
6/30/2021,616.7005545,672.5526802
9/30/2021,607.8716094,670.4801085
12/31/2021,644.087344,669.8957219
3/31/2022,660.3686515,671.3931699
6/30/2022,599.6787252,648.4771748
9/30/2022,585.9763912,630.5615514
12/31/2022,592.3474647,628.9767249
3/31/2023,609.8604269,647.0722496
6/30/2023,575.8058489,657.6255077
9/30/2023,570.7198723,655.1221069
12/31/2023,605,656
