date,Northland Region,Auckland Region,Waikato Region,Bay of Plenty Region,Gisborne Region,Hawke's Bay Region,Taranaki Region,Manawatu-Whanganui Region,Wellington Region,West Coast Region,Canterbury Region,Otago Region,Southland Region,Tasman Region,Nelson Region,Marlborough Region,New Zealand
1966,,,,,,,,,,,,,,,,,9
1967,,,,,,,,,,,,,,,,,8
1968,,,,,,,,,,,,,,,,,7.9
1969,,,,,,,,,,,,,,,,,8.4
1970,,,,,,,,,,,,,,,,,8.4
1971,,,,,,,,,,,,,,,,,8.3
1972,,,,,,,,,,,,,,,,,10.3
1973,,,,,,,,,,,,,,,,,13.4
1974,,,,,,,,,,,,,,,,,11.5
1975,,,,,,,,,,,,,,,,,10.1
1976,,,,,,,,,,,,,,,,,10
1977,,,,,,,,,,,,,,,,,7.6
1978,,,,,,,,,,,,,,,,,6.1
1979,,,,,,,,,,,,,,,,,5
1980,,,,,,,,,,,,,,,,,4.7
1981,,,,,,,,,,,,,,,,,5.6
1982,,,,,,,,,,,,,,,,,5.3
1983,,,,,,,,,,,,,,,,,5.8
1984,,,,,,,,,,,,,,,,,6.7
1985,,,,,,,,,,,,,,,,,7.3
1986,,,,,,,,,,,,,,,,,6.2
1987,,,,,,,,,,,,,,,,,5.9
1988,,,,,,,,,,,,,,,,,5.8
1989,,,,,,,,,,,,,,,,,6.7
1990,,,,,,,,,,,,,,,,,6.6
1991,,,,,,,,,,,,,,,,,5
1992,,,,,,,,,,,,,,,,,5
1993,,,,,,,,,,,,,,,,,5.2
1994,,,,,,,,,,,,,,,,,6.4
1995,,,,,,,,,,,,,,,,,5.7
1996,7.1,7.9,6.8,10.5,2.3,3.7,2.3,2.2,3.4,3.8,6.6,3.9,2,9.3,7,7.8,6.1
1997,8.4,8.5,7.5,12.5,2.4,2.9,1.9,1.9,4.6,3.6,7.2,3.6,1.6,8.6,5.7,8.6,6.6
1998,7.7,6.7,6.5,8.4,1.8,2.2,1.5,1.8,5.2,2.2,6.1,1.8,0.9,7.7,4.6,6.2,5.4
1999,8,9.5,7.5,9.2,2.2,3,1.9,2.9,5.5,2.6,7.1,3.7,0.9,8.6,3.9,7,6.9
2000,6.9,6.5,5.8,6.4,1.9,3,1.7,2.4,5.1,2.8,4.8,3.7,1.2,8.5,3.4,7.6,5.2
2001,6.1,6.7,5.7,6,2,3.1,1.6,2.7,4.8,3.8,4.9,5.2,1.8,8.8,4.5,6.3,5.3
2002,6.7,9.7,6.4,7.5,2.3,3.6,2.7,2.7,5.1,3.8,6.4,6.3,3,11.6,6.6,7.9,6.9
2003,8.6,8.7,8.6,8.6,2,4.7,3.1,3.4,5.4,5.5,8.1,7.6,3.4,12.9,8.8,10,7.4
2004,9.6,9.2,8.8,9,2.7,4.8,4.1,3.8,5,6.3,8.5,7.7,3.6,8.8,7.7,10.4,7.7
2005,8.7,5.7,8.1,8.2,3.1,6,4.9,4.3,4.5,6.7,7.7,7.2,3.6,5.8,5,10.7,6.3
2006,8.9,5.3,8.8,7.1,3.4,5.6,6,4.6,4.2,7.8,7.8,7.4,4,6.6,6.4,9.4,6.2
2007,8.3,4.4,8.9,6.6,3.9,5.8,5.7,5.3,4.5,8.2,8.2,7.3,4.6,6,8.3,11.1,6.1
2008,6.4,3.1,5.9,4.7,3.2,3.5,4.3,3.2,4.2,7.2,5.3,5.6,4.4,5.7,7.1,7.6,4.3
2009,4.9,2.5,4.3,3.1,2.1,3.9,4.5,2.3,2.8,4.6,4.4,4.5,3.4,5.3,3.7,6.4,3.4
2010,4.7,2.5,4.7,3.7,2.6,3.8,4.8,2.5,3,5.4,5,4.7,3.1,5.7,6.3,5.2,3.6
2011,3.5,2.6,4,3.3,4,2.6,3.1,2,2.3,5.3,4.3,3.7,2.6,5,3.8,4.1,3.1
2012,3.9,3.1,4.3,3.6,2.2,2.7,3.2,2.5,2.5,4.8,7.3,4.7,2.9,6,5.9,3.9,3.8
2013,4,4.2,5.3,4.3,2,2.4,3.7,2.3,3.2,4.4,10.2,5.2,2.1,5.7,5.3,3.9,4.8
2014,4.2,5,5.5,4.9,1.6,2.2,4.2,2.1,3.1,3.5,12.8,6.2,2.3,5.5,4.3,3.9,5.5
2015,4.9,6,6.8,6.5,1.4,2.2,4.2,2.3,3.4,3.3,11.1,6.5,2.6,6.6,3.2,4.4,5.9
2016,6.9,6.3,7.8,8.4,1.4,2.8,4.7,3.3,3.9,2.7,9.8,8.1,2.4,7.5,4.3,4.8,6.4
2017,6.8,6.7,7.5,8,1.9,3.5,4.3,3.9,4.4,3.5,8.1,9.8,2.4,7,4.4,6.7,6.5
2018,6.2,7.8,7.9,6.2,1.7,3.6,3.8,4.9,5.2,3.9,7.7,8.5,2.8,7.3,5.7,5.3,6.7
2019,5.9,9,8.8,6.5,2,4.1,4.6,4.7,6,4.3,8.4,9.5,3.6,9.1,5.8,5.6,7.5
2020,5.1,9.7,8.1,6.4,1.9,5.8,5.6,5,5.6,3.5,9.2,8.1,3.3,9.6,4.6,4.8,7.8
2021,7.5,12,10.3,7.5,3.3,6.1,6.8,6.3,6.7,6.6,11.9,9.5,4.6,9,4.5,4.7,9.6
2022,7.7,12.6,9.3,5.8,3.1,4.2,4.4,5.2,7.1,8.2,13.6,9.7,4.3,11.3,5.5,5.4,9.7
2023,5.1,8.9,6.8,4.7,3.5,4.4,4.1,4.6,4.4,6.3,10.4,7.7,3.1,6.2,4.8,5,7.1
