date,central,local
1990-01-01,1239,51
1991-01-01,753,153
1992-01-01,247,83
1993-01-01,23,32
1994-01-01,23,0
1995-01-01,33,11
1996-01-01,126,33
1997-01-01,98,13
1998-01-01,166,7
1999-01-01,54,44
2000-01-01,62,67
2001-01-01,170,5
2002-01-01,94,90
2003-01-01,136,11
2004-01-01,323,14
2005-01-01,264,101
2006-01-01,380,56
2007-01-01,244,82
2008-01-01,339,28
2009-01-01,349,39
2010-01-01,185,34
2011-01-01,182,126
2012-01-01,165,12
2013-01-01,388,74
2014-01-01,622,60
2015-01-01,774,61
2016-01-01,695,119
2017-01-01,1361,114
2018-01-01,1999,142
2019-01-01,2302,48
2020-01-01,1826,107
2021-01-01,2822,84
2022-01-01,2142,98
2023-01-01,3452,186
