date,Aucky,Welly
3/31/1993,283790.9836,268311.4754
6/30/1993,287068.4039,266563.5179
9/30/1993,285672.6094,265267.423
12/31/1993,300489.4822,278080.0971
3/31/1994,315768.6084,275024.2718
6/30/1994,326407.4074,273695.6522
9/30/1994,336802.5478,274654.4586
12/31/1994,346968.5039,283522.8346
3/31/1995,342651.633,274121.3064
6/30/1995,343363.6364,271587.057
9/30/1995,360267.6923,265358.4615
12/31/1995,376352.4465,280098.6239
3/31/1996,413917.8082,279777.7778
6/30/1996,427907.855,277664.6526
9/30/1996,415885.8859,274106.6066
12/31/1996,422168.4054,290827.1237
3/31/1997,430958.1465,287932.7354
6/30/1997,432840.0598,293107.997
9/30/1997,432138.1872,289962.8529
12/31/1997,441394.9704,309162.7219
3/31/1998,433304.2836,306846.3811
6/30/1998,425209.2247,305044.0529
9/30/1998,414144.7368,303706.1404
12/31/1998,417194.4035,322166.7894
3/31/1999,431444.6086,327302.8065
6/30/1999,423380.531,334247.7876
9/30/1999,415969.163,332775.3304
12/31/1999,429204.5455,350747.8006
3/31/2000,430662.2999,357358.0786
6/30/2000,418453.7572,360234.104
9/30/2000,422061.3409,344833.0956
12/31/2000,408420.3103,367578.2793
3/31/2001,417888.4181,355649.7175
6/30/2001,419666.6667,361477.591
9/30/2001,420835.6546,350696.3788
12/31/2001,434198.0609,364447.3684
3/31/2002,440476.584,351167.3554
6/30/2002,437391.0082,353343.3243
9/30/2002,435610.5834,362154.6811
12/31/2002,454733.1536,373288.4097
3/31/2003,456281.8792,376010.0671
6/30/2003,473181.2081,392064.4295
9/30/2003,488114.9733,395541.4439
12/31/2003,514969.4555,434714.4754
3/31/2004,519587.3016,429658.7302
6/30/2004,532018.3727,454363.5171
9/30/2004,533474.5763,430062.5815
12/31/2004,536782.9457,460332.0413
3/31/2005,563876.4479,461795.3668
6/30/2005,570082.9082,457672.1939
9/30/2005,571551.0719,480261.6646
12/31/2005,591635.3383,500917.9198
3/31/2006,587951.4321,500934.6202
6/30/2006,593120.3067,509779.1411
9/30/2006,591929.3544,521388.5505
12/31/2006,630268.6203,565704.5177
3/31/2007,641738.1531,575193.1956
6/30/2007,651468.1107,575716.0048
9/30/2007,647571.7703,585826.555
12/31/2007,655573.9645,585546.7456
3/31/2008,628760.282,569582.8437
6/30/2008,630227.7457,567641.6185
9/30/2008,602255.1253,530558.0866
12/31/2008,619416.476,551352.6888
3/31/2009,613690.6393,550093.8927
6/30/2009,628785.4711,560190.6924
9/30/2009,634434.4905,556892.4972
12/31/2009,658466.8911,572272.7273
3/31/2010,654848.9933,571760.6264
6/30/2010,632310.2679,576104.9107
9/30/2010,625331.1258,555849.8896
12/31/2010,628820.9277,548418.7702
3/31/2011,626804.0685,543230.1927
6/30/2011,620821.8452,522024.3902
9/30/2011,611552.2703,514501.5839
12/31/2011,628166.3136,526806.1441
3/31/2012,623530.0316,525622.5501
6/30/2012,654627.1008,522379.2017
9/30/2012,655207.3298,530625.6545
12/31/2012,686967.4711,541647.4292
3/31/2013,697251.8286,526227.7952
6/30/2013,714177.268,534320.1251
9/30/2013,717942.1488,507241.7355
12/31/2013,769172.3426,558689.3705
3/31/2014,767445.9877,534945.4733
6/30/2014,782027.7207,540310.0616
9/30/2014,780915.0461,528341.8628
12/31/2014,839763.3197,558552.2541
3/31/2015,885436.345,543899.6335
6/30/2015,933307.771,534238.2413
9/30/2015,953448.9053,538472.5051
12/31/2015,966479.0174,568289.6622
3/31/2016,991237.2188,585731.0838
6/30/2016,1044893.075,612191.9552
9/30/2016,1047038.54,615454.3611
12/31/2016,1077144.444,664472.2222
3/31/2017,1054412.5,680489.5
6/30/2017,1070150,683007.5
9/30/2017,1053346.614,677151.3944
12/31/2017,1076282.306,708969.6819
3/31/2018,1058506.429,722274.9753
6/30/2018,1054334.975,734313.3005
9/30/2018,1038920.898,743842.7734
12/31/2018,1044048.78,768297.0732
3/31/2019,1030760.234,796384.9903
6/30/2019,1024767.442,795414.7287
9/30/2019,993628.4889,787632.3388
12/31/2019,1037107.28,829580.9071
3/31/2020,1057344.582,837737.6426
6/30/2020,1058185.291,846548.233
9/30/2020,1098937.381,877955.408
12/31/2020,1141303.116,962974.5042
3/31/2021,1181786.049,1026768.727
6/30/2021,1256672.828,1058863.216
9/30/2021,1270383.363,1010273.508
12/31/2021,1383553.476,1110882.353
3/31/2022,1295380.911,1058353.765
6/30/2022,1230805.34,975968.9922
9/30/2022,1125244.519,881087.6897
12/31/2022,1097831.255,863403.99
3/31/2023,1023325.123,826929.3924
6/30/2023,997177.0918,803366.775
9/30/2023,983687.9489,795792.498
12/31/2023,1050000,819500
