date,Dwelling units,Houses,Apartments,Retirement village units,"Townhouses, flats, units, and other dwellings",Authority
1991,331,294,3,0,34,Kapiti Coast District
1992,273,255,0,0,18,Kapiti Coast District
1993,299,275,1,0,23,Kapiti Coast District
1994,344,306,24,0,14,Kapiti Coast District
1995,321,251,1,42,27,Kapiti Coast District
1996,295,262,3,8,22,Kapiti Coast District
1997,435,393,12,14,16,Kapiti Coast District
1998,475,343,18,89,25,Kapiti Coast District
1999,578,422,4,111,41,Kapiti Coast District
2000,536,385,0,108,43,Kapiti Coast District
2001,441,353,4,56,28,Kapiti Coast District
2002,419,342,11,48,18,Kapiti Coast District
2003,463,389,4,59,11,Kapiti Coast District
2004,450,401,2,26,21,Kapiti Coast District
2005,432,347,33,39,13,Kapiti Coast District
2006,370,334,16,8,12,Kapiti Coast District
2007,297,277,0,1,19,Kapiti Coast District
2008,194,183,0,0,11,Kapiti Coast District
2009,138,134,0,0,4,Kapiti Coast District
2010,181,174,1,0,6,Kapiti Coast District
2011,115,107,0,4,4,Kapiti Coast District
2012,190,138,1,45,6,Kapiti Coast District
2013,284,129,0,150,5,Kapiti Coast District
2014,247,148,0,88,11,Kapiti Coast District
2015,184,142,0,25,17,Kapiti Coast District
2016,239,211,0,4,24,Kapiti Coast District
2017,270,226,0,3,41,Kapiti Coast District
2018,254,216,0,21,17,Kapiti Coast District
2019,227,209,1,0,17,Kapiti Coast District
2020,208,180,3,3,22,Kapiti Coast District
2021,357,240,0,0,117,Kapiti Coast District
2022,271,210,16,4,41,Kapiti Coast District
2023,415,139,0,108,168,Kapiti Coast District
1991,117,97,8,0,12,Porirua City
1992,177,147,15,0,15,Porirua City
1993,129,120,0,0,9,Porirua City
1994,168,159,0,0,9,Porirua City
1995,123,105,0,0,18,Porirua City
1996,124,104,4,1,15,Porirua City
1997,117,100,5,1,11,Porirua City
1998,105,89,0,0,16,Porirua City
1999,188,148,0,1,39,Porirua City
2000,163,137,0,11,15,Porirua City
2001,136,112,0,2,22,Porirua City
2002,122,102,0,2,18,Porirua City
2003,135,107,0,1,27,Porirua City
2004,126,110,0,0,16,Porirua City
2005,139,101,0,35,3,Porirua City
2006,270,240,1,0,29,Porirua City
2007,279,258,0,1,20,Porirua City
2008,184,155,0,16,13,Porirua City
2009,183,158,0,1,24,Porirua City
2010,239,189,0,34,16,Porirua City
2011,166,145,0,10,11,Porirua City
2012,134,109,0,17,8,Porirua City
2013,152,121,0,17,14,Porirua City
2014,179,153,1,10,15,Porirua City
2015,206,162,1,26,17,Porirua City
2016,279,251,0,0,28,Porirua City
2017,297,196,54,26,21,Porirua City
2018,238,226,0,0,12,Porirua City
2019,415,295,0,53,67,Porirua City
2020,369,188,0,70,111,Porirua City
2021,374,233,1,37,103,Porirua City
2022,305,162,1,0,142,Porirua City
2023,183,88,4,0,91,Porirua City
1991,97,71,14,0,12,Upper Hutt City
1992,65,60,1,0,4,Upper Hutt City
1993,95,69,4,0,22,Upper Hutt City
1994,60,57,0,0,3,Upper Hutt City
1995,54,41,1,0,12,Upper Hutt City
1996,63,49,0,6,8,Upper Hutt City
1997,103,54,0,0,49,Upper Hutt City
1998,91,83,0,0,8,Upper Hutt City
1999,104,86,0,0,18,Upper Hutt City
2000,146,121,0,20,5,Upper Hutt City
2001,129,96,0,24,9,Upper Hutt City
2002,166,117,0,48,1,Upper Hutt City
2003,133,119,1,6,7,Upper Hutt City
2004,189,163,0,7,19,Upper Hutt City
2005,236,194,0,15,27,Upper Hutt City
2006,205,178,1,0,26,Upper Hutt City
2007,257,246,0,0,11,Upper Hutt City
2008,196,106,0,70,20,Upper Hutt City
2009,110,100,0,0,10,Upper Hutt City
2010,151,146,0,0,5,Upper Hutt City
2011,87,77,0,0,10,Upper Hutt City
2012,98,92,0,0,6,Upper Hutt City
2013,141,117,0,19,5,Upper Hutt City
2014,169,96,0,67,6,Upper Hutt City
2015,134,109,0,22,3,Upper Hutt City
2016,196,150,0,43,3,Upper Hutt City
2017,230,181,0,27,22,Upper Hutt City
2018,304,225,0,50,29,Upper Hutt City
2019,199,159,0,12,28,Upper Hutt City
2020,262,208,0,0,54,Upper Hutt City
2021,346,178,0,11,157,Upper Hutt City
2022,340,131,4,0,205,Upper Hutt City
2023,250,106,0,0,144,Upper Hutt City
1991,255,160,6,0,89,Lower Hutt City
1992,249,145,1,0,103,Lower Hutt City
1993,168,139,1,0,28,Lower Hutt City
1994,162,120,3,3,36,Lower Hutt City
1995,135,113,5,2,15,Lower Hutt City
1996,128,105,0,0,23,Lower Hutt City
1997,103,94,0,0,9,Lower Hutt City
1998,139,130,0,0,9,Lower Hutt City
1999,135,122,0,0,13,Lower Hutt City
2000,190,133,0,48,9,Lower Hutt City
2001,162,123,5,0,34,Lower Hutt City
2002,134,107,7,0,20,Lower Hutt City
2003,184,145,6,0,33,Lower Hutt City
2004,180,131,23,0,26,Lower Hutt City
2005,150,90,1,43,16,Lower Hutt City
2006,197,123,20,16,38,Lower Hutt City
2007,142,110,19,0,13,Lower Hutt City
2008,139,114,0,7,18,Lower Hutt City
2009,151,96,34,0,21,Lower Hutt City
2010,126,101,6,0,19,Lower Hutt City
2011,110,105,0,0,5,Lower Hutt City
2012,111,90,0,0,21,Lower Hutt City
