Date,Median,Average
2021,$21.35 ,$29.70 
2020,$21.89 ,$30.14 
2019,$20.48 ,$28.12 
2018,$20.28 ,$27.63 
2017,$19.95 ,$27.05 
2016,$19.78 ,$26.86 
2015,$19.44 ,$26.33 
2014,$19.12 ,$25.34 
2013,$19.10 ,$25.51 
2012,$19.01 ,$25.39 
2011,$19.25 ,$25.25 
2010,$19.74 ,$25.78 
2009,$19.87 ,$25.84 
2008,$19.44 ,$25.20 
2007,$19.59 ,$25.11 
2006,$19.55 ,$24.83 
2005,$19.48 ,$24.72 
2004,$19.77 ,$24.89 
2003,$19.55 ,$24.87 
2002,$19.54 ,$24.82 
2001,$19.24 ,$24.38 
2000,$18.95 ,$23.94 
1999,$18.84 ,$23.64 
1998,$18.38 ,$23.10 
1997,$17.75 ,$22.37 
1996,$17.39 ,$21.97 
1995,$17.68 ,$21.97 
1994,$17.93 ,$22.06 
1993,$18.14 ,$21.69 
1992,$17.85 ,$21.58 
1991,$17.68 ,$21.56 
1990,$17.83 ,$21.47 
1989,$17.85 ,$21.53 
1988,$17.89 ,$22.10 
1987,$18.13 ,$21.93 
1986,$17.93 ,$21.81 
1985,$17.81 ,$21.29 
1984,$17.54 ,$21.06 
1983,$17.45 ,$20.99 
1982,$17.41 ,$20.95 
1981,$17.49 ,$20.77 
1980,$17.68 ,$20.88 
1979,$17.79 ,$21.31 
1978,$18.09 ,$21.12 
1977,$17.93 ,$21.07 
1976,$17.91 ,$21.19 
1975,$17.95 ,$20.95 
1974,$17.95 ,$20.90 
1973,$18.30 ,$21.30 
