date,SCHA,SCHF,SCAA,SCAF,SCAF_MINUS_SCAA,SCHF_MINUS_SCHA
2022-12-31,"2,799,324,691","2,458,444,848","3,375,728,057","3,095,104,435","-280,623,622","-340,879,843"
2022-09-30,"2,729,046,083","2,360,623,353","3,525,939,882","3,203,298,560","-322,641,322","-368,422,730"
2022-06-30,"2,694,542,002","2,452,748,734","3,692,373,799","3,463,514,891","-228,858,908","-241,793,268"
2022-03-31,"2,422,195,175",2280653885,3997372091,3844595084,"-152,777,007","-141,541,290"
2021-12-31,2121537519,2111517044,4128273345,4130305945,"2,032,600","-10,020,475"
2021-09-30,2006546502,2008787518,3929050425,3956196035,"27,145,610","2,241,016"
2021-06-30,1904737461,1915968859,3787974096,3828483741,"40,509,645","11,231,398"
2021-03-31,1631265924,1631995136,3827508136,3855667091,"28,158,955","729,212"
2020-12-31,1340335599,1376190328,3698181258,3782190554,"84,009,296","35,854,729"
2020-09-30,1133143613,1169815618,3583080876,3670837397,"87,756,521","36,672,005"
2020-06-30,967446695,1006652171,3462558670,3553486615,"90,927,945","39,205,476"
2020-03-31,955477112,990360552,3195248942,3264907814,"69,658,872","34,883,440"
2019-12-31,1028647097,1045200370,2943386014,2971077532,"27,691,518","16,553,273"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
