date,SCHA,SCHF,SCAA,SCAF,SCAF_MINUS_SCAA,SCHF_MINUS_SCHA
2023-03-31,2655370821,2371254972,3198654163,2966185575,-232468588,-284115849
2022-12-31,2799324691,2458444848,3375728057,3095104435,-280623622,-340879843
2022-09-30,2729046083,2360623353,3525939882,3203298560,-322641322,-368422730
2022-06-30,2694542002,2452748734,3692373799,3463514891,-228858908,-241793268
2022-03-31,2422195175,2280653885,3997372091,3844595084,-152777007,-141541290
2021-12-31,2121537519,2111517044,4128273345,4130305945,2032600,-10020475
2021-09-30,2006546502,2008787518,3929050425,3956196035,27145610,2241016
2021-06-30,1904737461,1915968859,3787974096,3828483741,40509645,11231398
2021-03-31,1631265924,1631995136,3827508136,3855667091,28158955,729212
2020-12-31,1340335599,1376190328,3698181258,3782190554,84009296,35854729
2020-09-30,1133143613,1169815618,3583080876,3670837397,87756521,36672005
2020-06-30,967446695,1006652171,3462558670,3553486615,90927945,39205476
2020-03-31,955477112,990360552,3195248942,3264907814,69658872,34883440
2019-12-31,1028647097,1045200370,2943386014,2971077532,27691518,16553273
