ID_RSSD,ID_RSSD_PARENT,CERT,TICKER
29636,1083475,12204,CIZN
30810,3846375,5649,DFS
42420,1071306,7468,FCF
17147,1208559,4365,FRME
59316,2365356,698,NWFL
60143,1199844,983,CMA
34537,1085013,131,SBCF
61122,1132672,4857,FUNC
35301,1111435,14,STT
18854,3256134,4147,BSVN
37640,1098620,17393,GABC
5210,1117464,7506,ACNB
23504,1416523,6976,DCOM
24006,2631510,15995,BRKL
85472,2609975,28359,OCFC
55608,1115385,25825,BHB
28013,3132863,28710,NFBK
100562,1030170,21943,TCBK
12311,1068191,6560,HBAN
129732,1204627,20624,BY
130541,1209136,4360,HBNC
107244,107244,110,OZK
119872,5371479,29744,FSEA
119872,5371479,29744,FSEA
143662,2078816,17266,COLB
143662,2747644,17266,UMPQ
122854,3140288,3076,IBTX
83638,1135972,22953,AMTB
139656,3180547,25858,EQBK
139740,1210066,15614,WTBA
112837,2277860,4297,COF
186221,1076673,6892,OPOF
174572,2571120,28834,CLBK
93619,1111435,24938,STT
197478,2734233,31628,EWBC
200378,3153130,35498,BANC
177751,1098648,1068,CASS
177920,1398740,13716,MBCN
202907,1048867,6989,CBU
165628,1071276,6600,FFBC
212465,1119794,22826,USB
212577,4366003,27677,HTBI
204004,3133637,12010,PFS
214106,2728607,21591,GCBC
214414,1134630,5969,FMAO
208244,1098303,3832,ONB
239613,2560263,7472,FNCB
216922,1076431,15019,FBNC
229342,1202258,15651,ATLO
229801,1048773,9396,VLY
210434,1199611,913,NTRS
230759,1104231,25679,IBOC
245276,2490575,31469,OFG
233031,3242838,12368,RF
246022,2297701,26912,BKSC
268677,2531245,30394,CARV
258771,3843507,32489,HMST
280110,1068025,17534,KEY
220527,2818245,5956,PEBK
259330,1086168,17077,FUSB
294564,1206546,14778,HTLF
294779,2621548,28453,TSBK
272272,3266227,28332,SMBC
310978,4523431,28513,WSBF
301574,3464313,30530,LSBK
278818,1139541,7514,PFIS
316840,1097025,23627,RBCAA
317342,1249730,258,SYBT
339858,1883693,4214,BOKF
352772,2126977,28489,BANR
342410,1248153,713,ORRF
342634,1079562,4988,TRMK
354310,1116609,7759,UVSP
236706,2651590,11035,PGC
237619,5374461,20741,PBFS
333203,1114940,14158,UNB
382069,1104231,24961,IBOC
361167,1245068,18297,SBSI
395238,1078846,873,SNV
365325,1076217,22858,UBSI
398668,3587146,23472,BK
371924,3333718,7848,CBFV
399517,1118340,13876,CCNE
426534,1208120,20369,HBT
403179,4438366,28405,FNWB
403870,4299316,29675,IROQ
416245,1203602,16450,BUSE
428547,2260406,27052,WTFC
429487,3843646,57451,SFBC
379920,3005332,7888,FNB
451965,1120754,3511,WFC
431172,3489594,32172,PPBI
439404,1133932,4256,FNLC
419675,5371947,28533,RMBI
433608,2367921,609,TMP
454676,3035928,28808,BFIN
435077,2390013,30776,CASH
436159,1132104,8663,FBK
456045,1491409,11241,HOMB
437914,3844269,17838,WSFS
422433,3589560,14028,FGBI
480228,1073757,3510,BAC
470050,1102312,3066,FFIN
481177,3030307,5826,LARK
497570,3814208,32178,LBC
498317,2012436,384,OVBC
473501,2333663,23621,BHLB
474919,1117129,7551,FULT
501105,1037003,588,MTB
449038,1951350,25677,C
485559,1094640,4977,FHN
501815,1117688,7586,PWOD
463735,1086533,12441,HWC
488318,3587146,24867,BK
476810,1951350,7213,C
509811,1070644,2720,CTBI
489623,1142336,6653,PRK
504713,1119794,6548,USB
510871,2744894,30387,FBP
491224,1075612,11063,FCNCA
466044,1202258,9299,ATLO
506922,1248304,4865,SASR
491934,1085170,22257,CBAN
508346,2038409,10619,HWBK
537449,1247428,15229,FBIZ
494261,2875332,24045,PACW
564977,3954681,30836,TBNK
541101,3587146,639,BK
542528,1246533,12982,CIVB
556815,1142475,13879,CVLY
522605,1115385,11971,BHB
522847,1249712,9314,LMST
577128,1070578,6544,PEBO
561574,561574,32203,SSBI
593007,1130249,4255,CAC
584724,1071502,9463,UBCP
572374,2339133,29546,GSBC
594947,1208009,5304,BFC
595430,2260406,5744,WTFC
595869,1843080,18503,CATY
588478,2571120,30519,CLBK
575254,2033226,25103,SPFI
613008,1136803,9712,INDB
601050,1049341,24998,CBSH
613679,2867458,29056,FCAP
601416,1032464,659,FISI
614313,1071454,13339,SBFG
289515,1118238,8405,FRAF
633378,3099443,28765,KRNY
645625,1070448,803,WSBC
625159,1104231,23772,IBOC
636771,1201925,27811,IBCP
637451,3838727,17491,HTH
659855,1123670,1105,FIBK
661308,4400336,622,AMAL
628123,2001328,16820,GLBZ
662369,2976396,22597,BSRR
663058,1206546,20310,HTLF
651448,1039502,21761,JPM
663245,1094828,3890,SFNC
664756,1109599,16835,PB
642549,1206546,15219,HTLF
656377,3065617,28088,WAFD
673909,673909,90211,HIFS
687009,1404799,19953,LBAI
657365,2900261,24170,HAFC
667757,1885307,12614,OBNK
688079,1120754,13718,WFC
670467,3098576,23275,PLBC
701062,1022764,17308,CPF
292908,1401190,6947,EVBN
702117,1139279,7230,NBTB
676478,3805279,27861,MLVF
677176,1048513,31945,TRST
631570,3632493,30879,PROV
671464,2961879,26610,HOPE
703767,2935405,23030,CVCY
716374,2867458,31223,FCAP
729310,2596776,57497,PBHC
693224,1971693,34589,AUB
693345,1208595,4382,THFF
680813,1071191,6540,FMNB
694904,2132932,32541,NYCB
732918,1117688,14359,PWOD
682563,1102367,5510,CFR
697763,1025541,3430,WABC
697978,2523389,30903,TCFC
723112,1070345,6672,FITB
685676,4126609,30182,EBMT
736206,1115013,8152,CATC
772446,1199844,1596,CMA
773247,1491351,1040,MSBI
745347,1202258,33552,ATLO
785473,3908929,29961,FSFG
785923,2759900,6623,LCNB
786612,1944204,9889,MPB
761806,1145476,18221,WBS
741974,3824494,29937,KFFB
762447,1206760,3705,FMBH
764030,1082067,20504,ABCB
790543,2125813,18272,QCRH
749242,1098844,12437,RNST
816603,1115349,23623,WASH
749635,1129533,35,AUBN
766164,3233126,23498,TFIN
817824,1069778,6384,PNC
782306,2631510,17798,BRKL
767974,3828577,28263,CFBK
768074,3843628,29058,FFNW
820048,1202258,1545,ATLO
804374,4253121,27654,HFBL
795968,1025309,18053,BOH
796572,2500719,29042,HMNF
754929,1139925,6821,NKSH
821906,2693273,18467,SAL
884303,1133594,597,CHMG
874845,1208906,13102,LKFN
831875,3824494,31197,KFFB
876634,1085509,9622,CCBG
866000,1048812,7074,AROW
836843,1245228,14843,MOFG
837000,1048894,7072,FLIC
852218,1039502,628,JPM
852320,1074156,9846,TFC
881478,2166124,29012,HFWA
869346,1202258,8751,ATLO
898458,3973888,23826,NBHC
899428,1076123,6917,FXNC
927479,5423510,29941,BSBK
928421,2183493,10363,CFFI
928618,1117316,7542,ASRV
895710,1143623,7799,CZNC
929978,3851191,28094,HBCP
812164,1111435,26474,STT
915878,3828045,30012,TFSL
917742,1199563,5296,ASB
933023,2429838,4832,SHBI
933256,2067007,3931,ALRS
933966,1029222,21716,CVBF
958727,1076691,6837,AMNB
934329,3587146,7946,BK
948036,3530786,11329,MBIN
959304,2393274,58564,FFIC
921178,3180060,29922,RVSB
952677,3854268,28262,ESSA
936136,1206911,3603,OSBC
936426,1071397,11124,STBA
962890,3823929,57265,CZWI
936855,1049828,8273,UMBF
963945,3530786,8056,MBIN
940311,1129382,34968,BPOP
968070,4226910,27981,CFFN
1001152,1104231,19629,IBOC
1002878,4122722,28178,NWBI
1017939,1249347,16889,UCBI
991340,1199602,9087,SRCE
1007819,2858773,11868,FDBC
994257,2433312,90914,AMP
979375,3852031,32232,SBT
1011526,1076262,17735,CHCO
980661,1025608,17985,FHB
981275,3316917,29845,PFC
1162017,3015975,27132,UBFO
1190476,2303910,27237,EFSC
1216826,3695667,27330,SI
1225761,1120754,27389,WFC
1211371,1048812,27290,AROW
1216022,4504654,27314,SYF
1216321,1398807,27332,FRBK
1356768,2461016,27408,EBTC
1422980,1199611,27591,NTRS
1386251,1133286,27476,BANF
1412712,2626299,27572,CWBC
1456501,2162966,32992,MS
1394676,1275216,27471,AXP
1459799,1085509,33010,CCBG
1436204,3590388,32779,BMRC
1443266,1073757,25178,BAC
1629903,1199563,27102,ASB
1718188,3025385,33216,NRIM
1864197,3726440,33457,OVLY
1865091,1111435,33381,STT
1883321,1250101,26312,FAF
1929247,1133437,33555,SSB
1890525,2181426,33503,UNTY
1893049,1026632,33497,SCHW
1917301,2260406,27589,WTFC
1971901,3587146,33621,BK
1918344,1918344,33539,PFBC
1945247,1117129,33568,FULT
1994393,1117316,33702,ASRV
2119773,2260406,33849,WTFC
2044811,2260406,33803,WTFC
2142155,2125813,33867,QCRH
2142294,1070644,33874,CTBI
2181444,1039502,34018,JPM
2182786,2380443,33124,GS
2209553,2634874,33905,HTBK
2236821,2840479,33928,PNBK
2239288,2260406,33935,WTFC
2262718,1078846,33962,SNV
2265456,1037003,34069,MTB
2293860,1085509,34004,CCBG
2193616,3815157,33893,RJF
2298995,2260406,34011,WTFC
2163477,3815157,33879,RJF
2328137,2337401,34047,FCCO
2337335,1049828,34065,UMBF
2372774,1247679,34102,SMMF
2339795,2260406,34073,WTFC
