Date,Year,Month,R-CPI-I1,R-CPI-I2,R-CPI-I3,R-CPI-I4,R-CPI-I5
2005-12-01,2005,12,100.000,100.000,100.000,100.000,100.000
2006-01-01,2006,1,100.708,100.745,100.756,100.749,100.805
2006-02-01,2006,2,100.822,100.908,100.933,100.965,101.123
2006-03-01,2006,3,101.315,101.418,101.454,101.549,101.775
2006-04-01,2006,4,102.123,102.268,102.290,102.413,102.594
2006-05-01,2006,5,102.678,102.828,102.817,102.956,103.031
2006-06-01,2006,6,102.916,103.071,103.073,103.148,103.250
2006-07-01,2006,7,103.125,103.382,103.396,103.419,103.586
2006-08-01,2006,8,103.486,103.624,103.596,103.630,103.815
2006-09-01,2006,9,103.156,103.094,102.993,103.079,103.295
2006-10-01,2006,10,102.570,102.442,102.329,102.499,102.867
2006-11-01,2006,11,102.497,102.369,102.222,102.372,102.606
2006-12-01,2006,12,102.744,102.586,102.421,102.564,102.625
2007-01-01,2007,1,103.021,102.817,102.699,102.829,103.031
2007-02-01,2007,2,103.507,103.280,103.197,103.353,103.633
2007-03-01,2007,3,104.449,104.268,104.194,104.306,104.495
2007-04-01,2007,4,105.125,105.013,104.898,104.992,105.074
2007-05-01,2007,5,105.868,105.745,105.625,105.655,105.587
2007-06-01,2007,6,106.084,105.937,105.813,105.810,105.830
2007-07-01,2007,7,106.035,105.919,105.739,105.774,105.829
2007-08-01,2007,8,105.860,105.714,105.526,105.580,105.669
2007-09-01,2007,9,106.306,106.077,105.829,105.865,105.860
2007-10-01,2007,10,106.582,106.295,106.026,106.108,106.107
2007-11-01,2007,11,107.301,107.096,106.777,106.777,106.532
2007-12-01,2007,12,107.301,107.075,106.712,106.713,106.383
2008-01-01,2008,1,107.813,107.602,107.220,107.221,106.937
2008-02-01,2008,2,108.085,107.890,107.497,107.506,107.302
2008-03-01,2008,3,108.965,108.827,108.453,108.436,108.236
2008-04-01,2008,4,109.796,109.607,109.220,109.138,108.686
2008-05-01,2008,5,110.772,110.584,110.224,110.111,109.474
2008-06-01,2008,6,111.971,111.787,111.400,111.259,110.454
2008-07-01,2008,7,112.602,112.379,111.961,111.812,111.050
2008-08-01,2008,8,112.307,111.895,111.442,111.315,110.648
2008-09-01,2008,9,112.250,111.764,111.255,111.146,110.466
2008-10-01,2008,10,111.152,110.557,109.998,109.923,109.519
2008-11-01,2008,11,109.171,108.356,107.717,107.691,107.593
2008-12-01,2008,12,108.144,107.231,106.542,106.527,106.525
2009-01-01,2009,1,108.557,107.687,106.996,107.001,106.994
2009-02-01,2009,2,108.983,108.179,107.533,107.540,107.547
2009-03-01,2009,3,109.210,108.413,107.773,107.806,107.825
2009-04-01,2009,4,109.510,108.714,108.055,108.100,108.060
2009-05-01,2009,5,109.821,109.072,108.461,108.476,108.267
2009-06-01,2009,6,110.771,110.101,109.505,109.475,109.051
2009-07-01,2009,7,110.545,109.887,109.288,109.292,108.957
2009-08-01,2009,8,110.874,110.154,109.544,109.557,109.154
2009-09-01,2009,9,111.002,110.223,109.612,109.608,109.217
2009-10-01,2009,10,111.052,110.332,109.749,109.720,109.319
2009-11-01,2009,11,111.240,110.516,109.938,109.868,109.231
2009-12-01,2009,12,111.132,110.392,109.793,109.677,108.971
2010-01-01,2010,1,111.547,110.863,110.215,110.068,109.260
2010-02-01,2010,2,111.533,110.873,110.223,110.082,109.324
2010-03-01,2010,3,111.984,111.333,110.706,110.541,109.756
2010-04-01,2010,4,112.143,111.505,110.916,110.737,109.966
2010-05-01,2010,5,112.199,111.551,110.996,110.829,110.058
2010-06-01,2010,6,112.131,111.473,110.866,110.683,109.964
2010-07-01,2010,7,112.172,111.503,110.887,110.692,110.000
2010-08-01,2010,8,112.424,111.680,111.054,110.841,110.114
2010-09-01,2010,9,112.559,111.746,111.127,110.906,110.164
2010-10-01,2010,10,112.655,111.881,111.279,111.076,110.286
2010-11-01,2010,11,112.713,111.971,111.338,111.145,110.285
2010-12-01,2010,12,112.951,112.237,111.597,111.342,110.393
2011-01-01,2011,1,113.488,112.818,112.171,111.881,110.866
2011-02-01,2011,2,114.033,113.368,112.737,112.428,111.409
2011-03-01,2011,3,115.136,114.530,113.933,113.570,112.397
2011-04-01,2011,4,115.871,115.308,114.725,114.338,113.041
2011-05-01,2011,5,116.391,115.870,115.307,114.935,113.530
2011-06-01,2011,6,116.272,115.720,115.132,114.782,113.469
2011-07-01,2011,7,116.406,115.845,115.213,114.863,113.584
2011-08-01,2011,8,116.848,116.177,115.520,115.158,113.886
2011-09-01,2011,9,117.134,116.382,115.711,115.324,114.012
2011-10-01,2011,10,116.878,116.119,115.445,115.074,113.815
2011-11-01,2011,11,116.791,116.044,115.347,114.970,113.707
2011-12-01,2011,12,116.545,115.787,115.056,114.667,113.418
2012-01-01,2012,1,117.120,116.323,115.569,115.197,113.904
2012-02-01,2012,2,117.546,116.835,116.110,115.704,114.375
2012-03-01,2012,3,118.439,117.744,117.087,116.617,115.179
2012-04-01,2012,4,118.757,118.098,117.462,116.987,115.510
2012-05-01,2012,5,118.592,117.898,117.270,116.827,115.442
2012-06-01,2012,6,118.423,117.694,117.033,116.623,115.348
2012-07-01,2012,7,118.262,117.512,116.822,116.427,115.159
2012-08-01,2012,8,118.966,118.216,117.529,117.082,115.726
2012-09-01,2012,9,119.560,118.786,118.101,117.602,116.206
2012-10-01,2012,10,119.543,118.715,118.017,117.530,116.207
2012-11-01,2012,11,118.969,118.119,117.393,116.936,115.720
2012-12-01,2012,12,118.612,117.830,117.066,116.614,115.403
2013-01-01,2013,1,119.010,118.152,117.413,116.943,115.753
2013-02-01,2013,2,119.937,119.167,118.458,117.953,116.610
2013-03-01,2013,3,120.247,119.470,118.792,118.270,116.907
2013-04-01,2013,4,120.113,119.298,118.633,118.114,116.853
2013-05-01,2013,5,120.310,119.510,118.832,118.339,117.066
2013-06-01,2013,6,120.656,119.847,119.141,118.627,117.283
2013-07-01,2013,7,120.699,119.919,119.179,118.670,117.326
2013-08-01,2013,8,120.900,120.098,119.335,118.798,117.463
2013-09-01,2013,9,121.079,120.200,119.509,118.901,117.606
2013-10-01,2013,10,120.808,119.859,119.174,118.556,117.337
2013-11-01,2013,11,120.447,119.579,118.877,118.310,117.171
2013-12-01,2013,12,120.465,119.628,118.899,118.315,117.104
2014-01-01,2014,1,120.960,120.123,119.365,118.746,117.490
2014-02-01,2014,2,121.370,120.553,119.821,119.192,117.921
2014-03-01,2014,3,122.188,121.344,120.622,119.992,118.621
2014-04-01,2014,4,122.606,121.770,121.037,120.401,118.986
2014-05-01,2014,5,123.003,122.171,121.447,120.818,119.431
2014-06-01,2014,6,123.331,122.465,121.713,121.041,119.591
2014-07-01,2014,7,123.321,122.440,121.653,120.972,119.534
2014-08-01,2014,8,123.226,122.252,121.411,120.732,119.339
2014-09-01,2014,9,123.391,122.358,121.475,120.820,119.424
2014-10-01,2014,10,123.040,121.969,121.075,120.462,119.241
2014-11-01,2014,11,122.334,121.251,120.336,119.753,118.709
2014-12-01,2014,12,121.751,120.596,119.608,119.001,118.068
2015-01-01,2015,1,121.118,119.898,118.918,118.360,117.702
2015-02-01,2015,2,121.639,120.429,119.476,118.912,118.165
2015-03-01,2015,3,122.293,121.153,120.192,119.688,118.840
2015-04-01,2015,4,122.480,121.389,120.450,119.950,119.102
2015-05-01,2015,5,123.072,122.029,121.105,120.573,119.685
2015-06-01,2015,6,123.568,122.503,121.568,121.009,120.028
2015-07-01,2015,7,123.651,122.532,121.573,121.002,120.018
2015-08-01,2015,8,123.588,122.385,121.368,120.791,119.851
2015-09-01,2015,9,123.416,122.139,121.087,120.535,119.772
2015-10-01,2015,10,123.325,122.040,120.994,120.453,119.785
2015-11-01,2015,11,123.048,121.783,120.707,120.157,119.587
2015-12-01,2015,12,122.643,121.379,120.288,119.733,119.177
2016-01-01,2016,1,122.793,121.532,120.443,119.923,119.443
2016-02-01,2016,2,122.820,121.548,120.447,119.990,119.678
2016-03-01,2016,3,123.308,122.075,121.065,120.544,120.136
2016-04-01,2016,4,123.851,122.661,121.685,121.134,120.683
2016-05-01,2016,5,124.280,123.157,122.199,121.638,121.175
2016-06-01,2016,6,124.734,123.582,122.653,122.037,121.523
2016-07-01,2016,7,124.605,123.447,122.433,121.819,121.311
2016-08-01,2016,8,124.791,123.594,122.561,121.923,121.381
2016-09-01,2016,9,125.147,123.917,122.864,122.202,121.642
2016-10-01,2016,10,125.258,124.053,123.009,122.355,121.820
2016-11-01,2016,11,125.038,123.875,122.808,122.155,121.642
2016-12-01,2016,12,125.113,123.983,122.896,122.200,121.612
2017-01-01,2017,1,125.752,124.695,123.641,122.936,122.314
2017-02-01,2017,2,126.129,125.053,123.974,123.325,122.748
2017-03-01,2017,3,126.264,125.132,124.092,123.418,122.849
2017-04-01,2017,4,126.620,125.535,124.483,123.773,123.199
2017-05-01,2017,5,126.737,125.642,124.585,123.871,123.327
2017-06-01,2017,6,126.926,125.783,124.708,123.940,123.425
2017-07-01,2017,7,126.938,125.754,124.630,123.835,123.297
2017-08-01,2017,8,127.417,126.205,125.056,124.211,123.580
2017-09-01,2017,9,128.125,126.924,125.758,124.887,124.156
2017-10-01,2017,10,128.019,126.788,125.627,124.774,124.164
2017-11-01,2017,11,128.040,126.802,125.675,124.814,124.107
2017-12-01,2017,12,127.990,126.777,125.611,124.745,123.991
2018-01-01,2018,1,128.640,127.471,126.334,125.437,124.647
2018-02-01,2018,2,129.196,128.050,126.884,125.963,125.234
2018-03-01,2018,3,129.426,128.300,127.140,126.252,125.567
2018-04-01,2018,4,129.980,128.836,127.682,126.772,126.017
2018-05-01,2018,5,130.491,129.389,128.248,127.333,126.499
2018-06-01,2018,6,130.706,129.620,128.483,127.543,126.665
2018-07-01,2018,7,130.728,129.607,128.469,127.535,126.687
2018-08-01,2018,8,130.886,129.705,128.519,127.623,126.715
2018-09-01,2018,9,131.085,129.859,128.651,127.763,126.895
2018-10-01,2018,10,131.353,130.095,128.904,127.976,127.104
2018-11-01,2018,11,130.939,129.685,128.450,127.498,126.704
2018-12-01,2018,12,130.483,129.247,127.943,127.053,126.387
2019-01-01,2019,1,130.665,129.453,128.123,127.267,126.714
2019-02-01,2019,2,131.186,129.967,128.661,127.821,127.266
2019-03-01,2019,3,131.946,130.701,129.431,128.557,127.934
2019-04-01,2019,4,132.626,131.402,130.208,129.266,128.544
2019-05-01,2019,5,132.841,131.649,130.489,129.553,128.832
2019-06-01,2019,6,132.861,131.663,130.480,129.545,128.893
2019-07-01,2019,7,133.126,131.920,130.747,129.776,129.046
2019-08-01,2019,8,133.118,131.920,130.721,129.765,129.048
2019-09-01,2019,9,133.266,132.046,130.773,129.861,129.182
2019-10-01,2019,10,133.603,132.420,131.134,130.174,129.417
2019-11-01,2019,11,133.553,132.397,131.095,130.089,129.329
2019-12-01,2019,12,133.506,132.363,131.032,129.975,129.138
2020-01-01,2020,1,133.995,132.836,131.509,130.477,129.684
2020-02-01,2020,2,134.246,133.105,131.844,130.824,130.143
2020-03-01,2020,3,134.040,132.882,131.575,130.488,129.808
2020-04-01,2020,4,133.339,132.148,130.627,129.540,128.916
2020-05-01,2020,5,133.302,132.033,130.625,129.550,128.979
2020-06-01,2020,6,134.105,132.815,131.455,130.322,129.537
2020-07-01,2020,7,134.754,133.536,132.204,131.011,130.113
2020-08-01,2020,8,135.131,133.944,132.679,131.444,130.488
2020-09-01,2020,9,135.360,134.142,132.846,131.633,130.665
2020-10-01,2020,10,135.438,134.191,132.868,131.669,130.743
2020-11-01,2020,11,135.346,134.130,132.782,131.565,130.681
2020-12-01,2020,12,135.542,134.303,132.938,131.680,130.741
2021-01-01,2021,1,136.188,134.984,133.542,132.273,131.205
2021-02-01,2021,2,136.923,135.732,134.327,133.034,131.873
2021-03-01,2021,3,137.881,136.657,135.356,134.020,132.748
2021-04-01,2021,4,138.879,137.659,136.477,135.138,133.886
2021-05-01,2021,5,139.863,138.668,137.561,136.270,134.995
2021-06-01,2021,6,141.029,139.843,138.850,137.557,136.285
2021-07-01,2021,7,141.705,140.513,139.552,138.257,136.903
2021-08-01,2021,8,142.121,140.902,139.880,138.538,137.098
2021-09-01,2021,9,142.674,141.390,140.266,138.891,137.400
2021-10-01,2021,10,143.899,142.578,141.465,140.071,138.475
2021-11-01,2021,11,144.580,143.264,142.202,140.788,139.130
2021-12-01,2021,12,145.018,143.698,142.622,141.194,139.591
2022-01-01,2022,1,146.265,144.945,143.852,142.381,140.720
2022-02-01,2022,2,147.598,146.297,145.193,143.706,141.959
2022-03-01,2022,3,149.672,148.320,147.221,145.683,143.721
2022-04-01,2022,4,150.426,149.057,147.958,146.467,144.655
2022-05-01,2022,5,152.027,150.809,149.657,148.152,146.142
2022-06-01,2022,6,154.204,152.957,151.838,150.188,147.933
2022-07-01,2022,7,154.286,152.985,151.768,150.141,147.920
2022-08-01,2022,8,154.311,152.936,151.612,150.046,147.933
2022-09-01,2022,9,154.785,153.283,151.856,150.320,148.313
2022-10-01,2022,10,155.516,153.994,152.502,150.947,148.899
2022-11-01,2022,11,155.466,153.947,152.316,150.784,148.721
2022-12-01,2022,12,155.069,153.511,151.764,150.227,148.355
2023-01-01,2023,1,156.480,154.821,152.958,151.417,149.468
2023-02-01,2023,2,157.346,155.659,153.742,152.322,150.328
2023-03-01,2023,3,157.765,156.115,154.213,152.887,150.876
2023-04-01,2023,4,158.554,156.983,155.087,153.628,151.547
2023-05-01,2023,5,158.894,157.344,155.503,154.033,151.930
2023-06-01,2023,6,159.491,157.910,156.014,154.560,152.350
