Date,White,Black,Hispanic,AAPI
2019-01-01,-0.08,-0.25,0.34,0.61
2019-02-01,-0.05,-0.22,0.22,0.43
2019-03-01,-0.05,-0.16,0.20,0.39
2019-04-01,-0.07,-0.13,0.27,0.41
2019-05-01,-0.07,-0.21,0.29,0.49
2019-06-01,-0.06,-0.21,0.28,0.48
2019-07-01,-0.04,-0.22,0.20,0.42
2019-08-01,-0.04,-0.15,0.16,0.33
2019-09-01,-0.03,-0.17,0.13,0.33
2019-10-01,-0.02,-0.17,0.09,0.33
2019-11-01,-0.02,-0.12,0.06,0.25
2019-12-01,-0.02,-0.05,0.04,0.19
2020-01-01,-0.03,-0.07,0.11,0.21
2020-02-01,0.01,-0.23,0.04,0.37
2020-03-01,0.05,-0.43,-0.10,0.48
2020-04-01,0.13,-0.60,-0.35,0.53
2020-05-01,0.13,-0.57,-0.41,0.49
2020-06-01,0.14,-0.59,-0.39,0.46
2020-07-01,0.09,-0.46,-0.24,0.36
2020-08-01,0.10,-0.46,-0.22,0.28
2020-09-01,0.08,-0.27,-0.21,0.12
2020-10-01,0.09,-0.22,-0.24,0.05
2020-11-01,0.06,-0.11,-0.22,0.03
2020-12-01,0.05,-0.13,-0.13,0.01
2021-01-01,0.01,-0.05,0.02,-0.04
2021-02-01,-0.04,0.09,0.20,-0.16
2021-03-01,-0.11,0.27,0.55,-0.33
2021-04-01,-0.19,0.47,0.95,-0.63
2021-05-01,-0.22,0.40,1.41,-0.89
2021-06-01,-0.22,0.34,1.53,-1.05
2021-07-01,-0.19,0.23,1.47,-0.96
2021-08-01,-0.17,0.33,1.22,-0.87
2021-09-01,-0.17,0.42,1.09,-0.77
2021-10-01,-0.20,0.53,1.13,-0.83
2021-11-01,-0.21,0.51,1.28,-0.88
2021-12-01,-0.24,0.69,1.22,-0.94
2022-01-01,-0.24,0.80,1.04,-0.96
2022-02-01,-0.26,0.99,0.89,-0.95
2022-03-01,-0.24,0.86,0.86,-0.84
2022-04-01,-0.25,0.83,0.89,-0.67
2022-05-01,-0.22,0.70,0.81,-0.50
2022-06-01,-0.23,0.75,0.80,-0.42
2022-07-01,-0.17,0.62,0.63,-0.39
2022-08-01,-0.15,0.56,0.53,-0.36
2022-09-01,-0.11,0.35,0.45,-0.26
2022-10-01,-0.09,0.22,0.41,-0.13
2022-11-01,-0.04,0.05,0.26,-0.03
2022-12-01,-0.02,-0.03,0.18,0.03
2023-01-01,0.01,-0.12,0.08,0.07
2023-02-01,0.03,-0.20,0.02,0.10
2023-03-01,0.05,-0.21,-0.07,0.07
2023-04-01,0.06,-0.25,-0.09,0.04
2023-05-01,0.04,-0.25,-0.08,0.08
2023-06-01,0.05,-0.31,-0.10,0.12
