Date,Rig Count
1/4/2019,1075
1/11/2019,1075
1/18/2019,1050
1/25/2019,1059
2/1/2019,1045
2/8/2019,1049
2/15/2019,1051
2/22/2019,1047
3/1/2019,1038
3/8/2019,1027
3/15/2019,1026
3/22/2019,1016
3/29/2019,1006
4/5/2019,1025
4/12/2019,1022
4/18/2019,1012
4/26/2019,991
5/3/2019,990
5/10/2019,988
5/17/2019,987
5/24/2019,983
5/31/2019,984
6/7/2019,975
6/14/2019,969
6/21/2019,967
6/28/2019,967
7/3/2019,963
7/12/2019,958
7/19/2019,954
7/26/2019,946
8/2/2019,942
8/9/2019,934
8/16/2019,935
8/23/2019,916
8/30/2019,904
9/6/2019,898
9/13/2019,886
9/20/2019,868
9/27/2019,860
10/4/2019,855
10/11/2019,856
10/18/2019,851
10/25/2019,830
11/1/2019,822
11/8/2019,817
11/15/2019,806
11/22/2019,803
11/27/2019,802
12/6/2019,799
12/13/2019,799
12/20/2019,813
12/27/2019,805
1/3/2020,796
1/10/2020,781
1/17/2020,796
1/24/2020,794
1/31/2020,790
2/7/2020,790
2/14/2020,790
2/21/2020,791
2/28/2020,790
3/6/2020,793
3/13/2020,792
3/20/2020,772
3/27/2020,728
4/3/2020,664
4/9/2020,602
4/17/2020,529
4/24/2020,465
5/1/2020,408
5/8/2020,374
5/15/2020,339
5/22/2020,318
5/29/2020,301
6/5/2020,284
6/12/2020,279
6/19/2020,266
6/26/2020,265
7/2/2020,263
7/10/2020,258
7/17/2020,253
7/24/2020,251
7/31/2020,251
8/7/2020,247
8/14/2020,244
8/21/2020,254
8/28/2020,254
9/4/2020,256
9/11/2020,254
9/18/2020,255
9/25/2020,261
10/2/2020,266
10/9/2020,269
10/16/2020,282
10/23/2020,287
10/30/2020,296
11/6/2020,300
11/13/2020,312
11/20/2020,310
11/25/2020,320
12/4/2020,323
12/11/2020,338
12/18/2020,346
12/23/2020,348
12/31/2020,351
1/8/2021,360
1/15/2021,373
1/22/2021,378
1/29/2021,384
2/5/2021,392
2/12/2021,397
2/19/2021,397
2/26/2021,402
3/5/2021,403
3/12/2021,402
3/19/2021,411
3/26/2021,417
4/1/2021,430
4/9/2021,432
4/16/2021,439
4/23/2021,438
4/30/2021,440
5/7/2021,448
5/14/2021,453
5/21/2021,455
5/28/2021,457
6/4/2021,456
6/11/2021,461
6/18/2021,470
6/25/2021,470
7/2/2021,475
7/9/2021,479
7/16/2021,484
7/23/2021,491
7/30/2021,488
8/6/2021,491
8/13/2021,501
8/20/2021,503
8/27/2021,508
9/3/2021,497
9/10/2021,503
9/17/2021,512
9/24/2021,521
10/1/2021,528
10/8/2021,533
10/15/2021,543
10/22/2021,542
10/29/2021,544
11/5/2021,550
11/12/2021,556
11/19/2021,563
11/24/2021,569
12/3/2021,569
12/10/2021,576
12/17/2021,579
12/23/2021,586
12/31/2021,586
1/7/2022,588
1/14/2022,601
1/21/2022,604
1/28/2022,610
2/4/2022,613
