Days,Date
45.13919414, 2019/05/04
45.52435219, 2019/05/23
45.08153575, 2019/06/05
45.72454212, 2019/06/19
46.2974359, 2019/06/28
45.04463438, 2019/07/04
44.62949396, 2019/07/17
45.10921178, 2019/07/30
44.66178266, 2019/08/10
43.53052503, 2019/08/17
41.55745489, 2019/08/26
42.87667888, 2019/09/11
44.45421245, 2019/09/18
46.35463302, 2019/09/28
47.69230769, 2019/10/11
48.17202551, 2019/10/24
48.45801112, 2019/11/06
49.00159669, 2019/11/21
50.49681183, 2019/12/03
49.41744675, 2019/12/16
49.82839383, 2019/12/30
48.94603175, 2020/01/10
49.85103785, 2020/01/24
50.85660019, 2020/02/06
51.66381766, 2020/02/18
52.47235304, 2020/03/02
53.78449328, 2020/03/12
55.42775743, 2020/03/17
57.5133438, 2020/03/21
59.69579627, 2020/03/23
61.72405372, 2020/03/31
60.81074481, 2020/04/09
59.35775336, 2020/04/11
57.98778999, 2020/04/13
56.25803826, 2020/04/16
54.45909646, 2020/04/19
52.68321802, 2020/04/25
52.27730294, 2020/05/08
52.29575363, 2020/05/21
52.42490842, 2020/05/29
50.68131868, 2020/06/04
51.22561389, 2020/06/18
51.24406458, 2020/07/01
50.98575499, 2020/07/14
50.79202279, 2020/07/27
51.1960928, 2020/08/06
52.59096459, 2020/08/16
53.80870981, 2020/08/29
54.73124406, 2020/09/11
55.40205826, 2020/09/23
56.98222765, 2020/10/05
57.6003256, 2020/10/18
58.58282458, 2020/10/29
60.11884412, 2020/11/09
61.55799756, 2020/11/16
63.12630579, 2020/11/26
64.28869896, 2020/12/09
65.30612245, 2020/12/21
65.98616199, 2021/01/01
66.34990406, 2021/01/11
67.85775336, 2021/01/21
69.54945055, 2021/01/27
71.41066341, 2021/02/02
72.52808303, 2021/02/11
74.13675214, 2021/02/18
75.87203907, 2021/02/23
77.47566719, 2021/03/03
79.2983313, 2021/03/10
80.9035409, 2021/03/21
81.72196058, 2021/04/01
83.57427757, 2021/04/04
85.47931081, 2021/04/10
87.1029711, 2021/04/18
88.88609803, 2021/04/23
90.45177045, 2021/04/29
90.83369963, 2021/05/13
90.3964184, 2021/05/21
88.72478632, 2021/05/21
87.13064713, 2021/05/23
85.28893329, 2021/05/28
85.01804368, 2021/06/11
82.91282051, 2021/06/20
82.45735217, 2021/06/27
83.25600326, 2021/07/10
84.04938272, 2021/07/23
84.0678334, 2021/08/05
84.62596663, 2021/08/15
86.06788767, 2021/08/19
87.61221001, 2021/08/22
89.09010989, 2021/08/25
90.7008547, 2021/08/31
92.35103785, 2021/09/08
94.02197802, 2021/09/16
94.25030525, 2021/09/28
95.78929008, 2021/10/08
96.71577805, 2021/10/17
97.4953195, 2021/10/28
98.99180185, 2021/11/06
101.9570905, 2021/11/18
95.97313797, 2021/12/02
101.6467236, 2021/12/06
103.6200244, 2021/12/11
104.0766789, 2021/12/25
104.8260073, 2022/01/03
107.0573871, 2022/01/08
108.5367965, 2022/01/15
109.517094, 2022/01/25
111.4080586, 2022/01/29
112.6202686, 2022/02/01
40.65934066, 2019/08/28
41.75824176, 2019/09/05
100.6593407, 2021/11/13
100, 2021/11/22
100, 2021/12/06
