Date,Current_Calendar_YR,NEXT_Calendar_YR
2021-01-04,1.94,2.09
2021-01-05,1.96,2.11
2021-01-06,2,2.14
2021-01-07,2.16,2.17
2021-01-08,2.06,2.19
2021-01-11,2.13,2.15
2021-01-12,2.1,2.16
2021-01-13,2.23,2.14
2021-01-14,2.25,2.16
2021-01-15,2.24,2.21
2021-01-19,2.24,2.26
2021-01-20,2.29,2.3
2021-01-21,2.32,2.34
2021-01-22,2.33,2.28
2021-01-25,2.32,2.28
2021-01-26,2.29,2.28
2021-01-27,2.28,2.26
2021-01-28,2.26,2.28
2021-01-29,2.2,2.25
2021-02-01,2.22,2.23
2021-02-02,2.27,2.21
2021-02-03,2.27,2.24
2021-02-04,2.26,2.24
2021-02-05,2.25,2.24
2021-02-08,2.3,2.24
2021-02-09,2.28,2.26
2021-02-10,2.25,2.32
2021-02-11,2.25,2.31
2021-02-12,2.26,2.33
2021-02-16,2.34,2.3
2021-02-17,2.37,2.27
2021-02-18,2.31,2.25
2021-02-19,2.33,2.19
2021-02-22,2.38,2.24
2021-02-23,2.4,2.32
2021-02-24,2.48,2.33
2021-02-25,2.49,2.25
2021-02-26,2.47,2.34
2021-03-01,2.52,2.41
2021-03-02,2.57,2.5
2021-03-03,2.58,2.54
2021-03-04,2.62,2.51
2021-03-05,2.72,2.49
2021-03-08,2.61,2.47
2021-03-09,2.65,2.46
2021-03-10,2.72,2.49
2021-03-11,2.8,2.58
2021-03-12,2.84,2.54
2021-03-15,2.87,2.53
2021-03-16,2.89,2.55
2021-03-17,2.88,2.6
2021-03-18,2.84,2.56
2021-03-19,2.81,2.51
2021-03-22,2.85,2.53
2021-03-23,2.8,2.51
2021-03-24,2.85,2.6
2021-03-25,2.88,2.55
2021-03-26,2.9,2.66
2021-03-29,2.91,2.64
2021-03-30,2.89,2.62
2021-03-31,2.94,2.61
2021-04-01,3,2.61
2021-04-05,2.95,2.6
2021-04-06,2.9,2.65
2021-04-07,2.88,2.68
2021-04-08,2.94,2.64
2021-04-09,3,2.67
2021-04-12,3.02,2.65
2021-04-13,3.07,2.68
2021-04-14,3.13,2.66
2021-04-15,3.12,2.67
2021-04-16,3.22,2.65
2021-04-19,3.19,2.6
2021-04-20,3.16,2.58
2021-04-21,3.18,2.53
2021-04-22,3.14,2.57
2021-04-23,3.15,2.62
2021-04-26,3.15,2.66
2021-04-27,3.21,2.7
2021-04-28,3.3,2.84
2021-04-29,3.33,2.84
2021-04-30,3.31,2.8
2021-05-03,3.41,2.8
2021-05-04,3.49,2.85
2021-05-05,3.54,2.87
2021-05-06,3.56,2.84
2021-05-07,3.61,2.83
2021-05-10,3.71,2.81
2021-05-11,3.71,2.74
2021-05-12,4.02,2.68
2021-05-13,4.02,2.65
2021-05-14,4.15,2.62
2021-05-17,4.25,2.67
2021-05-18,4.27,2.68
2021-05-19,4.23,2.59
2021-05-20,4.16,2.54
2021-05-21,4.21,2.56
2021-05-24,4.25,2.64
2021-05-25,4.29,2.63
2021-05-26,4.32,2.6
2021-05-27,4.36,2.58
2021-05-28,4.41,2.58
2021-06-01,4.46,2.61
2021-06-02,4.55,2.62
2021-06-03,4.54,2.52
2021-06-04,4.61,2.55
2021-06-07,4.62,2.57
2021-06-08,4.58,2.52
2021-06-09,4.54,2.37
2021-06-10,4.55,2.45
2021-06-11,4.6,2.43
2021-06-14,4.6,2.43
2021-06-15,4.64,2.44
2021-06-16,4.66,2.42
2021-06-17,4.68,2.36
2021-06-18,4.69,2.38
2021-06-21,4.73,2.38
2021-06-22,4.79,2.41
2021-06-23,4.8,2.48
2021-06-24,4.79,2.46
2021-06-25,4.86,2.46
2021-06-28,4.87,2.47
2021-06-29,4.9,2.46
2021-06-30,4.95,2.48
2021-07-01,4.96,2.47
2021-07-02,5,2.46
2021-07-06,5.04,2.47
2021-07-07,4.95,2.43
2021-07-08,4.97,2.36
2021-07-09,5.03,2.38
2021-07-12,4.99,2.52
2021-07-13,5.24,2.61
2021-07-14,5.34,2.62
2021-07-15,5.32,2.53
2021-07-16,5.37,2.53
2021-07-19,5.26,2.43
2021-07-20,5.26,2.36
2021-07-21,5.33,2.4
2021-07-22,5.39,2.43
2021-07-23,5.45,2.5
2021-07-26,5.48,2.61
2021-07-27,5.52,2.61
2021-07-28,5.52,2.64
2021-07-29,5.55,2.65
2021-07-30,5.6,2.63
2021-08-02,5.53,2.57
2021-08-03,5.47,2.54
2021-08-04,5.46,2.46
2021-08-05,5.48,2.42
2021-08-06,5.5,2.42
2021-08-09,5.43,2.45
2021-08-10,5.44,2.54
2021-08-11,5.44,2.58
2021-08-12,5.48,2.61
2021-08-13,5.5,2.59
2021-08-16,5.52,2.55
2021-08-17,5.53,2.55
2021-08-18,5.58,2.5
2021-08-19,5.49,2.53
2021-08-20,5.49,2.49
2021-08-23,5.5,2.54
2021-08-24,5.56,2.57
2021-08-25,5.62,2.62
2021-08-26,5.65,2.62
2021-08-27,5.8,2.71
2021-08-30,5.77,2.71
2021-08-31,5.82,2.67
2021-09-01,5.81,2.64
2021-09-02,5.82,2.69
2021-09-03,5.85,2.69
2021-09-07,5.88,2.7
2021-09-08,5.9,2.68
2021-09-09,5.9,2.71
2021-09-10,5.95,2.74
2021-09-13,5.94,2.74
2021-09-14,5.89,2.68
2021-09-15,5.92,2.71
2021-09-16,5.91,2.74
2021-09-17,5.94,2.71
2021-09-20,5.91,2.66
2021-09-21,5.89,2.64
2021-09-22,5.9,2.64
2021-09-23,5.91,2.65
2021-09-24,5.92,2.64
2021-09-27,5.94,2.68
2021-09-28,5.93,2.69
2021-09-29,5.94,2.71
2021-09-30,5.96,2.71
2021-10-01,5.98,2.7
2021-10-04,6.07,2.74
2021-10-05,6.15,2.82
2021-10-06,6.12,2.78
2021-10-07,6.14,2.81
2021-10-08,6.14,2.84
2021-10-12,6.15,2.88
2021-10-13,6.22,2.88
2021-10-14,6.24,2.93
2021-10-15,6.3,2.94
2021-10-18,6.3,2.9
2021-10-19,6.32,2.9
2021-10-20,6.4,2.94
2021-10-21,6.44,3.05
2021-10-22,6.48,3.07
2021-10-25,6.48,3.16
2021-10-26,6.54,3.16
2021-10-27,6.49,3.16
2021-10-28,6.46,3.07
2021-10-29,6.46,3.09
2021-11-01,6.44,3.08
2021-11-02,6.46,3
2021-11-03,6.45,3
2021-11-04,6.48,3.06
2021-11-05,6.49,3.05
2021-11-08,6.49,3.07
2021-11-09,6.53,3.13
2021-11-10,6.78,3.11
2021-11-12,6.86,3.32
2021-11-15,6.97,3.37
2021-11-16,7.05,3.43
2021-11-17,7.05,3.47
2021-11-18,7.02,3.55
2021-11-19,6.95,3.39
2021-11-22,6.98,3.25
2021-11-23,6.96,3.3
2021-11-24,6.99,3.44
2021-11-26,6.91,3.22
2021-11-29,6.92,3.26
2021-11-30,6.92,3.17
2021-12-01,6.91,3.07
2021-12-02,6.91,3.12
2021-12-03,6.94,3.21
2021-12-06,6.94,3.27
2021-12-07,6.96,3.4
2021-12-08,6.99,3.43
2021-12-09,6.98,3.39
2021-12-10,7.15,3.08
2021-12-13,7.12,3.12
2021-12-14,7.11,2.98
2021-12-15,7.11,2.93
2021-12-16,7.11,3.01
2021-12-17,7.12,3.02
2021-12-20,7.1,2.9
2021-12-21,7.08,2.97
2021-12-22,7.1,3.03
2021-12-23,7.11,3.05
2021-12-27,7.11,3.09
2021-12-28,7.11,3.11
2021-12-29,7.12,3.15
2021-12-30,7.14,3.16
2021-12-31,3.17,2.95
2022-01-03,3.22,3.02
2022-01-04,3.26,2.98
2022-01-05,3.28,2.95
2022-01-06,3.26,2.81
2022-01-07,3.27,2.81
2022-01-10,3.31,2.82
2022-01-11,3.46,2.91
2022-01-12,3.58,2.9
2022-01-13,3.52,2.82
2022-01-14,3.46,2.88
2022-01-18,3.48,2.87
2022-01-19,3.44,2.84
2022-01-20,3.43,2.91
2022-01-21,3.45,2.88
2022-01-24,3.45,2.9
2022-01-25,3.51,2.95
2022-01-26,3.52,2.96
2022-01-27,3.44,2.96
2022-01-28,3.47,3.01
2022-01-31,3.46,2.96
2022-02-01,3.44,2.89
2022-02-02,3.47,2.87
2022-02-03,3.48,2.79
2022-02-04,3.6,2.75
2022-02-07,3.62,2.72
2022-02-08,3.58,2.75
2022-02-09,3.63,2.76
2022-02-10,4.08,2.76
2022-02-11,4.21,2.74
2022-02-14,4.45,2.87
2022-02-15,4.4,2.8
2022-02-16,4.45,2.74
2022-02-17,4.48,2.79
2022-02-18,4.46,2.81
2022-02-22,4.57,2.87
2022-02-23,4.79,3.01
2022-02-24,4.94,3.11
2022-02-25,4.82,3.02
2022-02-28,5,3.06
2022-03-01,5.29,3.16
2022-03-02,5.32,3.24
2022-03-03,5.18,3.13
2022-03-04,5.25,3.17
2022-03-07,5.4,3.23
2022-03-08,5.71,3.31
2022-03-09,5.4,3.28
2022-03-10,5.5,3.45
2022-03-11,5.88,3.66
2022-03-14,5.81,3.68
2022-03-15,5.68,3.69
2022-03-16,5.54,3.5
2022-03-17,5.87,3.67
2022-03-18,5.97,3.75
2022-03-21,6.09,3.8
2022-03-22,6.16,3.76
2022-03-23,6.35,3.79
2022-03-24,6.37,3.78
2022-03-25,6.38,3.85
2022-03-28,6.25,3.85
2022-03-29,6.1,3.62
2022-03-30,6.05,3.6
2022-03-31,5.88,3.51
2022-04-01,5.83,3.47
2022-04-04,5.85,3.46
2022-04-05,5.84,3.37
2022-04-06,5.77,3.34
2022-04-07,5.83,3.32
2022-04-08,5.99,3.41
2022-04-11,6.05,3.41
2022-04-12,6.03,3.4
2022-04-13,6.04,3.34
2022-04-14,6.11,3.49
2022-04-18,6.16,3.53
2022-04-19,6.12,3.65
2022-04-20,6.17,3.69
2022-04-21,6.34,3.86
2022-04-22,6.35,3.87
2022-04-25,6.19,3.76
2022-04-26,6.24,3.68
2022-04-27,6.26,3.72
2022-04-28,6.32,3.82
2022-04-29,6.32,3.84
2022-05-02,6.26,3.6
2022-05-03,6.27,3.59
2022-05-04,6.27,3.56
2022-05-05,6.27,3.48
2022-05-06,6.42,3.55
2022-05-09,6.36,3.34
2022-05-10,6.1,3.22
2022-05-11,6.27,3.3
2022-05-12,6.31,3.12
2022-05-13,6.49,3.3
2022-05-16,6.64,3.31
2022-05-17,6.65,3.4
2022-05-18,6.72,3.34
2022-05-19,6.71,3.26
2022-05-20,6.81,3.23
2022-05-23,6.84,3.24
2022-05-24,6.83,3.15
2022-05-25,6.9,3.18
2022-05-26,6.96,3.23
2022-05-27,7.04,3.27
2022-05-31,7.05,3.28
2022-06-01,7.13,3.31
2022-06-02,7.15,3.33
2022-06-03,7.21,3.42
2022-06-06,7.26,3.35
2022-06-07,7.28,3.4
2022-06-08,7.32,3.47
2022-06-09,7.43,3.54
2022-06-10,7.76,3.61
2022-06-13,7.82,3.54
2022-06-14,7.65,3.23
2022-06-15,7.74,3.14
2022-06-16,7.67,3.02
2022-06-17,7.49,2.96
2022-06-21,7.5,3.01
2022-06-22,7.35,2.9
2022-06-23,7.26,2.9
2022-06-24,7.36,2.95
2022-06-27,7.35,2.89
2022-06-28,7.35,2.75
2022-06-29,7.2,2.65
2022-06-30,7,2.54
2022-07-01,7.13,2.6
2022-07-05,6.91,2.59
2022-07-06,6.73,2.61
2022-07-07,6.74,2.73
2022-07-08,6.8,2.82
2022-07-11,6.67,2.9
2022-07-12,6.51,2.64
2022-07-13,6.55,2.74
2022-07-14,6.54,2.67
2022-07-15,6.76,2.76
2022-07-18,6.92,2.89
2022-07-19,7.05,2.9
2022-07-20,7.06,2.87
2022-07-21,7.09,2.76
2022-07-22,7.06,2.79
2022-07-25,7.12,2.78
2022-07-26,7.14,2.73
2022-07-27,7.29,2.69
2022-07-28,7.28,2.76
2022-07-29,7.34,2.87
2022-08-01,7.3,2.85
2022-08-02,7.3,2.84
2022-08-03,7.29,2.8
2022-08-04,7.18,2.79
2022-08-05,7.07,2.83
2022-08-08,7.08,2.83
2022-08-09,7.14,2.88
2022-08-10,6.93,2.92
2022-08-11,6.98,2.9
2022-08-12,7.06,2.97
2022-08-15,6.99,3
2022-08-16,6.91,3.02
2022-08-17,6.89,3.11
2022-08-18,6.93,3.12
2022-08-19,6.92,3.16
2022-08-22,6.91,3.27
2022-08-23,6.93,3.43
2022-08-24,6.94,3.6
2022-08-25,6.9,3.56
2022-08-26,6.92,3.44
2022-08-29,6.85,3.48
2022-08-30,6.79,3.4
2022-08-31,6.65,3.44
2022-09-01,6.63,3.31
2022-09-02,6.66,3.29
2022-09-06,6.54,3.32
2022-09-07,6.46,3.27
2022-09-08,6.43,3.2
2022-09-09,6.56,3.11
2022-09-12,6.65,3.04
2022-09-13,6.89,3.04
2022-09-14,6.99,3.06
2022-09-15,6.9,3.1
2022-09-16,6.87,2.97
2022-09-19,6.83,2.89
2022-09-20,6.83,2.95
2022-09-21,6.85,2.94
2022-09-22,6.81,2.9
2022-09-23,6.66,2.81
2022-09-26,6.63,2.7
2022-09-27,6.62,2.6
2022-09-28,6.71,2.7
2022-09-29,6.65,2.52
2022-09-30,6.59,2.56
2022-10-03,6.72,2.65
2022-10-04,6.8,2.76
2022-10-05,6.85,2.73
2022-10-06,6.89,2.86
2022-10-07,6.95,2.9
2022-10-11,6.93,2.87
2022-10-12,6.92,2.84
2022-10-13,7.08,2.8
2022-10-14,7.07,2.77
2022-10-17,7.14,2.78
2022-10-18,7.14,2.69
2022-10-19,7.19,2.7
2022-10-20,7.18,2.75
2022-10-21,7.23,2.82
2022-10-24,7.21,2.84
2022-10-25,7.22,2.8
2022-10-26,7.2,2.75
2022-10-27,7.19,2.79
2022-10-28,7.18,2.78
2022-10-31,7.12,2.86
2022-11-01,7.18,2.85
2022-11-02,7.17,2.91
2022-11-03,7.14,2.8
2022-11-04,7.17,2.87
2022-11-07,7.17,2.89
2022-11-08,7.15,2.88
2022-11-09,7.18,2.7
2022-11-10,7.05,2.55
2022-11-14,7.03,2.54
2022-11-15,7.02,2.48
2022-11-16,6.98,2.39
2022-11-17,7.02,2.28
2022-11-18,7,2.14
2022-11-21,6.99,2.25
2022-11-22,7.03,2.29
2022-11-23,7.03,2.3
2022-11-25,7.04,2.26
