Date,Headline_(12m),Core_(12m),MCT,Contribution_GOOD,Common_Good,Sector-specific_Good,Contribution_SERV_EX_HOUSE,Common_SERVE_EX_HOUSE,Sector-specific_SERVE_EX_HOUSE,Contribution_HOUSE,Common_HOUSE,Sector-specific_HOUSE
1960-01-01,1.7,2.07,1.94,0.49,0.01,0.47,-0.15,0,-0.15,-0.31,0,-0.31
1960-02-01,1.71,2.18,2,0.52,0.03,0.47,-0.13,0.02,-0.16,-0.3,0,-0.31
1960-03-01,1.69,2.08,2.04,0.56,0.06,0.47,-0.11,0.04,-0.15,-0.31,0,-0.32
1960-04-01,1.86,2,2.04,0.53,0.05,0.48,-0.08,0.02,-0.12,-0.31,0,-0.32
1960-05-01,1.91,2.04,1.81,0.39,-0.05,0.46,-0.17,-0.04,-0.12,-0.3,0,-0.3
1960-06-01,1.67,1.81,1.72,0.34,-0.09,0.44,-0.21,-0.07,-0.13,-0.31,0,-0.3
1960-07-01,1.63,1.75,1.8,0.42,-0.04,0.46,-0.22,-0.04,-0.18,-0.3,0,-0.3
1960-08-01,1.66,1.73,1.87,0.47,-0.01,0.48,-0.19,-0.01,-0.18,-0.3,0,-0.3
1960-09-01,1.45,1.54,1.82,0.48,-0.01,0.48,-0.25,-0.02,-0.24,-0.3,0,-0.3
1960-10-01,1.33,1.43,1.49,0.33,-0.13,0.47,-0.41,-0.1,-0.3,-0.32,0,-0.3
1960-11-01,1.6,1.51,1.35,0.29,-0.17,0.47,-0.53,-0.13,-0.38,-0.31,-0.01,-0.3
1960-12-01,1.51,1.33,1.27,0.32,-0.14,0.46,-0.62,-0.1,-0.49,-0.32,-0.01,-0.31
1961-01-01,1.58,1.33,0.88,0.18,-0.26,0.45,-0.85,-0.2,-0.62,-0.34,-0.01,-0.31
1961-02-01,1.57,1.24,1.05,0.25,-0.19,0.45,-0.76,-0.15,-0.6,-0.33,-0.01,-0.31
1961-03-01,1.46,1.26,0.95,0.21,-0.23,0.45,-0.82,-0.17,-0.62,-0.34,-0.01,-0.31
1961-04-01,1.02,1.22,1.05,0.23,-0.2,0.45,-0.76,-0.16,-0.58,-0.32,-0.01,-0.3
1961-05-01,0.97,1.19,1.34,0.35,-0.1,0.46,-0.59,-0.08,-0.49,-0.32,0,-0.31
1961-06-01,0.98,1.27,1.37,0.28,-0.16,0.46,-0.48,-0.13,-0.33,-0.33,-0.01,-0.31
1961-07-01,1.02,1.25,1.37,0.26,-0.2,0.46,-0.43,-0.15,-0.26,-0.35,-0.01,-0.33
1961-08-01,0.93,1.21,1.37,0.24,-0.21,0.47,-0.39,-0.16,-0.22,-0.37,-0.01,-0.34
1961-09-01,0.99,1.34,1.39,0.25,-0.22,0.47,-0.37,-0.16,-0.19,-0.38,-0.01,-0.35
1961-10-01,0.86,1.31,1.29,0.22,-0.25,0.48,-0.45,-0.19,-0.24,-0.39,-0.01,-0.36
1961-11-01,0.53,1.06,1.34,0.24,-0.24,0.5,-0.42,-0.18,-0.21,-0.38,-0.01,-0.36
1961-12-01,0.54,1.18,1.44,0.29,-0.22,0.52,-0.37,-0.16,-0.19,-0.37,-0.01,-0.35
1962-01-01,0.71,1.27,1.77,0.45,-0.08,0.54,-0.24,-0.06,-0.17,-0.34,0,-0.33
1962-02-01,0.89,1.34,1.73,0.47,-0.08,0.54,-0.3,-0.06,-0.23,-0.34,0,-0.33
