"","date","Category","Index_NSA","Relative_Importance"
"1",2023-04-01,"All",303.363,108.809477693847
"2",2023-03-01,"All",301.836,108.2617771752
"3",2023-02-01,"All",300.84,107.904534400758
"4",2023-01-01,"All",299.17,107.305543001844
"5",2022-12-01,"All",296.797,106.454401331411
"6",2022-11-01,"All",297.711,106.782232552134
"7",2022-10-01,"All",298.012,106.890194474932
"8",2022-09-01,"All",296.808,106.458346783739
"9",2022-08-01,"All",296.171,106.229869226189
"10",2022-07-01,"All",296.276,106.267530362049
"11",2022-06-01,"All",296.311,106.280084074002
"12",2022-05-01,"All",292.296,104.839993974218
"13",2022-04-01,"All",289.109,103.6968888315
"14",2022-03-01,"All",287.504,103.121211469071
"15",2022-02-01,"All",283.716,101.762541158241
"16",2022-01-01,"All",281.148,100
"17",2021-12-01,"All",278.802,108.494244553924
"18",2021-11-01,"All",277.948,108.161915213212
"19",2021-10-01,"All",276.589,107.633067936834
"20",2021-09-01,"All",274.31,106.746207787558
"21",2021-08-01,"All",273.567,106.457073478251
"22",2021-07-01,"All",273.003,106.237596021387
"23",2021-06-01,"All",271.696,105.728984255216
"24",2021-05-01,"All",269.195,104.755734043133
"25",2021-04-01,"All",267.054,103.922575824792
"26",2021-03-01,"All",264.877,103.075408407076
"27",2021-02-01,"All",263.014,102.350432339458
"28",2021-01-01,"All",261.582,101.793177519905
"29",2020-12-01,"All",260.474,101.362005494719
"30",2020-11-01,"All",260.229,101.266665110089
"31",2020-10-01,"All",260.388,101.328539073992
"32",2020-09-01,"All",260.28,101.286511475869
"33",2020-08-01,"All",259.918,101.145641193272
"34",2020-07-01,"All",259.101,100.827710196362
"35",2020-06-01,"All",257.797,100.320265863473
"36",2020-05-01,"All",256.394,99.7742962323037
"37",2020-04-01,"All",256.389,99.7723505101684
"38",2020-03-01,"All",258.115,100.444013791278
"39",2020-02-01,"All",258.678,100.663102103715
"40",2020-01-01,"All",257.971,100
"41",2019-12-01,"All",256.974,104.238938196687
"42",2019-11-01,"All",257.208,104.333857961091
"43",2019-10-01,"All",257.346,104.389836283688
"44",2019-09-01,"All",256.759,104.15172559264
"45",2019-08-01,"All",256.558,104.070191948857
"46",2019-07-01,"All",256.571,104.075465269102
"47",2019-06-01,"All",256.143,103.901851341046
"48",2019-05-01,"All",256.092,103.881163700086
"49",2019-04-01,"All",255.548,103.660495529847
"50",2019-03-01,"All",254.202,103.114504064513
"51",2019-02-01,"All",252.776,102.536061397673
"52",2019-01-01,"All",251.712,102.104460417647
"53",2018-12-01,"All",251.233,101.910158848631
"54",2018-11-01,"All",252.038,102.236699063783
"55",2018-10-01,"All",252.885,102.580276159725
"56",2018-09-01,"All",252.439,102.39936071133
"57",2018-08-01,"All",252.146,102.280508185816
"58",2018-07-01,"All",252.006,102.223718583181
"59",2018-06-01,"All",251.989,102.216822702861
"60",2018-05-01,"All",251.588,102.054161055313
"61",2018-04-01,"All",250.546,101.631484155701
"62",2018-03-01,"All",249.554,101.22908925703
"63",2018-02-01,"All",248.991,101.000713926433
"64",2018-01-01,"All",247.867,100
"65",2017-12-01,"All",246.524,NA
"66",2023-04-01,"Food",321.566,14.9820446324652
"67",2023-03-01,"Food",320.863,14.9492912400772
"68",2023-02-01,"Food",320.569,14.9355935197898
"69",2023-01-01,"Food",319.136,14.86882878111
"70",2022-12-01,"Food",316.839,14.7618095175038
"71",2022-11-01,"Food",315.857,14.7160572681084
"72",2022-10-01,"Food",315.323,14.6911777353415
"73",2022-09-01,"Food",313.142,14.5895630144338
"74",2022-08-01,"Food",310.875,14.4839414773876
"75",2022-07-01,"Food",308.532,14.3747790330562
"76",2022-06-01,"Food",305.041,14.2121302523644
"77",2022-05-01,"Food",302.038,14.0722178237143
"78",2022-04-01,"Food",298.711,13.9172099482169
"79",2022-03-01,"Food",295.728,13.7782293372734
"80",2022-02-01,"Food",292.794,13.6415316797112
"81",2022-01-01,"Food",289.772,13.37
"82",2021-12-01,"Food",286.966,15.2096188020306
"83",2021-11-01,"Food",285.507,15.132289662578
"84",2021-10-01,"Food",284.205,15.0632817533475
"85",2021-09-01,"Food",281.506,14.9202307955801
"86",2021-08-01,"Food",279.135,14.7945643187863
"87",2021-07-01,"Food",278.127,14.7411388406723
"88",2021-06-01,"Food",276.206,14.6393230237508
"89",2021-05-01,"Food",274.212,14.5336380997833
"90",2021-04-01,"Food",273.09,14.4741704545017
"91",2021-03-01,"Food",271.812,14.4064345804644
"92",2021-02-01,"Food",271.363,14.3826369220585
"93",2021-01-01,"Food",270.938,14.3601112988458
"94",2020-12-01,"Food",270.023,14.3116149571054
"95",2020-11-01,"Food",269.069,14.2610515581761
"96",2020-10-01,"Food",269.828,14.3012796711608
"97",2020-09-01,"Food",269.163,14.2660336960161
"98",2020-08-01,"Food",269.079,14.26158157284
"99",2020-07-01,"Food",268.863,14.2501332561013
"100",2020-06-01,"Food",269.77,14.2982055861105
"101",2020-05-01,"Food",268.439,14.2276606343549
"102",2020-04-01,"Food",266.757,14.1385121678989
"103",2020-03-01,"Food",262.708,13.9239092305146
"104",2020-02-01,"Food",261.876,13.8798120104841
"105",2020-01-01,"Food",261.057,13.771
"106",2019-12-01,"Food",259.823,13.8413418033896
"107",2019-11-01,"Food",259.467,13.8223769015834
"108",2019-10-01,"Food",259.632,13.8311668139374
"109",2019-09-01,"Food",258.943,13.7944622708348
"110",2019-08-01,"Food",258.41,13.7660681903215
"111",2019-07-01,"Food",258.274,13.758823171654
"112",2019-06-01,"Food",258.064,13.7476360104761
"113",2019-05-01,"Food",258.11,13.750086531496
"114",2019-04-01,"Food",257.708,13.7286711086699
"115",2019-03-01,"Food",257.724,13.7295234638072
"116",2019-02-01,"Food",257.222,13.7027808213726
"117",2019-01-01,"Food",256.417,13.6598967035241
"118",2018-12-01,"Food",255.21,13.5955971628496
"119",2018-11-01,"Food",254.379,13.5513279679029
"120",2018-10-01,"Food",254.358,13.5502092517852
"121",2018-09-01,"Food",254.393,13.5520737786481
"122",2018-08-01,"Food",254.077,13.5352397646853
"123",2018-07-01,"Food",253.746,13.5176066677811
"124",2018-06-01,"Food",253.231,13.4901714867974
"125",2018-05-01,"Food",253.098,13.4830862847181
"126",2018-04-01,"Food",253.209,13.4889994984835
"127",2018-03-01,"Food",252.37,13.4443041259682
"128",2018-02-01,"Food",252.266,13.4387638175754
"129",2018-01-01,"Food",252.361,13.384
"130",2017-12-01,"Food",251.238,NA
"131",2023-04-01,"Energy",283.352,8.12651682428661
"132",2023-03-01,"Energy",279.084,8.00411086348148
"133",2023-02-01,"Energy",281.673,8.07836321411983
"134",2023-01-01,"Energy",283.33,8.12588586572576
"135",2022-12-01,"Energy",274.937,7.88517517476103
"136",2022-11-01,"Energy",292.953,8.40187287622899
"137",2022-10-01,"Energy",300.359,8.61427647175916
"138",2022-09-01,"Energy",297.343,8.52777778905338
