date,Category,Index_NSA,Relative_Importance,Index_SA,Monthly_Contribution_NSA,Monthly_Contribution_SA,Yearly_Contribution
1/1/2019,All,251.712,100,252.47,0.190659667,-0.03207273,1.551235138
2/1/2019,All,252.776,100,253.135,0.422705314,0.263397631,1.520135266
3/1/2019,All,254.202,100,254.273,0.564135836,0.449562486,1.862522741
4/1/2019,All,255.548,100,255.163,0.529500161,0.350017501,1.996439776
5/1/2019,All,256.092,100,255.325,0.212875859,0.063488829,1.790228469
6/1/2019,All,256.143,100,255.361,0.019914718,0.014099677,1.648484656
7/1/2019,All,256.571,100,255.9,0.167094162,0.211073735,1.811464806
8/1/2019,All,256.558,100,256.179,-0.005066824,0.109026964,1.749779889
9/1/2019,All,256.759,100,256.596,0.078344858,0.162776808,1.711304513
10/1/2019,All,257.346,100,257.305,0.228619055,0.276309841,1.764042944
11/1/2019,All,257.208,100,257.788,-0.053624303,0.187714969,2.051277982
12/1/2019,All,256.974,100,258.263,-0.090976953,0.184259935,2.28512974
1/1/2020,All,257.971,100,258.682,0.387976994,0.162237719,2.486571955
2/1/2020,All,258.678,100,259.007,0.274061813,0.125636882,2.334873564
3/1/2020,All,258.115,100,258.165,-0.217645103,-0.325087739,1.539326992
4/1/2020,All,256.389,100,256.094,-0.668694187,-0.802200143,0.329096686
5/1/2020,All,256.394,100,255.944,0.001950162,-0.058572243,0.11792637
6/1/2020,All,257.797,100,257.217,0.547204693,0.497374426,0.645733048
7/1/2020,All,259.101,100,258.543,0.50582435,0.515518026,0.986081825
8/1/2020,All,259.918,100,259.58,0.315321052,0.401093822,1.309645382
9/1/2020,All,260.28,100,260.19,0.139274694,0.234994992,1.371324861
10/1/2020,All,260.388,100,260.352,0.041493776,0.062262193,1.182066168
11/1/2020,All,260.229,100,260.721,-0.061062722,0.141731195,1.174535784
12/1/2020,All,260.474,100,261.564,0.094147847,0.323334139,1.362005495
1/1/2021,All,261.582,100,262.2,0.425378349,0.243152727,1.399769742
2/1/2021,All,263.014,100,263.346,0.547438279,0.437070938,1.676215217
3/1/2021,All,264.877,100,265.028,0.708327313,0.638703455,2.619762509
4/1/2021,All,267.054,100,266.727,0.821890915,0.64106434,4.159694839
5/1/2021,All,269.195,100,268.599,0.801710515,0.701841208,4.992706538
6/1/2021,All,271.696,100,270.955,0.92906629,0.877143995,5.391451413
7/1/2021,All,273.003,100,272.184,0.481052353,0.453580853,5.365475239
8/1/2021,All,273.567,100,273.092,0.206591136,0.33359786,5.251271555
9/1/2021,All,274.31,100,274.214,0.271597086,0.410850556,5.390348855
10/1/2021,All,276.589,100,276.59,0.830811855,0.866476548,6.221868903
11/1/2021,All,277.948,100,278.524,0.49134275,0.699229907,6.80900284
12/1/2021,All,278.802,100,280.126,0.307251716,0.57517485,7.036402866
1/1/2022,All,281.148,100,281.933,0.841457378,0.645066863,7.479872468
2/1/2022,All,283.716,100,284.182,0.913397926,0.797707257,7.871063898
3/1/2022,All,287.504,100,287.708,1.335137955,1.240754165,8.542455555
4/1/2022,All,289.109,100,288.663,0.558253103,0.331933766,8.258629341
5/1/2022,All,292.296,100,291.474,1.1023524,0.973799898,8.581511544
6/1/2022,All,296.311,100,295.328,1.373607576,1.322244866,9.059757965
7/1/2022,All,296.276,100,295.271,-0.011811914,-0.019300574,8.524814746
8/1/2022,All,296.171,100,295.62,-0.035439928,0.118196504,8.262692503
1/1/2019,Food,256.417,13.37835453,256.381,0.063094339,0.036942748,0.215110512
2/1/2019,Food,257.222,13.363865,257.233,0.042000239,0.044458669,0.261401126
3/1/2019,Food,257.724,13.31483247,257.752,0.026081207,0.026963282,0.281756301
