date,apartmentlist,annualpct
2017-01-01,1030,
2017-02-01,1031,
2017-03-01,1035,
2017-04-01,1043,
2017-05-01,1057,
2017-06-01,1066,
2017-07-01,1071,
2017-08-01,1068,
2017-09-01,1065,
2017-10-01,1060,
2017-11-01,1055,
2017-12-01,1051,
2018-01-01,1050,0.019417476
2018-02-01,1052,0.020368574
2018-03-01,1059,0.023188406
2018-04-01,1069,0.024928092
2018-05-01,1080,0.021759697
2018-06-01,1090,0.022514071
2018-07-01,1097,0.024276377
2018-08-01,1100,0.029962547
2018-09-01,1098,0.030985915
2018-10-01,1093,0.031132075
2018-11-01,1088,0.031279621
2018-12-01,1085,0.032350143
2019-01-01,1085,0.033333333
2019-02-01,1089,0.035171103
2019-03-01,1095,0.033994334
2019-04-01,1104,0.032740879
2019-05-01,1114,0.031481481
2019-06-01,1123,0.030275229
2019-07-01,1129,0.029170465
2019-08-01,1131,0.028181818
2019-09-01,1126,0.025500911
2019-10-01,1120,0.024702653
2019-11-01,1113,0.022977941
2019-12-01,1111,0.023963134
2020-01-01,1112,0.024884793
2020-02-01,1116,0.024793388
2020-03-01,1121,0.023744292
2020-04-01,1116,0.010869565
2020-05-01,1109,-0.00448833
2020-06-01,1103,-0.017809439
2020-07-01,1107,-0.019486271
2020-08-01,1110,-0.018567639
2020-09-01,1109,-0.015097691
2020-10-01,1104,-0.014285714
2020-11-01,1098,-0.013477089
2020-12-01,1095,-0.01440144
2021-01-01,1099,-0.011690647
2021-02-01,1107,-0.008064516
2021-03-01,1123,0.001784121
2021-04-01,1142,0.023297491
2021-05-01,1168,0.053201082
2021-06-01,1198,0.08612874
2021-07-01,1230,0.111111111
2021-08-01,1262,0.136936937
2021-09-01,1286,0.159603246
2021-10-01,1296,0.173913043
2021-11-01,1296,0.180327869
2021-12-01,1292,0.179908676
2022-01-01,1295,0.178343949
2022-02-01,1303,0.177055104
2022-03-01,1315,0.170970614
2022-04-01,1330,0.164623468
2022-05-01,1348,0.154109589
2022-06-01,1367,0.141068447
2022-07-01,1381,0.122764228
2022-08-01,1388,0.099841521
