date,mannheim
1/1/2008,109.1
2/1/2008,108.1
3/1/2008,107.7
4/1/2008,108.4
5/1/2008,107.5
6/1/2008,107.8
7/1/2008,109.9
8/1/2008,110.7
9/1/2008,110.8
10/1/2008,104.2
11/1/2008,98.3
12/1/2008,98
1/1/2009,101.7
2/1/2009,105.5
3/1/2009,106.1
4/1/2009,106.6
5/1/2009,109.1
6/1/2009,114.1
7/1/2009,115.4
8/1/2009,116.4
9/1/2009,118.5
10/1/2009,117.4
11/1/2009,117.4
12/1/2009,117.5
1/1/2010,117.6
2/1/2010,118.1
3/1/2010,119.9
4/1/2010,120.7
5/1/2010,121
6/1/2010,120.2
7/1/2010,118.9
8/1/2010,118.8
9/1/2010,118.9
10/1/2010,122.9
11/1/2010,124.3
12/1/2010,124.4
1/1/2011,124.9
2/1/2011,123.6
3/1/2011,124.2
4/1/2011,126.6
5/1/2011,127.8
6/1/2011,127.5
7/1/2011,125.9
8/1/2011,123.7
9/1/2011,122.9
10/1/2011,122.8
11/1/2011,123.8
12/1/2011,125.1
1/1/2012,125.7
2/1/2012,125.8
3/1/2012,126.2
4/1/2012,126.1
5/1/2012,125.1
6/1/2012,123.4
7/1/2012,121.2
8/1/2012,120.7
9/1/2012,120.7
10/1/2012,121.9
11/1/2012,122.6
12/1/2012,124.1
1/1/2013,123.4
2/1/2013,122
3/1/2013,120.4
4/1/2013,119.2
5/1/2013,119.1
6/1/2013,119.7
7/1/2013,120.9
8/1/2013,122.3
9/1/2013,122.8
10/1/2013,122.3
11/1/2013,122.4
12/1/2013,121.7
1/1/2014,122.3
2/1/2014,123.3
3/1/2014,124.4
4/1/2014,124.9
5/1/2014,124.7
6/1/2014,124
7/1/2014,122.7
8/1/2014,121.8
9/1/2014,121.4
10/1/2014,121.8
11/1/2014,123.3
12/1/2014,123.9
1/1/2015,125.3
2/1/2015,125.1
3/1/2015,124.6
4/1/2015,124.2
5/1/2015,123.8
6/1/2015,123.9
7/1/2015,124.1
8/1/2015,124.4
9/1/2015,124.8
10/1/2015,125.3
11/1/2015,125.1
12/1/2015,125.7
1/1/2016,125.2
2/1/2016,123.2
3/1/2016,122.4
4/1/2016,122.7
5/1/2016,124.4
6/1/2016,126.2
7/1/2016,127
8/1/2016,126.9
9/1/2016,127
10/1/2016,126.1
11/1/2016,124.8
12/1/2016,125
1/1/2017,124.9
2/1/2017,124.7
3/1/2017,124.1
4/1/2017,124.7
5/1/2017,127.9
6/1/2017,129.3
7/1/2017,130.3
8/1/2017,131.3
9/1/2017,134.9
10/1/2017,136.3
11/1/2017,134.5
12/1/2017,132
1/1/2018,131
2/1/2018,131
3/1/2018,130.8
4/1/2018,132.5
5/1/2018,134.2
6/1/2018,134.9
7/1/2018,136.9
8/1/2018,139.7
9/1/2018,139.9
10/1/2018,140.9
11/1/2018,139
12/1/2018,137.6
1/1/2019,135.4
2/1/2019,135.2
3/1/2019,136
4/1/2019,138.4
5/1/2019,139.6
6/1/2019,140.5
7/1/2019,140.5
8/1/2019,141.3
9/1/2019,139.9
10/1/2019,140.3
11/1/2019,138.9
12/1/2019,141.1
1/1/2020,141.6
2/1/2020,143.5
3/1/2020,141.9
4/1/2020,125.8
5/1/2020,137
6/1/2020,149.3
7/1/2020,158
8/1/2020,163.7
9/1/2020,161.2
10/1/2020,161.9
11/1/2020,162
12/1/2020,161.1
1/1/2021,163
2/1/2021,169.2
3/1/2021,179.2
4/1/2021,194
5/1/2021,203
6/1/2021,200.4
7/1/2021,195.2
8/1/2021,194.5
9/1/2021,204.8
10/1/2021,223.7
11/1/2021,232.5
12/1/2021,236.2
1/1/2022,236.3
2/1/2022,231.3
3/1/2022,223.5
4/1/2022,221.2
5/1/2022,222.7
6/1/2022,219.9
7/1/2022,219.6
8/1/2022,210.8
9/1/2022,204.5
10/1/2022,200
11/1/2022,199.4
12/1/2022,200.957
1/1/2023,205.996
2/1/2023,214.884
3/1/2023,218.183
4/1/2023,211.530
