DATE,CSI1_12M
1990-01-01,3.70
1990-02-01,3.69
1990-03-01,3.91
1990-04-01,3.76
1990-05-01,3.70
1990-06-01,3.99
1990-07-01,3.97
1990-08-01,4.21
1990-09-01,4.24
1990-10-01,4.08
1990-11-01,3.86
1990-12-01,3.55
1991-01-01,3.57
1991-02-01,3.79
1991-03-01,3.47
1991-04-01,3.52
1991-05-01,3.52
1991-06-01,3.05
1991-07-01,2.71
1991-08-01,2.35
1991-09-01,2.36
1991-10-01,2.34
1991-11-01,2.49
1991-12-01,2.58
1992-01-01,2.14
1992-02-01,1.98
1992-03-01,2.02
1992-04-01,1.97
1992-05-01,1.83
1992-06-01,1.74
1992-07-01,1.91
1992-08-01,2.10
1992-09-01,1.82
1992-10-01,1.84
1992-11-01,1.70
1992-12-01,1.62
1993-01-01,1.78
1993-02-01,1.74
1993-03-01,1.71
1993-04-01,1.81
1993-05-01,1.96
1993-06-01,1.99
1993-07-01,1.96
1993-08-01,1.85
1993-09-01,2.01
1993-10-01,2.05
1993-11-01,2.14
1993-12-01,2.27
1994-01-01,2.23
1994-02-01,2.22
1994-03-01,2.25
1994-04-01,2.08
1994-05-01,2.02
1994-06-01,2.10
1994-07-01,2.21
1994-08-01,2.24
1994-09-01,2.22
1994-10-01,2.07
1994-11-01,2.10
1994-12-01,2.12
1995-01-01,2.12
1995-02-01,2.11
1995-03-01,2.02
1995-04-01,2.27
1995-05-01,2.29
1995-06-01,2.09
1995-07-01,2.05
1995-08-01,2.03
1995-09-01,2.05
1995-10-01,2.12
1995-11-01,2.05
1995-12-01,2.04
1996-01-01,2.05
1996-02-01,1.99
1996-03-01,2.18
1996-04-01,1.97
1996-05-01,1.93
1996-06-01,2.11
1996-07-01,2.15
1996-08-01,2.20
1996-09-01,2.20
1996-10-01,2.25
1996-11-01,2.28
1996-12-01,2.17
1997-01-01,2.10
1997-02-01,2.14
1997-03-01,1.88
1997-04-01,1.83
1997-05-01,1.75
1997-06-01,1.79
1997-07-01,1.78
1997-08-01,1.68
1997-09-01,1.68
1997-10-01,1.59
1997-11-01,1.58
1997-12-01,1.55
1998-01-01,1.64
1998-02-01,1.48
1998-03-01,1.69
1998-04-01,1.79
1998-05-01,1.83
1998-06-01,1.75
1998-07-01,1.65
1998-08-01,1.70
1998-09-01,1.69
1998-10-01,1.73
1998-11-01,1.72
1998-12-01,1.73
1999-01-01,1.71
1999-02-01,1.74
