LEI_date,LEI,CEI_date,CEI
2011-09-10,87.61022836,2011-02-17,90.33904677
2011-12-07,88.20796179,2011-05-30,90.63931014
2012-03-03,89.36258972,2011-09-16,91.08310025
2012-06-13,89.36683273,2011-11-30,91.9993147
2012-09-22,89.43896382,2012-02-20,93.00733163
2013-01-02,90.13057375,2012-06-01,93.37223012
2013-04-13,90.87309975,2012-09-06,93.60686833
2013-07-05,91.53258407,2012-11-13,95.03289541
2013-09-07,92.58606177,2012-12-18,94.13544077
2013-11-23,93.59753372,2013-03-25,94.35869359
2014-01-31,94.56366612,2013-07-02,94.83606709
2014-04-05,95.56869274,2013-10-12,95.39784104
2014-06-27,96.83923723,2014-01-16,95.84196251
2014-09-26,97.83587212,2014-04-14,96.93211191
2015-01-03,98.76424177,2014-07-24,97.69585294
2015-04-16,99.70279464,2014-11-02,98.5614261
2015-07-27,99.88948689,2015-01-28,99.19795553
2015-11-06,100.0761791,2015-04-27,99.14229358
2016-02-25,99.68370111,2015-08-15,99.50422197
2016-05-27,100.038935,2015-11-24,99.59629519
2016-10-18,100.2573908,2016-03-05,99.70491614
2017-01-12,101.5584025,2016-06-15,99.93361415
2017-04-05,102.5489086,2016-09-24,100.2859251
2017-07-01,103.6182403,2017-01-10,100.5853951
2017-09-08,104.6263785,2017-04-15,101.5272871
2017-10-28,105.6967474,2017-07-25,102.0831208
2017-12-21,106.8635739,2017-11-03,102.978395
2018-02-23,107.979838,2018-02-13,103.5048766
2018-05-03,108.9749744,2018-05-25,104.092184
2018-07-24,110.1108876,2018-09-03,104.5228491
2018-11-03,110.5606463,2018-12-14,104.8410746
2019-02-13,110.6709644,2019-03-26,104.7663977
2019-05-25,110.9382738,2019-07-05,104.9212674
2019-09-04,110.4757861,2019-10-21,104.9364626
2019-12-15,110.3187949,2020-01-14,105.3186956
2020-01-31,108.9389695,2020-01-18,104.2276572
2020-02-08,107.6881314,2020-03-12,99.88372852
2020-02-20,106.2257087,2020-03-24,95.54146679
2020-03-29,101.3755996,2020-02-27,102.7221175
2020-06-16,105.6625205,2020-03-04,101.3561525
2020-07-31,107.0035931,2020-04-06,93.89040719
2020-09-23,108.0304005,2020-06-24,100.1065591
2020-11-17,109.1194386,2020-07-07,101.433941
2021-01-16,109.9284384,2020-08-17,102.4607483
2021-03-07,111.1536063,2020-10-24,103.5115405
2021-04-17,112.2340877,2021-01-30,104.0088716
2021-06-01,113.2795643,2021-05-19,104.8809022
2021-08-04,114.4557255,2021-08-19,105.7702928
2021-11-04,115.4358598,2021-11-29,106.5000898
2022-02-13,115.6140661,2022-03-10,106.9286334
2022-05-04,114.5335139,2022-06-19,107.2468588
2022-07-17,113.5596027,2022-08-14,107.5014391
2020-03-03,104.137931,2020-05-28,97.93103448
2020-05-10,103.5862069,,
