"","date","Category","Index_NSA","Relative_Importance","Index_SA","Monthly_Contribution_NSA","Monthly_Contribution_SA","Yearly_Contribution"
"1",2019-01-01,"All",251.712,100,252.47,0.190659666524695,-0.032072729864467,1.55123513819913
"2",2019-02-01,"All",252.776,100,253.135,0.422705314009676,0.263397631401745,1.52013526593331
"3",2019-03-01,"All",254.202,100,254.273,0.564135835680602,0.449562486420291,1.86252274056918
"4",2019-04-01,"All",255.548,100,255.163,0.52950016128905,0.35001750087504,1.99643977553026
"5",2019-05-01,"All",256.092,100,255.325,0.212875858938432,0.063488828709481,1.7902284687664
"6",2019-06-01,"All",256.143,100,255.361,0.0199147181481578,0.0140996768823953,1.64848465607625
"7",2019-07-01,"All",256.571,100,255.9,0.167094162245334,0.211073734830308,1.81146480639352
"8",2019-08-01,"All",256.558,100,256.179,-0.00506682360828847,0.109026963657669,1.74977988942915
"9",2019-09-01,"All",256.759,100,256.596,0.078344857692997,0.162776808403507,1.71130451316952
"10",2019-10-01,"All",257.346,100,257.305,0.228619055222978,0.276309841151075,1.76404294442139
"11",2019-11-01,"All",257.208,100,257.788,-0.0536243034669184,0.187714968617001,2.05127798189162
"12",2019-12-01,"All",256.974,100,258.263,-0.0909769525053861,0.184259934519829,2.28512974012172
"13",2020-01-01,"All",257.971,100,258.682,0.387976993781479,0.162237718914454,2.48657195525045
"14",2020-02-01,"All",258.678,100,259.007,0.27406181314953,0.125636882349738,2.33487356394595
"15",2020-03-01,"All",258.115,100,258.165,-0.217645103178469,-0.325087738941406,1.53932699191981
"16",2020-04-01,"All",256.389,100,256.094,-0.668694186699724,-0.802200143319212,0.329096686336825
"17",2020-05-01,"All",256.394,100,255.944,0.00195016166838968,-0.0585722430045337,0.117926370210711
"18",2020-06-01,"All",257.797,100,257.217,0.547204692777541,0.497374425655607,0.645733047555481
"19",2020-07-01,"All",259.101,100,258.543,0.505824350166975,0.515518025635942,0.986081825303714
"20",2020-08-01,"All",259.918,100,259.58,0.315321052408152,0.401093821917414,1.30964538233071
"21",2020-09-01,"All",260.28,100,260.19,0.139274694326659,0.234994991910014,1.37132486105646
"22",2020-10-01,"All",260.388,100,260.352,0.0414937759336169,0.0622621930127991,1.1820661677275
"23",2020-11-01,"All",260.229,100,260.721,-0.0610627217844097,0.14173119469028,1.17453578426796
"24",2020-12-01,"All",260.474,100,261.564,0.0941478467042458,0.323334138792035,1.36200549471933
"25",2021-01-01,"All",261.582,100,262.2,0.42537834870275,0.243152727439536,1.39976974156009
"26",2021-02-01,"All",263.014,100,263.346,0.547438279392324,0.437070938215101,1.67621521737451
"27",2021-03-01,"All",264.877,100,265.028,0.708327313374951,0.638703454770535,2.61976250895918
"28",2021-04-01,"All",267.054,100,266.727,0.821890915406016,0.641064340371571,4.15969483870211
"29",2021-05-01,"All",269.195,100,268.599,0.801710515476287,0.7018412084266,4.99270653759447
"30",2021-06-01,"All",271.696,100,270.955,0.929066290235724,0.877143995323877,5.39145141332133
"31",2021-07-01,"All",273.003,100,272.184,0.481052352629391,0.45358085290917,5.3654752393854
"32",2021-08-01,"All",273.567,100,273.092,0.206591136361141,0.333597860270984,5.25127155487499
"33",2021-09-01,"All",274.31,100,274.214,0.271597085905825,0.410850555856641,5.39034885507917
"34",2021-10-01,"All",276.589,100,276.59,0.830811855200309,0.866476547513969,6.2218689033289
"35",2021-11-01,"All",277.948,100,278.524,0.491342750434768,0.699229907082682,6.80900283980648
