"","year","period","periodName","latest","value","footnotes","seriesID","date"
"1",2024,"M12","December","true",155232,"","LNS16000000",2024-12-01
"2",2024,"M11","November",NA,155130,"","LNS16000000",2024-11-01
"3",2024,"M10","October",NA,155003,"","LNS16000000",2024-10-01
"4",2024,"M09","September",NA,155488,"","LNS16000000",2024-09-01
"5",2024,"M08","August",NA,154928,"","LNS16000000",2024-08-01
"6",2024,"M07","July",NA,154765,"","LNS16000000",2024-07-01
"7",2024,"M06","June",NA,154778,"","LNS16000000",2024-06-01
"8",2024,"M05","May",NA,154489,"","LNS16000000",2024-05-01
"9",2024,"M04","April",NA,154860,"","LNS16000000",2024-04-01
"10",2024,"M03","March",NA,154401,"","LNS16000000",2024-03-01
"11",2024,"M02","February",NA,154099,"","LNS16000000",2024-02-01
"12",2024,"M01","January",NA,154312,"","LNS16000000",2024-01-01
"13",2023,"M12","December",NA,154643,"","LNS16000000",2023-12-01
"14",2023,"M11","November",NA,155414,"","LNS16000000",2023-11-01
"15",2023,"M10","October",NA,155001,"","LNS16000000",2023-10-01
"16",2023,"M09","September",NA,154792,"","LNS16000000",2023-09-01
"17",2023,"M08","August",NA,154975,"","LNS16000000",2023-08-01
"18",2023,"M07","July",NA,154892,"","LNS16000000",2023-07-01
"19",2023,"M06","June",NA,154393,"","LNS16000000",2023-06-01
"20",2023,"M05","May",NA,154274,"","LNS16000000",2023-05-01
"21",2023,"M04","April",NA,153812,"","LNS16000000",2023-04-01
"22",2023,"M03","March",NA,153796,"","LNS16000000",2023-03-01
"23",2023,"M02","February",NA,153259,"","LNS16000000",2023-02-01
"24",2023,"M01","January",NA,153236,"","LNS16000000",2023-01-01
"25",2022,"M12","December",NA,152368,"","LNS16000000",2022-12-01
"26",2022,"M11","November",NA,151299,"","LNS16000000",2022-11-01
"27",2022,"M10","October",NA,151254,"","LNS16000000",2022-10-01
"28",2022,"M09","September",NA,151791,"","LNS16000000",2022-09-01
"29",2022,"M08","August",NA,151857,"","LNS16000000",2022-08-01
"30",2022,"M07","July",NA,151322,"","LNS16000000",2022-07-01
"31",2022,"M06","June",NA,150884,"","LNS16000000",2022-06-01
"32",2022,"M05","May",NA,150688,"","LNS16000000",2022-05-01
"33",2022,"M04","April",NA,150542,"","LNS16000000",2022-04-01
"34",2022,"M03","March",NA,150622,"","LNS16000000",2022-03-01
"35",2022,"M02","February",NA,150035,"","LNS16000000",2022-02-01
"36",2022,"M01","January",NA,148516,"","LNS16000000",2022-01-01
"37",2021,"M12","December",NA,148100,"","LNS16000000",2021-12-01
"38",2021,"M11","November",NA,147605,"","LNS16000000",2021-11-01
"39",2021,"M10","October",NA,146219,"","LNS16000000",2021-10-01
"40",2021,"M09","September",NA,145556,"","LNS16000000",2021-09-01
"41",2021,"M08","August",NA,145032,"","LNS16000000",2021-08-01
"42",2021,"M07","July",NA,144915,"","LNS16000000",2021-07-01
"43",2021,"M06","June",NA,144580,"","LNS16000000",2021-06-01
"44",2021,"M05","May",NA,143832,"","LNS16000000",2021-05-01
"45",2021,"M04","April",NA,143164,"","LNS16000000",2021-04-01
"46",2021,"M03","March",NA,142870,"","LNS16000000",2021-03-01
"47",2021,"M02","February",NA,141931,"","LNS16000000",2021-02-01
"48",2021,"M01","January",NA,141763,"","LNS16000000",2021-01-01
"49",2020,"M12","December",NA,141304,"","LNS16000000",2020-12-01
"50",2020,"M11","November",NA,141703,"","LNS16000000",2020-11-01
"51",2020,"M10","October",NA,142100,"","LNS16000000",2020-10-01
"52",2020,"M09","September",NA,139606,"","LNS16000000",2020-09-01
"53",2020,"M08","August",NA,139840,"","LNS16000000",2020-08-01
"54",2020,"M07","July",NA,136657,"","LNS16000000",2020-07-01
"55",2020,"M06","June",NA,134544,"","LNS16000000",2020-06-01
"56",2020,"M05","May",NA,126872,"","LNS16000000",2020-05-01
"57",2020,"M04","April",NA,121337,"","LNS16000000",2020-04-01
"58",2020,"M03","March",NA,147225,"","LNS16000000",2020-03-01
"59",2020,"M02","February",NA,152110,"","LNS16000000",2020-02-01
"60",2020,"M01","January",NA,152160,"","LNS16000000",2020-01-01
"61",2019,"M12","December",NA,151909,"","LNS16000000",2019-12-01
"62",2019,"M11","November",NA,151979,"","LNS16000000",2019-11-01
"63",2019,"M10","October",NA,152169,"","LNS16000000",2019-10-01
"64",2019,"M09","September",NA,152153,"","LNS16000000",2019-09-01
"65",2019,"M08","August",NA,151880,"","LNS16000000",2019-08-01
"66",2019,"M07","July",NA,150992,"","LNS16000000",2019-07-01
"67",2019,"M06","June",NA,151024,"","LNS16000000",2019-06-01
"68",2019,"M05","May",NA,150368,"","LNS16000000",2019-05-01
"69",2019,"M04","April",NA,150346,"","LNS16000000",2019-04-01
"70",2019,"M03","March",NA,150070,"","LNS16000000",2019-03-01
"71",2019,"M02","February",NA,149828,"","LNS16000000",2019-02-01
"72",2019,"M01","January",NA,149295,"","LNS16000000",2019-01-01
