"","date","Mining, Logging, Oil, & Gas","Construction","Manufacturing","Transportation & Warehousing","Utilities"
"1",1991-01-01,-3,-444,-465,37.1999999999998,1.79999999999995
"2",1991-02-01,-2,-482,-673,9.20000000000027,0.100000000000023
"3",1991-03-01,-5,-504,-722,-6.39999999999964,-2.5
"4",1991-04-01,-13,-508,-747,-9.30000000000018,-4.29999999999995
"5",1991-05-01,-23,-517,-711,-21,-4.20000000000005
"6",1991-06-01,-27,-533,-736,-33.3000000000002,-4.89999999999998
"7",1991-07-01,-29,-527,-690,-10.8999999999996,-5.60000000000002
"8",1991-08-01,-30,-508,-628,-3.80000000000018,-5
"9",1991-09-01,-38,-476,-608,-20.6999999999998,-5.39999999999998
"10",1991-10-01,-41,-440,-584,-28.7000000000003,-5.30000000000007
"11",1991-11-01,-46,-457,-475,-25.6999999999998,-4.39999999999998
"12",1991-12-01,-50,-401,-481,-55.0999999999999,-6.30000000000007
"13",1992-01-01,-52,-295,-481,-43.8999999999996,-5.19999999999993
"14",1992-02-01,-57,-305,-374,-26.1000000000004,-5.60000000000002
"15",1992-03-01,-55,-254,-324,-16.1000000000004,-6.60000000000002
"16",1992-04-01,-54,-216,-254,-6,-7.10000000000002
"17",1992-05-01,-52,-190,-242,-8.29999999999973,-8.5
"18",1992-06-01,-58,-199,-217,9.09999999999991,-10.8
"19",1992-07-01,-55,-184,-188,-4.70000000000027,-10.3
"20",1992-08-01,-56,-155,-270,-9.69999999999982,-12.7
"21",1992-09-01,-53,-150,-264,11.5999999999999,-12
"22",1992-10-01,-43,-86,-265,16.9000000000001,-12.6999999999999
"23",1992-11-01,-37,-21,-204,16.5999999999999,-14.8000000000001
"24",1992-12-01,-34,-18,-151,33.6999999999998,-15.1999999999999
"25",1993-01-01,-29,-2,-42,69.3999999999996,-16.1
"26",1993-02-01,-32,101,-9,73.1000000000004,-14.8
"27",1993-03-01,-29,56,4,70.8000000000002,-15.8
"28",1993-04-01,-29,92,-49,70.2000000000003,-15.1
"29",1993-05-01,-25,153,-62,86.6999999999998,-14.3
"30",1993-06-01,-25,177,-84,94.8000000000002,-13.2
"31",1993-07-01,-24,216,-87,108.1,-14.3
"32",1993-08-01,-25,220,-52,95.6999999999998,-14.5
"33",1993-09-01,-14,233,-23,94.7999999999997,-15.9
"34",1993-10-01,-18,252,23,102.5,-16.1
"35",1993-11-01,-18,282,34,118.1,-16.8
"36",1993-12-01,-5,282,43,104.8,-16.9000000000001
"37",1994-01-01,-7,267,61,97.5,-16.8
"38",1994-02-01,-4,207,73,118.8,-18.1
"39",1994-03-01,-8,315,118,139.9,-18.8000000000001
"40",1994-04-01,-9,363,171,97.7999999999997,-19.6
"41",1994-05-01,-13,333,199,148,-21.2
"42",1994-06-01,-4,348,270,148.2,-24.1
"43",1994-07-01,-7,345,265,145.5,-24.8000000000001
"44",1994-08-01,0,331,330,161.5,-25
"45",1994-09-01,-3,350,331,163.1,-23.3000000000001
"46",1994-10-01,-7,307,358,163.1,-23.4
"47",1994-11-01,-6,324,382,166,-21.4
"48",1994-12-01,-21,298,405,203.6,-20.5
"49",1995-01-01,-19,288,411,181.4,-24.4000000000001
"50",1995-02-01,-19,262,414,165.6,-24.7
"51",1995-03-01,-16,255,378,156.4,-24.5999999999999
"52",1995-04-01,-17,192,351,198.6,-23.6
"53",1995-05-01,-17,134,302,131.5,-23.3
"54",1995-06-01,-18,156,239,122.5,-22.8
"55",1995-07-01,-18,141,186,100.7,-23.9
"56",1995-08-01,-18,146,152,119.4,-23
"57",1995-09-01,-21,145,119,103.2,-22.0999999999999
"58",1995-10-01,-16,172,64,133.1,-20.7
"59",1995-11-01,-20,132,10,132,-21.6
"60",1995-12-01,-16,125,22,81.5999999999999,-22.1999999999999
"61",1996-01-01,-18,119,-50,89.7000000000003,-22.5999999999999
"62",1996-02-01,-10,227,-28,92.6000000000004,-24
"63",1996-03-01,-9,209,-63,94.0999999999999,-23.9000000000001
"64",1996-04-01,-6,225,-69,98.7000000000003,-25
"65",1996-05-01,-3,278,-24,114.2,-25.5
"66",1996-06-01,-2,281,-19,123.1,-27.5
"67",1996-07-01,-1,301,3,145.3,-28.5
"68",1996-08-01,1,298,27,120.6,-29.0999999999999
"69",1996-09-01,-2,283,7,107,-28.4000000000001
"70",1996-10-01,-2,283,43,68.2999999999997,-29.3
"71",1996-11-01,5,307,64,54.4000000000001,-28
"72",1996-12-01,5,327,57,49.7000000000003,-27.9
"73",1997-01-01,12,325,100,92.5,-25.3000000000001
"74",1997-02-01,12,317,93,93.2999999999997,-23.0999999999999
"75",1997-03-01,11,310,154,92.6999999999998,-21.6999999999999
"76",1997-04-01,14,292,151,94.5,-21.1999999999999
"77",1997-05-01,16,294,146,92.3999999999996,-20.4
"78",1997-06-01,16,264,162,87.5999999999999,-18.9
"79",1997-07-01,18,265,172,74.2000000000003,-16.3
"80",1997-08-01,16,259,191,-64.5999999999999,-17
"81",1997-09-01,23,255,202,119.6,-15.5
