"","date","NGDP","Interest_AGG","Interest_Receipts","Social_Insurance_Interest_Received_INTERP","Fed_Profits"
"1",1947-01-01,243164,5352,NA,NA,NA
"2",1947-04-01,245968,5360,NA,NA,NA
"3",1947-07-01,249585,5356,NA,522,NA
"4",1947-10-01,259745,5440,NA,541.5,NA
"5",1948-01-01,265742,5476,NA,561,180
"6",1948-04-01,272567,5512,NA,580.5,204
"7",1948-07-01,279196,5552,NA,600,236
"8",1948-10-01,280366,5676,NA,621.75,292
"9",1949-01-01,275034,5784,NA,643.5,272
"10",1949-04-01,271351,5848,NA,665.25,248
"11",1949-07-01,272889,5900,NA,687,220
"12",1949-10-01,270627,5980,NA,692.25,200
"13",1950-01-01,280828,6052,NA,697.5,192
"14",1950-04-01,290383,6132,NA,702.75,192
"15",1950-07-01,308153,6236,NA,708,184
"16",1950-10-01,319945,6328,NA,706.25,192
"17",1951-01-01,336000,6432,NA,704.5,240
"18",1951-04-01,344090,6468,NA,702.75,292
"19",1951-07-01,351385,6552,NA,701,308
"20",1951-10-01,356178,6684,NA,728.75,336
"21",1952-01-01,359820,6728,NA,756.5,336
"22",1952-04-01,361030,6756,NA,784.25,336
"23",1952-07-01,367701,6852,NA,812,348
"24",1952-10-01,380812,6972,NA,836.25,364
"25",1953-01-01,387980,7092,NA,860.5,384
"26",1953-04-01,391749,7160,NA,884.75,400
"27",1953-07-01,391171,7280,NA,909,408
"28",1953-10-01,385970,7384,NA,922.75,384
"29",1954-01-01,385345,7512,NA,936.5,356
"30",1954-04-01,386121,7612,NA,950.25,340
"31",1954-07-01,390996,7704,NA,964,308
"32",1954-10-01,399734,7756,NA,966.5,284
"33",1955-01-01,413073,7752,NA,969,252
"34",1955-04-01,421532,7732,NA,971.5,268
"35",1955-07-01,430221,7968,NA,974,312
"36",1955-10-01,437092,8232,NA,994,352
"37",1956-01-01,439746,8304,NA,1014,416
"38",1956-04-01,446010,8648,NA,1034,456
"39",1956-07-01,451191,8916,NA,1054,488
"40",1956-10-01,460463,9512,NA,1076,512
"41",1957-01-01,469779,9460,NA,1098,556
"42",1957-04-01,472025,9780,NA,1120,592
"43",1957-07-01,479490,9980,NA,1142,652
"44",1957-10-01,474864,10372,NA,1137.75,700
"45",1958-01-01,467540,9900,NA,1133.5,672
"46",1958-04-01,471978,9836,NA,1129.25,648
"47",1958-07-01,485841,10040,NA,1125,548
"48",1958-10-01,499555,10404,NA,1115,512
"49",1959-01-01,510330,11328,NA,1105,564
"50",1959-04-01,522653,10964,NA,1095,620
"51",1959-07-01,525034,11504,NA,1085,816
"52",1959-10-01,528600,11968,NA,1090,936
"53",1960-01-01,542648,13968,1268,1095,988
"54",1960-04-01,541080,13968,1232,1100,996
"55",1960-07-01,545604,13828,1440,1105,936
"56",1960-10-01,540197,13748,1372,1112,848
"57",1961-01-01,545018,13692,1392,1119,788
"58",1961-04-01,555545,13748,1408,1126,752
"59",1961-07-01,567664,13976,1356,1133,760
"60",1961-10-01,580612,14188,1496,1126.75,792
"61",1962-01-01,594013,14520,1500,1120.5,820
"62",1962-04-01,600366,14972,1680,1114.25,864
"63",1962-07-01,609027,15320,1592,1108,876
"64",1962-10-01,612280,15616,1620,1111.75,892
"65",1963-01-01,621672,15800,1660,1115.5,908
"66",1963-04-01,629752,16060,1656,1119.25,924
"67",1963-07-01,644444,16404,1712,1123,964
"68",1963-10-01,653938,16752,1712,1142.75,1020
"69",1964-01-01,669822,17092,1760,1162.5,1080
"70",1964-04-01,678674,17332,1748,1182.25,1120
"71",1964-07-01,692031,17672,1856,1202,1156
"72",1964-10-01,697319,17868,1528,1227.5,1184
"73",1965-01-01,717790,18156,1876,1253,1256
"74",1965-04-01,730191,18480,1872,1278.5,1316
"75",1965-07-01,749323,18672,1856,1304,1368
"76",1965-10-01,771857,19060,1596,1348.5,1428
"77",1966-01-01,795734,19440,1924,1393,1492
"78",1966-04-01,804981,20008,1932,1437.5,1612
"79",1966-07-01,819638,20488,1980,1482,1756
"80",1966-10-01,833302,21120,2128,1570,1880
"81",1967-01-01,844170,21548,2176,1658,1912
"82",1967-04-01,848983,21624,2364,1746,1904
"83",1967-07-01,865233,21908,2360,1834,1920
"84",1967-10-01,881439,22644,2436,1894.25,2076
"85",1968-01-01,909387,23504,2700,1954.5,2304
"86",1968-04-01,934344,24372,2728,2014.75,2468
"87",1968-07-01,950825,24968,2876,2075,2592
"88",1968-10-01,968030,25364,2636,2172.25,2644
"89",1969-01-01,993337,25660,2384,2269.5,2812
"90",1969-04-01,1009020,26664,2456,2366.75,3016
"91",1969-07-01,1029956,27824,2548,2464,3132
"92",1969-10-01,1038147,29708,2572,2761,3340
"93",1970-01-01,1051200,31524,2720,3058,3424
"94",1970-04-01,1067375,32880,2840,3355,3532
"95",1970-07-01,1086059,34272,2812,3652,3608
"96",1970-10-01,1088608,34644,2864,3597.5,3540
"97",1971-01-01,1135156,34744,2888,3543,3396
"98",1971-04-01,1156271,34756,3144,3488.5,3208
"99",1971-07-01,1177675,35408,3100,3434,3320
"100",1971-10-01,1190297,36032,3300,3463.75,3324
"101",1972-01-01,1230609,36528,3160,3493.5,3340
"102",1972-04-01,1266369,37184,3184,3523.25,3308
"103",1972-07-01,1290566,37892,3308,3553,3296
"104",1972-10-01,1328904,38916,3348,3673.75,3432
"105",1973-01-01,1377490,40944,3416,3794.5,3840
"106",1973-04-01,1413887,42644,3416,3915.25,4308
"107",1973-07-01,1433838,44196,3288,4036,4748
"108",1973-10-01,1476289,45380,3340,4184.25,5008
"109",1974-01-01,1491209,46184,3480,4332.5,5268
"110",1974-04-01,1530056,47376,3632,4480.75,5608
"111",1974-07-01,1560026,48860,3672,4629,5940
"112",1974-10-01,1599679,49516,3756,4658.75,5908
"113",1975-01-01,1616116,50292,3904,4688.5,5692
"114",1975-04-01,1651853,51468,4200,4718.25,5620
"115",1975-07-01,1709820,53036,4484,4748,5428
"116",1975-10-01,1761831,55072,4536,4696.5,5700
"117",1976-01-01,1820487,56872,4980,4645,5868
"118",1976-04-01,1852332,58092,5164,4593.5,5792
"119",1976-07-01,1886558,59440,5396,4542,5864
"120",1976-10-01,1934273,61180,5080,4528,5964
"121",1977-01-01,1988648,62044,5636,4514,5912
"122",1977-04-01,2055909,63776,5788,4500,6068
"123",1977-07-01,2118473,65780,5924,4486,6128
"124",1977-10-01,2164270,69444,5768,4578.5,6328
"125",1978-01-01,2202760,73960,6612,4671,6812
"126",1978-04-01,2331633,77340,7328,4763.5,7272
"127",1978-07-01,2395053,80944,7596,4856,7920
"128",1978-10-01,2476949,84204,8164,4938.75,8576
"129",1979-01-01,2526610,87564,8632,5021.5,8620
"130",1979-04-01,2591247,89912,8740,5104.25,9028
"131",1979-07-01,2667565,92276,9372,5187,9576
"132",1979-10-01,2723883,96072,9860,5369,10508
"133",1980-01-01,2789842,102252,10172,5551,11616
"134",1980-04-01,2797352,107264,10820,5733,12344
"135",1980-07-01,2856483,108068,11776,5915,11140
"136",1980-10-01,2985557,112532,12488,6144.5,12092
"137",1981-01-01,3124206,126032,13472,6374,13276
"138",1981-04-01,3162532,129536,14172,6603.5,13964
"139",1981-07-01,3260609,135744,15200,6833,14932
"140",1981-10-01,3280818,142404,16432,6804.5,15400
"141",1982-01-01,3274302,146800,17704,6776,15284
