FIPS,state_abbv,county_name,CBSA_TITLE,2013_code,
1001,AL,Autauga County,"Montgomery, AL",3,
1003,AL,Baldwin County,"Daphne-Fairhope-Foley, AL",4,
1005,AL,Barbour County,,6,
1007,AL,Bibb County,"Birmingham-Hoover, AL",2,
1009,AL,Blount County,"Birmingham-Hoover, AL",2,
1011,AL,Bullock County,,6,
1013,AL,Butler County,,6,
1015,AL,Calhoun County,"Anniston-Oxford-Jacksonville, AL",4,
1017,AL,Chambers County,"Valley, AL",5,
1019,AL,Cherokee County,,6,
1021,AL,Chilton County,"Birmingham-Hoover, AL",2,
1023,AL,Choctaw County,,6,
1025,AL,Clarke County,,6,
1027,AL,Clay County,,6,
1029,AL,Cleburne County,,6,
1031,AL,Coffee County,"Enterprise, AL",5,
1033,AL,Colbert County,"Florence-Muscle Shoals, AL",4,
1035,AL,Conecuh County,,6,
1037,AL,Coosa County,"Talladega-Sylacauga, AL",5,
1039,AL,Covington County,,6,
1041,AL,Crenshaw County,,6,
1043,AL,Cullman County,"Cullman, AL",5,
1045,AL,Dale County,"Ozark, AL",5,
1047,AL,Dallas County,"Selma, AL",5,
1049,AL,DeKalb County,,6,
1051,AL,Elmore County,"Montgomery, AL",3,
1053,AL,Escambia County,,6,
1055,AL,Etowah County,"Gadsden, AL",4,
1057,AL,Fayette County,,6,
1059,AL,Franklin County,,6,
1061,AL,Geneva County,"Dothan, AL",4,
1063,AL,Greene County,,6,
1065,AL,Hale County,"Tuscaloosa, AL",4,
1067,AL,Henry County,"Dothan, AL",4,
1069,AL,Houston County,"Dothan, AL",4,
1071,AL,Jackson County,"Scottsboro, AL",5,
1073,AL,Jefferson County,"Birmingham-Hoover, AL",1,
1075,AL,Lamar County,,6,
1077,AL,Lauderdale County,"Florence-Muscle Shoals, AL",4,
1079,AL,Lawrence County,"Decatur, AL",4,
1081,AL,Lee County,"Auburn-Opelika, AL",4,
1083,AL,Limestone County,"Huntsville, AL",3,
1085,AL,Lowndes County,"Montgomery, AL",3,
