date,NOMINAL_ELECTRIC_OLD,NOMINAL_ELECTRIC_NEW,PRICE_INDEX_ELECTRIC_OLD,PRICE_INDEX_ELECTRIC_NEW
1959-01-01,"2,108","2,108",9.937,10.655
1959-04-01,"1,971","1,971",10.060,10.786
1959-07-01,"1,951","1,951",10.226,10.964
1959-10-01,"1,958","1,958",10.185,10.920
1960-01-01,"2,030","2,030",10.184,10.919
1960-04-01,"2,055","2,055",10.101,10.830
1960-07-01,"1,938","1,938",10.102,10.831
1960-10-01,"2,001","2,001",10.019,10.743
1961-01-01,"1,862","1,862",9.978,10.698
1961-04-01,"1,898","1,898",9.935,10.652
1961-07-01,"1,878","1,878",9.895,10.610
1961-10-01,"1,794","1,794",9.938,10.655
1962-01-01,"1,921","1,921",9.979,10.699
1962-04-01,"1,853","1,853",10.020,10.744
1962-07-01,"1,826","1,826",9.979,10.699
1962-10-01,"1,848","1,848",9.936,10.653
1963-01-01,"1,942","1,942",9.978,10.698
1963-04-01,"2,008","2,008",10.020,10.743
1963-07-01,"2,053","2,053",10.102,10.831
1963-10-01,"2,081","2,081",10.143,10.875
1964-01-01,"2,085","2,085",10.186,10.921
1964-04-01,"2,130","2,130",10.226,10.964
1964-07-01,"2,200","2,200",10.349,11.096
1964-10-01,"2,233","2,233",10.473,11.229
1965-01-01,"2,442","2,442",10.596,11.361
1965-04-01,"2,483","2,483",10.678,11.449
1965-07-01,"2,545","2,545",10.680,11.451
1965-10-01,"2,670","2,670",10.762,11.538
1966-01-01,"2,799","2,799",10.763,11.540
1966-04-01,"2,922","2,922",10.721,11.495
1966-07-01,"3,101","3,101",10.679,11.449
1966-10-01,"3,122","3,122",10.719,11.492
1967-01-01,"3,298","3,298",10.844,11.626
1967-04-01,"3,628","3,628",11.009,11.804
1967-07-01,"3,786","3,786",11.256,12.069
1967-10-01,"3,964","3,964",11.422,12.247
1968-01-01,"4,053","4,053",11.627,12.466
1968-04-01,"4,202","4,202",11.875,12.732
1968-07-01,"4,345","4,345",12.040,12.909
