date,USD,EUR,RUB,CNY,OTHER
2022-01-01,24.69085,16.76253,5.85506,0.16984,0.27486
2022-02-01,24.91735,17.59219,6.60283,0.12869,0.32654
2022-03-01,16.77693,11.35229,4.31040,0.51272,0.30376
2022-04-01,17.41543,19.34720,6.63465,1.13170,0.16080
2022-05-01,15.80624,14.59424,12.17528,1.51410,0.23051
2022-06-01,19.77815,5.94559,13.63683,2.79282,0.35890
2022-07-01,17.66214,7.48467,14.93323,4.66724,0.42012
2022-08-01,16.14184,9.12879,15.97480,6.47074,0.35325
2022-09-01,15.75909,8.09593,17.80124,6.55317,0.64503
2022-10-01,13.28999,5.57055,15.89758,4.20718,0.72580
2022-11-01,14.54404,5.80406,16.58419,4.80006,0.77921
2022-12-01,15.08891,5.90543,15.01889,6.83435,0.83328
2023-01-01,11.33037,5.10484,11.53808,4.38830,1.33000
2023-02-01,10.07918,4.18514,12.31103,6.10191,0.63496
2023-03-01,10.64994,4.53570,15.68935,7.12026,0.97196
2023-04-01,9.12717,2.55432,12.47305,7.38393,0.78737
2023-05-01,8.41748,3.05648,14.03347,8.73783,1.16366
2023-06-01,7.38052,2.21823,13.69322,8.13303,0.85808
