date,USD,EUR,RUB,CNY,OTHER
2022-01-01,10.26207,6.69892,7.51454,1.12291,0.46124
2022-02-01,9.97919,8.81094,8.73803,1.11728,0.50446
2022-03-01,8.59592,6.93231,5.33912,1.37060,0.36227
2022-04-01,7.06076,6.47240,6.68709,2.37762,0.33234
2022-05-01,7.19573,5.62598,6.64563,2.83597,0.34309
2022-06-01,9.93037,6.37863,8.49722,3.67518,0.57227
2022-07-01,9.15418,6.39953,8.47099,4.43085,0.58848
2022-08-01,8.71981,6.30471,8.50133,5.27723,0.53842
2022-09-01,9.40646,6.31463,8.88427,5.94816,0.84469
2022-10-01,8.01241,5.79762,7.95077,5.42593,0.64054
2022-11-01,8.23306,5.67378,7.97911,6.35201,0.94155
2022-12-01,9.11161,6.70289,9.40393,8.08315,1.26602
2023-01-01,5.81164,4.21567,5.90991,3.85495,0.99080
2023-02-01,5.74845,4.89311,6.65464,5.50000,0.80077
2023-03-01,6.02144,5.26410,8.74058,7.80181,1.28558
2023-04-01,4.79089,4.60538,7.31913,8.05350,1.12961
2023-05-01,5.05468,4.45539,8.02987,8.22414,1.19321
2023-06-01,4.30364,4.16074,7.93289,9.13313,1.12422
