date,value
2018-01-01,3863898073.00
2018-02-01,3565156504.00
2018-03-01,2840620492.00
2018-04-01,3617438709.00
2018-05-01,4391454457.00
2018-06-01,4210264541.00
2018-07-01,4389782834.00
2018-08-01,4265857434.00
2018-09-01,4042116544.00
2018-10-01,4076515889.00
2018-11-01,4157489653.00
2018-12-01,4544677660.00
2019-01-01,4334254351.00
2019-02-01,2767163983.00
2019-03-01,3617198054.00
2019-04-01,3738864016.00
2019-05-01,3816653355.00
2019-06-01,3998013242.00
2019-07-01,4562359192.00
2019-08-01,4492755061.00
2019-09-01,4513169147.00
2019-10-01,4400058408.00
2019-11-01,4581844027.00
2019-12-01,4926153674.00
2020-01-01,4448484539.00
2020-02-01,1577616025.00
2020-03-01,3131313062.00
2020-04-01,3961783813.00
2020-05-01,3818466672.00
2020-06-01,3980661154.00
2020-07-01,4886363354.00
2020-08-01,5210221421.00
2020-09-01,4779753689.00
2020-10-01,4717872714.00
2020-11-01,4754867751.00
2020-12-01,5237062011.00
2021-01-01,4744661308.00
2021-02-01,4148201557.00
2021-03-01,4126227778.00
2021-04-01,5088941004.00
2021-05-01,4695399291.00
2021-06-01,5979061444.00
2021-07-01,5495108558.00
2021-08-01,6279197739.00
2021-09-01,6563139240.00
2021-10-01,5479624752.00
2021-11-01,6519677726.00
2021-12-01,8089020604.00
2022-01-01,7319844954.00
2022-02-01,5197271101.00
2022-03-01,3807083016.00
2022-04-01,3771014334.00
2022-05-01,4281050291.00
2022-06-01,4981113291.00
2022-07-01,6716013209.00
2022-08-01,7918724175.00
2022-09-01,7911752672.00
2022-10-01,7345415055.00
2022-11-01,7631313652.00
2022-12-01,8747468561.00
2023-01-01,8054946552.00
2023-02-01,6928769807.00
2023-03-01,8896945840.00
2023-04-01,9580808421.00
2023-05-01,9271231727.00
2023-06-01,9551339251.00
