Date,Oil_Gas_Rev,Oil_Rev,Gas_Rev,Products_Rev
2017-01-01,832078.00,690226.00,141853.00,604472.00
2017-02-01,724915.00,601265.00,123650.00,605228.00
2017-03-01,754373.00,634339.00,120034.00,592551.00
2017-04-01,741502.00,615548.00,125954.00,585095.00
2017-05-01,757208.00,632395.00,124813.00,589212.00
2017-06-01,665730.00,553862.00,111867.00,571714.00
2017-07-01,706269.00,589559.00,116710.00,607534.00
2017-08-01,755691.00,628724.00,126967.00,643492.00
2017-09-01,777037.00,649766.00,127271.00,641449.00
2017-10-01,850652.00,713422.00,137230.00,657239.00
2017-11-01,865311.00,728980.00,136331.00,665517.00
2017-12-01,946264.00,794322.00,151942.00,1081974.00
2018-01-01,983269.00,841855.00,141414.00,750649.00
2018-02-01,875673.00,748149.00,127524.00,684031.00
2018-03-01,913280.00,777692.00,135588.00,717259.00
2018-04-01,1010683.00,863235.00,147448.00,740181.00
2018-05-01,1149526.00,1007671.00,141855.00,831894.00
2018-06-01,1159912.00,1027125.00,132788.00,1117450.00
2018-07-01,1134065.00,1008576.00,125489.00,904553.00
2018-08-01,1142893.00,1013792.00,129102.00,913446.00
2018-09-01,1291852.00,1151811.00,140041.00,924865.00
2018-10-01,1370302.00,1177395.00,192907.00,914018.00
2018-11-01,1149480.00,955732.00,193749.00,892212.00
2018-12-01,1033701.00,826191.00,207510.00,941710.00
2019-01-01,1055286.00,867777.00,187509.00,725115.00
2019-02-01,1061399.00,900773.00,160626.00,732090.00
2019-03-01,1224899.00,1049626.00,175273.00,787878.00
2019-04-01,1204492.00,1045823.00,158669.00,773896.00
2019-05-01,1193078.00,1037805.00,155273.00,757480.00
2019-06-01,1037136.00,911314.00,125822.00,745370.00
2019-07-01,1075750.00,938557.00,137193.00,787589.00
2019-08-01,1074497.00,931603.00,142894.00,769775.00
2019-09-01,1060117.00,922188.00,137928.00,733636.00
2019-10-01,1058873.00,912230.00,146643.00,749794.00
2019-11-01,1019769.00,874016.00,145754.00,767310.00
2019-12-01,1107226.00,943218.00,164008.00,764674.00
2020-01-01,1085330.00,930700.00,154630.00,739113.00
2020-02-01,949278.00,804900.00,144378.00,705593.00
2020-03-01,732312.00,589283.00,143029.00,676862.00
2020-04-01,382568.00,258507.00,124061.00,461163.00
2020-05-01,501516.00,371305.00,130211.00,448063.00
2020-06-01,676797.00,564388.00,112409.00,528780.00
2020-07-01,727981.00,616618.00,111362.00,604314.00
2020-08-01,792698.00,665441.00,127257.00,630217.00
2020-09-01,764882.00,629564.00,135318.00,603040.00
2020-10-01,771261.00,637470.00,133791.00,599561.00
2020-11-01,790441.00,649791.00,140651.00,614261.00
2020-12-01,907547.00,755210.00,152337.00,694649.00
2021-01-01,1005971.00,845301.00,160671.00,687913.00
2021-02-01,969089.00,815815.00,153274.00,724460.00
2021-03-01,1179061.00,1026369.00,152692.00,899229.00
2021-04-01,1183758.00,1015890.00,167868.00,874346.00
2021-05-01,1241405.00,1075639.00,165766.00,916096.00
2021-06-01,1299189.00,1139343.00,159846.00,950852.00
2021-07-01,1377875.00,1227165.00,150710.00,985749.00
2021-08-01,1301949.00,1159736.00,142213.00,1073506.00
2021-09-01,1358208.00,1177230.00,180978.00,997071.00
2021-10-01,1533391.00,1340208.00,193182.00,1095385.00
2021-11-01,1543897.00,1348395.00,195502.00,1060609.00
2021-12-01,1500748.00,1285688.00,215060.00,1103893.00
2022-01-01,1888857.00,1548496.00,340360.00,1143237.00
2022-02-01,1918995.00,1605419.00,313575.00,1195767.00
2022-03-01,2541122.00,2166554.00,374568.00,1383527.00
2022-04-01,1687253.00,1342338.00,344915.00,1089879.00
2022-05-01,1531531.00,1209307.00,322224.00,1034098.00
2022-06-01,1481368.00,1205040.00,276329.00,1020996.00
2022-07-01,1348099.00,1114993.00,233106.00,1025280.00
2022-08-01,1362332.00,1082621.00,279711.00,981230.00
2022-09-01,1273799.00,958109.00,315690.00,904703.00
2022-10-01,1344434.00,1016011.00,328423.00,937027.00
