date,all_actual,all_lending_nsa,FAE_actual_manu,FAE_lending_nsa_manu
2012-01-01,-1.89,-3.21,-1.47,-4.83
2012-02-01,4.76,-2.55,3.61,-4.02
2012-03-01,3.26,-2.13,2.55,-2.79
2012-04-01,1.64,-1.66,0.79,-2.53
2012-05-01,3.94,-2.04,5.21,-2.4
2012-06-01,0.74,-2.15,-1.56,-3.02
2012-07-01,1.05,-2.22,-0.72,-3.3
2012-08-01,2.14,-2.84,1.01,-3.63
2012-09-01,-0.79,-4.16,-3.1,-4.44
2012-10-01,1.82,-4.01,2.71,-5.44
2012-11-01,1.43,-4.07,0.63,-5.15
2012-12-01,-0.26,-2.99,-2.59,-4.39
2013-01-01,1.41,-4.32,0.17,-5.56
2013-02-01,2.08,-3.5,0.26,-4.66
2013-03-01,-0.57,-3.95,-2.89,-4.33
2013-04-01,2.56,-3.13,1.92,-3.43
2013-05-01,-2.07,-2.51,-5.56,-3.66
2013-06-01,-0.12,-2.91,-1.14,-3.04
2013-07-01,1.08,-2.28,0.33,-2.78
2013-08-01,-1.04,-2.43,-2.27,-2.16
2013-09-01,-1.77,-2.78,-3.91,-2.56
2013-10-01,0.19,-2.43,-1.18,-2.69
2013-11-01,-1.69,-2.91,-3.51,-3.68
2013-12-01,-1.39,-2.91,-2.89,-3.24
2014-01-01,-1.66,-3.77,-2.15,-4.2
2014-02-01,-0.92,-4.55,-1.28,-5.13
2014-03-01,-2.04,-5.1,-4.14,-7.24
2014-04-01,-0.28,-4.95,-1.15,-6.7
2014-05-01,-3.27,-5.02,-5.06,-7
2014-06-01,-3.46,-5.66,-2.95,-7.32
2014-07-01,-1.06,-6.76,-1.49,-8.43
2014-08-01,-6.02,-7.31,-5.53,-9.17
2014-09-01,-1.75,-9.22,-1.19,-12.28
2014-10-01,-4.54,-12.42,-5.98,-14.57
2014-11-01,-7.29,-16.26,-6.97,-19.09
2014-12-01,-4.58,-28.38,-1.7,-34.16
2015-01-01,-8.44,-34.41,-8.27,-40.74
2015-02-01,-8.55,-27.99,-6.78,-32.42
2015-03-01,-9.4,-23.7,-7.46,-26.85
