date,DOMESTIC_CAR,FOREIGN_CAR
2022-01-10,771646.79,1356634.63
2022-01-14,772730.06,1358848.67
2022-01-21,772852.68,1365787.61
2022-01-28,773074.02,1367845.66
2022-02-04,777596.04,1370919.28
2022-02-11,778321.7,1376188.9
2022-02-18,778335.53,1379420.21
2022-02-25,778385.09,1381434.39
2022-03-04,911404.37,1591467.27
2022-03-11,914861.5,1700561
2022-03-18,982758.29,1754988.72
2022-03-25,984582.49,1823520.61
2022-04-01,984094.07,1844939.84
2022-04-08,984199.19,1891257.46
2022-04-15,984203.11,1894660.67
2022-04-22,984172.99,1903372.06
2022-04-29,983691.69,1905813.76
2022-05-06,983759.32,1904229.34
2022-05-13,983908.72,1905188.24
2022-05-20,984122.82,1911168.7
2022-05-27,984462.69,1911444.35
2022-06-03,984462.69,1910838.89
2022-06-10,984462.69,1912186.39
2022-06-17,975096.49,1912020.75
2022-06-24,955965.91,1911072.28
2022-07-01,955754.31,1914497.34
2022-07-08,954373.35,1915348.16
2022-07-15,954321.79,1921405.64
2022-07-22,954417.18,1921695.65
2022-08-01,955789.74,1923829.03
2022-08-08,960119.1,1926797.02
2022-08-15,963240.58,1925527.59
2022-08-22,963227.04,1926669.65
2022-08-29,962563.53,1928855.6
2022-09-05,963134.07,1928977.24
2022-09-12,963237.44,1929164.61
2022-09-19,963177.25,1929532.73
2022-09-26,961841.05,1930340.28
2022-10-03,961460.02,1930792.81
2022-10-10,961822.37,1931864.45
2022-10-17,960279.95,1933383.1
2022-10-24,959390.98,1934866.78
2022-10-31,959406.21,1935170.35
2022-11-07,959126.44,1935849.84
2022-11-14,959198.3,1936632.81
2022-11-21,959317.88,1938282.18
2022-11-28,959336.74,1938737.66
