Date,Price,Open,High,Low,Vol.,Change %
2022-12-20,53.65,53.65,53.65,53.65,,-5.53%
2022-12-19,56.79,56.79,56.79,56.79,,3.61%
2022-12-16,54.81,54.81,54.81,54.81,,-4.33%
2022-12-15,57.29,57.29,57.29,57.29,,-1.77%
2022-12-14,58.32,58.32,58.32,58.32,,2.88%
2022-12-13,56.69,56.69,56.69,56.69,,3.52%
2022-12-12,54.76,54.76,54.76,54.76,,1.99%
2022-12-09,53.69,53.69,53.69,53.69,,1.84%
2022-12-08,52.72,52.72,52.72,52.72,,-3.99%
2022-12-07,54.91,54.91,54.91,54.91,,-4.12%
2022-12-06,57.27,57.27,57.27,57.27,,-7.54%
2022-12-05,61.94,61.94,61.94,61.94,,-2.99%
2022-12-02,63.85,63.85,63.85,63.85,,-8.06%
2022-12-01,69.45,69.45,69.45,69.45,,4.37%
2022-11-30,66.54,66.54,66.54,66.54,,3.32%
2022-11-29,64.4,64.4,64.4,64.4,,0.00%
2022-11-28,64.4,64.4,64.4,64.4,,-2.65%
2022-11-25,66.15,66.15,66.15,66.15,,-1.52%
2022-11-24,67.17,67.17,67.17,67.17,,0.24%
2022-11-23,67.01,67.01,67.01,67.01,,-5.30%
2022-11-22,70.76,70.76,70.76,70.76,,8.78%
2022-11-21,65.05,65.05,65.05,65.05,,-7.23%
2022-11-18,70.12,70.12,70.12,70.12,,-3.98%
2022-11-17,73.03,73.03,73.03,73.03,,-0.15%
2022-11-16,73.14,73.14,73.14,73.14,,-2.83%
2022-11-15,75.27,75.27,75.27,75.27,,-1.72%
2022-11-14,76.59,76.59,76.59,76.59,,-1.56%
2022-11-11,77.8,77.8,77.8,77.8,,2.60%
2022-11-10,75.83,75.83,75.83,75.83,,0.00%
2022-11-09,75.83,75.83,75.83,75.83,,-5.65%
2022-11-08,80.37,80.37,80.37,80.37,,-2.91%
2022-11-07,82.78,82.78,82.78,82.78,,3.45%
2022-11-04,80.02,80.02,80.02,80.02,,3.43%
2022-11-03,77.37,77.37,77.37,77.37,,-1.31%
2022-11-02,78.4,78.4,78.4,78.4,,2.18%
2022-11-01,76.73,76.73,76.73,76.73,,2.25%
2022-10-31,75.04,75.04,75.04,75.04,,-1.02%
2022-10-28,75.81,75.81,75.81,75.81,,0.01%
2022-10-27,75.8,75.8,75.8,75.8,,2.01%
2022-10-26,74.31,74.31,74.31,74.31,,1.60%
2022-10-25,73.14,73.14,73.14,73.14,,0.26%
2022-10-24,72.95,72.95,72.95,72.95,,0.52%
2022-10-21,72.57,72.57,72.57,72.57,,-2.16%
2022-10-20,74.17,74.17,74.17,74.17,,4.33%
2022-10-19,71.09,71.09,71.09,71.09,,1.67%
2022-10-18,69.92,69.92,69.92,69.92,,-3.65%
2022-10-17,72.57,72.57,72.57,72.57,,-2.51%
2022-10-14,74.44,74.44,74.44,74.44,,-1.94%
2022-10-13,75.91,75.91,75.91,75.91,,1.15%
2022-10-12,75.05,75.05,75.05,75.05,,-1.90%
2022-10-11,76.5,76.5,76.5,76.5,,-3.79%
2022-10-10,79.51,79.51,79.51,79.51,,-0.69%
2022-10-07,80.06,80.06,80.06,80.06,,4.10%
2022-10-06,76.91,76.91,76.91,76.91,,1.26%
2022-10-05,75.95,75.95,75.95,75.95,,0.85%
2022-10-04,75.31,75.31,75.31,75.31,,5.17%
2022-10-03,71.61,71.61,71.61,71.61,,1.72%
2022-09-30,70.4,70.4,70.4,70.4,,-0.87%
2022-09-29,71.02,71.02,71.02,71.02,,1.44%
2022-09-28,70.01,70.01,70.01,70.01,,3.92%
2022-09-27,67.37,67.37,67.37,67.37,,2.54%
2022-09-26,65.7,65.7,65.7,65.7,,-1.04%
2022-09-23,66.39,66.39,66.39,66.39,,-8.01%
2022-09-22,72.17,72.17,72.17,72.17,,1.48%
2022-09-21,71.12,71.12,71.12,71.12,,0.58%
2022-09-20,70.71,70.71,70.71,70.71,,-1.53%
2022-09-19,71.81,71.81,71.81,71.81,,0.00%
2022-09-16,71.81,71.81,71.81,71.81,,1.79%
2022-09-15,70.55,70.55,70.55,70.55,,-5.61%
2022-09-14,74.74,74.74,74.74,74.74,,2.33%
2022-09-13,73.04,73.04,73.04,73.04,,-3.10%
2022-09-12,75.38,75.38,75.38,75.38,,4.72%
2022-09-09,71.98,71.98,71.98,71.98,,3.15%
2022-09-07,69.78,69.78,69.78,69.78,,-4.59%
2022-09-06,73.14,73.14,73.14,73.14,,-3.75%
2022-09-05,75.99,75.99,75.99,75.99,,0.26%
2022-09-02,75.79,75.79,75.79,75.79,,2.39%
2022-09-01,74.02,74.02,74.02,74.02,,-5.27%
2022-08-31,78.14,78.14,78.14,78.14,,-4.06%
2022-08-30,81.45,81.45,81.45,81.45,,0.84%
2022-08-29,80.77,80.77,80.77,80.77,,0.00%
2022-08-26,80.77,80.77,80.77,80.77,,-1.44%
2022-08-25,81.95,81.95,81.95,81.95,,2.69%
2022-08-24,79.8,79.8,79.8,79.8,,-0.47%
2022-08-23,80.18,80.18,80.18,80.18,,7.12%
2022-08-22,74.85,74.85,74.85,74.85,,-4.12%
2022-08-19,78.07,0,0,0,,0.72%
2022-08-18,77.51,77.51,77.51,77.51,,-0.53%
2022-08-17,77.92,77.92,77.92,77.92,,16.16%
2022-08-16,67.08,67.08,67.08,67.08,,-1.58%
2022-08-15,68.16,68.16,68.16,68.16,,-8.53%
2022-08-12,74.52,74.52,74.52,74.52,,-3.85%
2022-08-11,77.5,77.5,77.5,77.5,,4.35%
2022-08-10,74.27,74.27,74.27,74.27,,-2.02%
2022-08-09,75.8,75.8,75.8,75.8,,1.85%
2022-08-08,74.42,74.42,74.42,74.42,,3.10%
2022-08-05,72.18,72.18,72.18,72.18,,4.79%
