date,Crude_Eur,Ref_Eur,Crude_kg,Ref_kg
2018-01-01,"5,159,897,516","2,188,669,361","125,470,403.82","46,453,793.99"
2018-02-01,"4,742,164,212","1,732,701,817","118,557,190.40","39,151,886.50"
2018-03-01,"4,562,481,426","1,838,045,910","120,643,836.39","42,377,724.39"
2018-04-01,"5,009,827,241","1,734,812,892","125,429,292.57","36,025,752.07"
2018-05-01,"5,494,791,580","1,766,924,380","127,600,938.52","35,508,277.47"
2018-06-01,"5,696,617,791","1,830,484,860","125,193,882.00","35,936,212.71"
2018-07-01,"5,438,022,203","2,037,667,898","118,846,999.00","39,803,016.12"
2018-08-01,"5,912,788,063","1,848,464,385","131,207,599.74","35,769,816.64"
2018-09-01,"5,598,410,499","1,793,463,327","118,888,310.99","32,416,456.47"
2018-10-01,"5,689,312,246","2,368,688,684","114,605,898.96","42,266,376.77"
2018-11-01,"5,166,301,578","1,954,991,115","113,495,282.54","39,148,031.29"
2018-12-01,"4,886,883,985","1,618,179,299","126,407,136.54","35,145,473.19"
2019-01-01,"4,794,605,316","2,056,106,267","129,944,107.25","46,428,135.81"
2019-02-01,"4,333,257,281","1,789,186,896","109,392,381.11","37,363,942.93"
2019-03-01,"5,247,272,269","1,851,257,424","125,915,075.62","36,812,874.75"
2019-04-01,"5,541,558,032","1,924,063,335","125,008,611.59","38,250,959.33"
2019-05-01,"4,790,773,993","2,095,112,246","104,285,275.49","41,482,041.61"
2019-06-01,"4,474,598,347","1,616,513,329","104,159,602.23","34,285,945.15"
2019-07-01,"5,238,118,024","1,674,824,251","127,541,686.42","34,777,792.52"
2019-08-01,"5,007,732,667","1,976,981,865","126,949,002.52","42,878,911.66"
2019-09-01,"4,327,507,784","1,732,242,766","109,015,568.33","36,278,909.89"
2019-10-01,"4,440,192,219","2,088,089,940","113,376,391.35","42,815,874.36"
2019-11-01,"4,221,867,206","1,697,985,082","105,682,932.88","35,032,084.20"
2019-12-01,"4,265,631,856","1,929,322,526","101,374,686.32","39,758,397.01"
2020-01-01,"4,528,161,578","2,273,327,594","110,766,437.92","47,124,868.61"
2020-02-01,"4,228,670,222","1,874,265,633","113,925,381.28","42,513,416.53"
2020-03-01,"3,194,749,056","1,535,974,096","122,476,409.55","45,143,735.21"
2020-04-01,"1,616,081,542","777,459,844","104,569,462.61","32,496,882.06"
2020-05-01,"1,303,290,840","902,627,856","82,393,977.30","39,430,561.32"
2020-06-01,"2,223,782,995","1,061,019,679","93,076,923.51","36,745,312.17"
2020-07-01,"2,680,459,668","1,148,157,810","97,043,126.53","37,362,863.79"
2020-08-01,"2,517,592,549","1,071,053,129","88,907,913.29","35,885,931.14"
2020-09-01,"2,490,016,278","799,971,581","95,746,984.90","28,338,924.73"
2020-10-01,"2,301,868,500","1,038,851,938","91,148,850.35","36,622,041.11"
2020-11-01,"2,293,267,766","947,230,339","88,462,487.38","31,817,592.71"
2020-12-01,"2,551,137,184","1,483,465,050","88,489,167.87","43,896,615.98"
2021-01-01,"2,871,793,812","1,520,770,790","91,907,720.53","42,627,652.38"
2021-02-01,"3,007,335,718","1,566,347,841","85,734,739.86","38,162,264.50"
2021-03-01,"3,303,513,042","1,786,731,247","87,128,164.64","42,004,075.16"
2021-04-01,"3,485,554,013","1,673,458,482","91,077,647.14","38,358,662.33"
2021-05-01,"3,822,439,633","1,765,202,256","96,348,837.87","38,180,995.97"
2021-06-01,"4,012,280,306","1,942,373,922","96,250,072.45","40,782,566.62"
2021-07-01,"3,981,674,346","1,931,234,115","90,840,571.30","38,777,109.05"
2021-08-01,"4,715,238,786","1,899,595,945","108,218,641.05","39,879,174.68"
2021-09-01,"4,247,489,246","1,900,583,139","96,291,423.18","37,271,103.84"
2021-10-01,"4,750,304,899","2,296,875,422","97,204,162.11","40,361,482.55"
2021-11-01,"4,934,092,392","2,271,302,086","98,175,856.55","39,529,954.28"
2021-12-01,"5,025,835,045","1,995,996,338","104,385,189.83","36,894,105.44"
2022-01-01,"6,046,239,001","2,333,976,015","114,419,790.53","38,779,127.82"
2022-02-01,"6,237,515,179","2,983,134,504","105,437,182.54","44,402,797.75"
2022-03-01,"6,081,609,838","3,593,410,194","95,949,447.99","41,119,283.14"
2022-04-01,"5,155,250,970","3,211,789,384","88,105,869.46","34,857,967.29"
2022-05-01,"4,647,108,192","2,923,390,563","83,582,638.11","31,664,177.92"
2022-06-01,"5,559,855,812","3,697,995,912","88,968,540.03","34,425,311.82"
2022-07-01,"5,002,043,858","3,683,580,875","81,061,414.96","36,845,687.75"
2022-08-01,"3,963,248,436","2,826,209,210","68,898,165.56","31,747,908.75"
2022-09-01,"4,174,823,595","2,079,464,195","75,733,691.87","23,270,542.83"
2022-10-01,"3,534,796,878","2,589,833,650","67,466,397.78","29,255,929.96"
