date,India,China
2017-01-01,35.55,2098.36
2017-02-01,25.2,2015.24
2017-03-01,310.97,2267.81
2017-04-01,165.78,2124.50
2017-05-01,242.06,2590.38
2017-06-01,181.69,2318.51
2017-07-01,284.63,2000.75
2017-08-01,191.45,1879.25
2017-09-01,133.39,2721.88
2017-10-01,141.71,2103.58
2017-11-01,238.63,2642.68
2017-12-01,107.15,2668.83
2018-01-01,203.97,3072.66
2018-02-01,57.73,2877.24
2018-03-01,155.35,3159.30
2018-04-01,208.09,3067.91
2018-05-01,221.1,3513.71
2018-06-01,202.34,3040.95
2018-07-01,211.06,3334.18
2018-08-01,65.86,3557.02
2018-09-01,127.75,4166.32
2018-10-01,306.89,4584.82
2018-11-01,150.54,4186.87
2018-12-01,283.17,3779.93
2019-01-01,173.99,3520.12
2019-02-01,115.6,3157.74
2019-03-01,91.36,3248.86
2019-04-01,651.2,3519.53
2019-05-01,386.03,3854.81
2019-06-01,258.78,4026.20
2019-07-01,306.16,3294.11
2019-08-01,175.77,3327.32
2019-09-01,116.3,3363.31
2019-10-01,303.77,3774.29
2019-11-01,168.2,3966.39
2019-12-01,136.48,3703.55
2020-01-01,408.34,4523.70
2020-02-01,75.34,3627.59
2020-03-01,202.99,3149.84
2020-04-01,132.89,2412.36
2020-05-01,78.39,1970.55
2020-06-01,255.63,2371.58
2020-07-01,328.94,2611.33
2020-08-01,160.48,2323.94
2020-09-01,38.08,2876.70
2020-10-01,57.09,2550.30
2020-11-01,61.84,2303.97
2020-12-01,242.37,3072.72
2021-01-01,274.69,3098.65
2021-02-01,175.26,3586.92
2021-03-01,305.01,4254.80
2021-04-01,338.83,3759.38
2021-05-01,323.13,3344.87
2021-06-01,212.03,4236.20
2021-07-01,410.14,4767.28
2021-08-01,309.44,4956.28
2021-09-01,551.47,4685.21
2021-10-01,399.42,5371.19
2021-11-01,322.97,5984.14
2021-12-01,593.09,5797.58
2022-01-01,655.31,5704.64
2022-02-01,269.06,4761.83
2022-03-01,865.18,6338.04
2022-04-01,1204.3,6944.76
2022-05-01,1557.75,8291.17
2022-06-01,2821.97,7325.39
2022-07-01,3392.68,7288.65
2022-08-01,3729.71,8487.49
2022-09-01,4219.25,7703.47
2022-10-01,4119.49,7880.58
2022-11-01,,8050.99
