Date,Price,Open,High,Low,Vol.,Change %
2022-12-21,82.43,80.13,82.71,79.73,,3.14%
2022-12-20,79.92,80.45,81.09,78.48,,-0.49%
2022-12-19,80.31,79.89,81.08,78.83,,0.50%
2022-12-18,79.91,79.27,79.92,79.25,,0.58%
2022-12-16,79.45,81.66,82.06,78.57,,-2.78%
2022-12-15,81.72,83.03,83.48,81.14,,-1.68%
2022-12-14,83.12,80.59,83.47,80.44,,2.95%
2022-12-13,80.74,78.54,81.62,78.44,,3.01%
2022-12-12,78.38,77.31,78.93,75.59,,1.36%
2022-12-11,77.33,77.22,77.68,77.11,,0.39%
2022-12-09,77.03,77.12,77.85,75.52,,0.18%
2022-12-08,76.89,77.78,79.59,76.18,,-1.18%
2022-12-07,77.81,80.22,80.94,77.39,,-3.00%
2022-12-06,80.22,83.71,84.17,79.18,,-3.92%
2022-12-05,83.49,87.52,88.97,83.05,,-4.52%
2022-12-04,87.44,86.3,87.55,86.05,,1.05%
2022-12-02,86.53,87.47,88.53,85.81,,-1.52%
2022-12-01,87.87,87.36,89.98,86.9,,0.68%
2022-11-30,87.28,85.44,88.04,85.09,,1.97%
2022-11-29,85.59,83.91,87.34,83.91,,1.97%
2022-11-28,83.94,84.09,85.31,81.47,,-0.20%
2022-11-27,84.11,84.31,84.52,83.97,,-0.68%
2022-11-25,84.69,86.12,87.63,84.4,,-1.31%
2022-11-24,85.81,85.59,86.1,84.75,,0.68%
2022-11-23,85.23,89.01,90.06,84.7,,-4.09%
2022-11-22,88.86,88.29,90.45,87.9,,0.57%
2022-11-21,88.36,88.37,88.4,82.93,,0.01%
2022-11-20,88.35,88.35,88.59,88.34,,-0.36%
2022-11-18,88.67,91.19,91.45,86.59,,-2.39%
2022-11-17,90.84,93.66,93.79,90.41,,-2.92%
2022-11-16,93.57,94.91,95.77,92.65,,-1.25%
2022-11-15,94.75,93.76,96.78,92.59,,1.30%
2022-11-14,93.53,97.95,98.09,93.53,,-4.52%
2022-11-13,97.96,97.09,97.97,96.94,,0.79%
2022-11-11,97.19,95.05,98.25,94.98,,2.68%
2022-11-10,94.65,93.91,95.67,93.07,,0.90%
2022-11-09,93.81,96.66,97.09,93.68,,-2.78%
2022-11-08,96.49,99.78,99.86,96.45,,-3.03%
2022-11-07,99.5,98.47,101.21,98.47,,1.05%
2022-11-06,98.47,98.73,98.8,98.2,,-1.99%
2022-11-04,100.47,96.31,100.65,96.1,,4.27%
2022-11-03,96.36,97.16,97.83,96.04,,-1.11%
2022-11-02,97.44,96.78,98.41,95.92,,0.80%
2022-11-01,96.67,94.48,97.54,94.27,,1.96%
2022-10-31,94.81,96.25,96.39,93.46,,-1.48%
2022-10-30,96.23,96.34,96.39,96.06,,-0.20%
2022-10-28,96.42,96.88,97.14,95.24,,-0.55%
2022-10-27,96.95,96.4,97.62,95.48,,0.50%
2022-10-26,96.47,93.39,96.59,92.68,,3.00%
2022-10-25,93.66,93.83,94.87,92.07,,-0.18%
2022-10-24,93.83,94.07,94.72,91.53,,-0.23%
2022-10-23,94.05,93.83,94.31,93.83,,0.14%
2022-10-21,93.92,92.78,94.2,91.41,,0.92%
2022-10-20,93.06,92.71,95.21,92.35,,0.04%
2022-10-19,93.02,91.27,93.31,89.84,,2.12%
2022-10-18,91.09,92.55,93.15,89.26,,-1.49%
2022-10-17,92.47,92.88,93.76,91.38,,-0.44%
2022-10-16,92.88,92.14,92.94,92.14,,0.62%
2022-10-14,92.31,95.12,95.78,91.94,,-3.18%
2022-10-13,95.34,93.14,95.61,91.78,,2.38%
2022-10-12,93.12,94.47,95.91,92.31,,-1.52%
2022-10-11,94.56,96.62,97.25,93.88,,-2.35%
2022-10-10,96.84,98.78,99.5,96.44,,-1.95%
2022-10-09,98.77,99.52,99.52,98.5,,-0.71%
2022-10-07,99.48,95.79,99.54,94.86,,3.78%
2022-10-06,95.86,94.66,95.94,93.69,,1.26%
2022-10-05,94.67,92.84,94.94,91.94,,2.05%
2022-10-04,92.77,89.8,93.41,89.78,,3.42%
2022-10-03,89.7,88.95,90.84,88.1,,0.84%
2022-10-02,88.95,87.76,89,87.65,,2.96%
2022-09-30,86.39,88.62,89.73,86.08,,-2.38%
2022-09-29,88.5,88.84,89.87,87.3,,-0.66%
2022-09-28,89.09,86.02,89.38,84.08,,4.10%
2022-09-27,85.58,83.97,86.94,83.94,,1.98%
2022-09-26,83.92,87.04,87.67,83.62,,-3.57%
2022-09-25,87.03,86.75,87.03,86.45,,0.20%
2022-09-23,86.86,90.73,91.22,85.86,,-4.23%
2022-09-22,90.7,90.34,93.23,89.73,,0.28%
2022-09-21,90.45,91.21,93.98,89.78,,-1.02%
2022-09-20,91.38,92.74,93.57,90.34,,-0.92%
2022-09-19,92.23,92.54,93.15,89.07,,-0.35%
2022-09-18,92.55,91.95,92.65,91.95,,0.23%
2022-09-16,92.34,91.19,93.39,90.97,,0.92%
2022-09-15,91.5,95.44,95.44,90.81,,-4.07%
2022-09-14,95.38,94.31,96.65,92.76,,1.18%
