Date,Dollars,Euro,Renminbi,Yen,Pound
1999-04-01,71.19,18.12,,6.03,2.74
1999-07-01,72.13,17.57,,5.63,2.79
1999-10-01,70.68,18.33,,6.25,2.8
2000-01-01,71.01,17.9,,6.37,2.89
2000-04-01,71.46,17.5,,6.34,2.92
2000-07-01,72.02,17.51,,6,2.76
2000-10-01,72.3,16.97,,6.43,2.73
2001-01-01,71.14,18.29,,6.07,2.75
2001-04-01,72.31,17.71,,5.51,2.78
2001-07-01,72.7,17.63,,5.36,2.65
2001-10-01,71.4,18.9,,5.4,2.63
2002-01-01,71.52,19.18,,5.04,2.7
2002-04-01,71.62,19.67,,4.38,2.67
2002-07-01,68.49,21.39,,5.34,2.84
2002-10-01,67.49,22.43,,5.13,2.9
2003-01-01,66.5,23.65,,4.94,2.92
2003-04-01,66.39,24.52,,4.51,2.64
2003-07-01,66.23,24.97,,4.13,2.63
2003-10-01,66.66,24.45,,4.34,2.51
2004-01-01,65.45,25.03,,4.42,2.86
2004-04-01,67.09,23.44,,4.46,2.83
2004-07-01,67.39,23.31,,4.33,2.84
2004-10-01,66.89,23.77,,4.06,3.2
2005-01-01,65.51,24.68,,4.28,3.49
2005-04-01,65.14,24.9,,4.25,3.74
2005-07-01,65.81,24.55,,4.13,3.67
2005-10-01,66.08,24.13,,4.12,3.76
2006-01-01,66.52,23.89,,3.96,3.75
2006-04-01,66.16,24.37,,3.64,4.09
2006-07-01,65.71,24.63,,3.47,4.32
2006-10-01,66.11,24.31,,3.34,4.36
2007-01-01,65.04,24.99,,3.46,4.52
2007-04-01,65.05,25.07,,3.14,4.59
2007-07-01,64.88,25.17,,3.06,4.74
2007-10-01,63.9,26.01,,2.95,4.84
2008-01-01,63.87,26.13,,3.18,4.82
2008-04-01,62.94,26.55,,3.37,4.81
2008-07-01,62.59,26.62,,3.56,4.87
2008-10-01,64.17,25.32,,3.53,4.73
2009-01-01,63.77,26.21,,3.47,4.22
2009-04-01,65.18,25.82,,2.79,3.96
2009-07-01,62.81,27.57,,3.02,4.28
2009-10-01,61.57,28.03,,3.16,4.31
2010-01-01,62.15,27.7,,2.9,4.25
2010-04-01,62.18,27.06,,2.99,4.3
2010-07-01,62.93,26.02,,3.19,4.17
2010-10-01,61.96,26.39,,3.5,4.06
2011-01-01,62.25,25.76,,3.66,3.94
2011-04-01,61.43,26.2,,3.63,4.08
2011-07-01,60.89,26.49,,3.73,4.06
2011-10-01,62.03,25.35,,3.7,3.91
2012-01-01,62.7,24.45,,3.61,3.84
2012-04-01,61.86,24.61,,3.86,4.02
2012-07-01,61.77,24.8,,3.95,3.84
2012-10-01,61.41,24.04,,4.27,4.12
2013-01-01,61.5,24.07,,4.09,4.04
2013-04-01,62.03,23.4,,3.88,3.87
2013-07-01,62.08,23.68,,3.84,3.82
2013-10-01,61.65,23.95,,3.8,3.92
2014-01-01,61.28,24.21,,3.82,3.99
2014-04-01,63.04,23.27,,3.58,3.78
2014-07-01,63.08,22.97,,3.66,3.78
2014-10-01,64.62,21.58,,3.57,3.75
2015-01-01,65.17,21.22,,3.55,3.7
2015-04-01,66,20.02,,3.83,3.83
2015-07-01,65.3,19.9,,3.56,4.58
2015-10-01,65.55,19.8,,3.49,4.61
2016-01-01,65.75,19.15,,3.75,4.72
2016-04-01,65.46,19.55,,3.66,4.65
2016-07-01,65.23,19.41,,4.08,4.56
2016-10-01,64.7,19.68,,4.19,4.41
2017-01-01,65.36,19.14,1.08,3.95,4.35
2017-04-01,64.69,19.29,1.08,4.53,4.28
2017-07-01,63.84,19.96,1.08,4.62,4.42
2017-10-01,63.53,20.07,1.12,4.52,4.5
2018-01-01,62.73,20.17,1.23,4.9,4.54
2018-04-01,62.79,20.36,1.4,4.64,4.62
2018-07-01,62.41,20.26,1.83,4.86,4.48
2018-10-01,61.95,20.48,1.8,4.97,4.5
2019-01-01,61.76,20.67,1.89,5.19,4.43
2019-04-01,61.79,20.28,1.95,5.31,4.55
2019-07-01,61.31,20.56,1.93,5.51,4.52
2019-10-01,61.61,20.26,1.96,5.57,4.51
2020-01-01,60.75,20.59,1.94,5.87,4.64
2020-04-01,61.85,20.08,2.01,5.89,4.44
2020-07-01,61.31,20.19,2.08,5.72,4.48
2020-10-01,60.45,20.59,2.16,5.83,4.57
2021-01-01,58.92,21.29,2.29,6.03,4.73
2021-04-01,59.43,20.5,2.5,5.85,4.73
2021-07-01,59.14,20.48,2.63,5.76,4.78
2021-10-01,59.15,20.48,2.66,5.83,4.78
